2014 SVI Minority Status Encoding,2015 SVI Minority Status Encoding,2016 SVI Minority Status Encoding,2017 SVI Minority Status Encoding,2018 SVI Minority Status Encoding,2019 SVI Minority Status Encoding,2020 SVI Minority Status Encoding
32.493095,32.39841,32.30242,32.129925,31.957153,32.46114,32.96622
5.7831683,5.6928477,5.6013103,5.597137,5.5931945,5.64397,5.692962
-0.0032428834,0.017572012,0.037854757,-0.023859415,-0.085555464,0.16946849,0.42461643
-73.40833,-73.37832,-73.34972,-73.38854,-73.427574,-73.49739,-73.56662
-52.846355,-52.803085,-52.760143,-52.894302,-53.029095,-52.440784,-51.85367
42.384514,42.54124,42.697666,42.609764,42.5216,42.461025,42.40005
1.0504565,1.1087861,1.1668315,1.1113944,1.0544105,1.0608077,1.0661235
-66.58567,-66.805855,-67.02537,-66.64056,-66.25531,-66.17215,-66.08953
31.779705,31.735195,31.691898,31.859375,32.02863,31.904755,31.779392
-52.957127,-52.99231,-53.026733,-52.98743,-52.94849,-52.922493,-52.895935
4.123425,4.2255898,4.328185,4.3435082,4.3598104,4.458976,4.558677
-43.295853,-43.46353,-43.63197,-43.874027,-44.11631,-44.157394,-44.19971
-12.200474,-11.931819,-11.662836,-11.857292,-12.052214,-12.021179,-11.990216
26.575134,26.555092,26.534733,26.483696,26.432053,26.273956,26.115648
-6.6433806,-6.6440473,-6.6438136,-6.529202,-6.4148946,-6.593487,-6.7741466
-47.677105,-47.60993,-47.543518,-47.321156,-47.09886,-47.235184,-47.372066
-76.47066,-76.24428,-76.01758,-76.214035,-76.41118,-76.496994,-76.5832
39.584583,39.6051,39.624336,39.659607,39.694904,39.373783,39.052834
-27.739677,-27.776405,-27.811176,-27.790546,-27.768818,-27.643045,-27.516542
-85.22949,-85.51123,-85.792145,-85.720566,-85.6492,-85.59581,-85.54278
4.6824236,4.830145,4.9777374,4.815814,4.6538486,4.9843073,5.314515
6.226997,6.222451,6.219761,5.849928,5.4816756,5.3132963,5.1450653
53.816227,53.78358,53.750618,54.09255,54.43333,54.191963,53.949474
36.25575,36.045948,35.834496,35.683514,35.533283,35.504345,35.474503
65.946434,65.94471,65.94284,65.97664,66.010635,65.74446,65.48012
2.884047,3.1401548,3.3959682,3.433297,3.4697046,3.7638683,4.0588236
-8.803383,-9.282534,-9.762836,-9.818386,-9.874023,-9.240029,-8.6071205
-5.745533,-5.7900248,-5.835432,-5.5736094,-5.3107586,-5.13113,-4.950885
33.932766,33.779213,33.626053,33.56898,33.511738,33.50978,33.507835
29.245794,29.384445,29.522367,29.482542,29.441216,29.097422,28.753736
-1.2929336,-1.2930671,-1.2936069,-1.39038,-1.4876624,-1.6350414,-1.7816211
-1.4802803,-1.4509405,-1.4207257,-1.3314971,-1.2425083,-1.6395887,-2.037035
50.782284,50.537415,50.29246,50.470722,50.648148,50.8279,51.008717
-8.939138,-8.886394,-8.833815,-8.781773,-8.731188,-8.846328,-8.96125
-60.03031,-60.216194,-60.40255,-60.12786,-59.85513,-60.118633,-60.383717
-34.05159,-33.840183,-33.629047,-33.59526,-33.561428,-33.394955,-33.229057
107.145485,107.33517,107.52452,107.3352,107.14629,107.447395,107.74879
2.908443,2.9891953,3.0694594,3.613319,4.156546,4.400104,4.6430516
-42.63071,-42.761513,-42.893505,-42.527317,-42.160625,-42.241657,-42.320667
5.1514225,4.958832,4.7641964,4.7977047,4.8301563,5.2198114,5.6088963
21.646887,21.653282,21.65924,21.46512,21.270527,21.199486,21.130003
-25.2451,-25.108067,-24.968948,-24.962101,-24.957287,-25.051712,-25.145794
19.26093,19.109842,18.959219,19.22534,19.490576,19.166567,18.841257
41.027756,41.020046,41.013176,40.99365,40.973106,41.043884,41.11397
-27.628412,-27.689688,-27.752094,-27.567234,-27.382107,-27.303402,-27.224924
-57.759125,-58.092052,-58.425144,-58.710316,-58.995415,-58.881027,-58.76776
-54.930267,-55.004837,-55.08033,-54.89458,-54.70648,-54.666897,-54.628582
15.7085285,15.891668,16.074747,15.946693,15.818783,15.87121,15.922548
39.45097,39.252186,39.053787,39.128323,39.205116,39.031284,38.857372
-74.77734,-74.727745,-74.67715,-74.61305,-74.54857,-74.54881,-74.5483
5.6104603,5.8260756,6.042725,5.730127,5.4186916,5.667382,5.916485
-41.19705,-41.147053,-41.096523,-41.39673,-41.697514,-41.56992,-41.443207
36.57622,36.636604,36.69636,36.747536,36.800507,37.160492,37.520008
