2014 SVI Aged 17 or Younger Encoding,2015 SVI Aged 17 or Younger Encoding,2016 SVI Aged 17 or Younger Encoding,2017 SVI Aged 17 or Younger Encoding,2018 SVI Aged 17 or Younger Encoding,2019 SVI Aged 17 or Younger Encoding,2020 SVI Aged 17 or Younger Encoding
62.017715,61.856728,61.697163,60.843693,59.991,59.83838,59.68563
-8.226405,-7.963328,-7.702086,-7.6926064,-7.684214,-7.050524,-6.4160094
86.56451,86.08493,85.60497,85.069046,84.534134,84.471405,84.41012
-2.1992714,-2.5968478,-2.9938219,-3.2067893,-3.420006,-3.627312,-3.8329675
65.82495,66.19558,66.567894,67.218956,67.87078,68.62916,69.389275
37.09884,36.892204,36.685852,36.014137,35.34146,34.433403,33.526257
-3.936444,-4.2521386,-4.5688148,-5.1845884,-5.8011365,-5.664084,-5.5263257
39.054504,39.929867,40.80454,40.65404,40.505054,40.796234,41.087708
3.6952355,3.8289235,3.961469,4.210303,4.458919,5.252195,6.0455337
4.6551747,4.8414464,5.026918,4.828826,4.6306324,4.4857903,4.340077
27.52461,27.358269,27.191154,26.592335,25.992865,26.112143,26.230816
-34.11115,-34.524242,-34.937233,-35.3034,-35.669132,-36.061806,-36.454792
65.83425,65.72381,65.613594,65.68387,65.75613,66.32908,66.90273
-9.221578,-9.976542,-10.732628,-10.543494,-10.355349,-8.526991,-6.698741
-58.323215,-58.609356,-58.89487,-57.7565,-56.62016,-57.208027,-57.796906
-1.30143,-1.0968096,-0.89271766,-0.93873817,-0.98376304,-1.1145461,-1.2466414
-9.954797,-10.181032,-10.407814,-9.860237,-9.314667,-9.734597,-10.154785
-8.856936,-9.038886,-9.221399,-9.663675,-10.104601,-10.149935,-10.197304
-51.813316,-52.705658,-53.59793,-52.89151,-52.18476,-51.867664,-51.551125
-4.1485868,-3.9697614,-3.7914433,-3.1432328,-2.4958615,-2.5465436,-2.5972886
-28.173557,-28.665747,-29.158237,-28.538273,-27.919804,-27.625854,-27.332241
-17.304045,-17.142939,-16.983337,-16.766256,-16.550047,-16.848267,-17.147097
11.8466835,11.502032,11.156155,10.649928,10.143591,9.820061,9.497798
-6.5442586,-6.567961,-6.5922527,-6.0375094,-5.48244,-5.845474,-6.207912
52.165794,53.025635,53.88362,54.187614,54.49103,53.786392,53.081905
7.6574826,7.781223,7.9044895,7.4537573,7.0037446,8.048884,9.092809
28.67024,28.191994,27.715094,28.140984,28.567434,28.537838,28.507929
7.6051855,7.3289623,7.0533876,6.6772876,6.301997,5.5739756,4.8457785
12.430577,12.989905,13.5476675,14.544633,15.541461,15.969798,16.397223
29.891079,30.455727,31.020327,30.638649,30.257996,29.952845,29.649067
-24.982384,-25.079386,-25.17902,-24.8643,-24.548044,-24.79289,-25.037956
-0.086008094,-0.64581776,-1.2061,-1.8091736,-2.4120197,-2.8627424,-3.312684
4.0721264,3.8578334,3.6463404,3.7366862,3.8262086,3.7286139,3.6313996
34.87002,34.80497,34.73959,34.21235,33.68419,33.65103,33.618057
5.4365067,4.5040364,3.5702424,3.1616178,2.7538667,2.5894628,2.4246354
1.0913211,0.966703,0.8441723,1.2050792,1.5652977,1.5851103,1.6052457
-32.260582,-32.742027,-33.223816,-33.3997,-33.576878,-33.294273,-33.011078
14.341679,14.307696,14.275836,13.451993,12.628411,12.857658,13.087057
4.841615,4.9581385,5.0731473,4.318774,3.5632129,3.7642744,3.9652724
-9.099109,-9.691881,-10.284238,-9.963495,-9.643962,-9.8433075,-10.042032
32.395473,32.086815,31.778881,31.596588,31.414446,31.131584,30.850237
21.530146,22.002571,22.473986,23.210056,23.946667,23.073473,22.199928
93.00541,93.37552,93.744446,92.40867,91.07301,91.08548,91.09863
19.278889,19.402601,19.525375,19.989145,20.455324,19.2254,17.995808
1.3410842,1.479758,1.6187799,2.001938,2.384712,2.3775203,2.3705618
-56.641994,-56.45553,-56.268173,-56.089916,-55.910854,-55.399345,-54.88818
-51.218285,-51.16269,-51.107418,-50.429817,-49.751724,-49.934704,-50.11747
21.70738,21.56003,21.411255,19.974403,18.537352,18.737553,18.937225
-32.148643,-32.636246,-33.12383,-33.159473,-33.19655,-33.364838,-33.533333
62.71151,63.043148,63.37472,63.385353,63.396576,63.32448,63.254208
129.90965,130.08855,130.26825,129.28242,128.29695,126.95228,125.609604
-18.180874,-19.205915,-20.229534,-20.619627,-21.01053,-22.13386,-23.257978
74.316925,74.10156,73.88539,73.423584,72.962234,71.975555,70.98933
-51.49347,-51.83005,-52.16402,-53.008884,-53.85309,-53.190586,-52.52833
-0.02793272,-0.47215423,-0.91784245,-1.0730292,-1.2277304,-0.65998036,-0.09273489
-13.432648,-13.267231,-13.103815,-12.975129,-12.8475895,-12.435961,-12.024982
26.956219,26.751476,26.547924,27.247135,27.947357,28.138016,28.328289
64.24764,63.421776,62.59779,62.277195,61.958813,62.101475,62.24298
7.068585,6.72216,6.3754153,5.1824374,3.9892507,3.9004598,3.813148
-33.21286,-33.88607,-34.55942,-34.79229,-35.026093,-34.67078,-34.314804
-45.223236,-46.05743,-46.892685,-46.345078,-45.796635,-45.96358,-46.1306
21.960558,21.731993,21.505558,21.851046,22.197172,22.050255,21.90207
2.9721847,2.3628125,1.7550832,2.0352602,2.3150845,2.7757487,3.2343755
-34.622658,-34.650654,-34.677395,-33.956245,-33.23515,-32.7852,-32.3348
-10.844163,-10.90591,-10.968101,-10.255939,-9.54304,-9.811025,-10.079894
44.507324,44.42954,44.35128,43.978317,43.60704,43.890175,44.17233
1.3775153,1.124052,0.8701544,-0.02626564,-0.9225383,-0.59150076,-0.26137546
-98.71844,-98.659706,-98.60151,-98.25292,-97.906,-97.319,-96.73179
-0.47580254,-0.39433968,-0.31187737,-0.13020432,0.052727584,0.33967102,0.62635887
4.8867474,4.632107,4.378725,4.3146267,4.250759,4.717057,5.1831303
-36.401184,-36.88571,-37.37027,-37.145435,-36.92008,-36.723076,-36.526077
1.4306452,1.976331,2.5215743,2.1888745,1.8550332,2.1062834,2.3579342
-22.255753,-22.429857,-22.604355,-21.987719,-21.371275,-21.298864,-21.22814
38.36643,38.99121,39.61486,38.49936,37.385574,36.218742,35.051205
0.71953183,0.3561829,-0.0075379964,-1.1336204,-2.259288,-2.0605385,-1.8620521
11.959166,11.882632,11.805169,11.553794,11.302946,11.820139,12.336596
-28.434277,-28.785484,-29.137074,-28.949768,-28.763857,-28.70676,-28.64899
26.590775,26.381313,26.171835,25.469482,24.767323,24.715952,24.665115
-9.510103,-9.673824,-9.83721,-10.246707,-10.657439,-11.39186,-12.126943
-10.419727,-11.004884,-11.589793,-11.381886,-11.17377,-11.079462,-10.986391
48.818363,49.46615,50.113987,50.67012,51.22701,51.028248,50.82921
12.647022,13.073896,13.502253,13.929596,14.356779,13.875637,13.394712
4.2505245,4.3553505,4.460129,3.7062323,2.9530032,2.625191,2.2968924
23.960142,24.394579,24.827871,24.92802,25.028072,23.882166,22.737059
-59.156826,-59.146324,-59.13463,-58.19928,-57.2637,-57.444866,-57.62542
47.37234,47.07898,46.78584,45.757824,44.731968,44.485985,44.240414
18.467447,18.43281,18.397623,18.777033,19.156305,19.252476,19.350166
-33.023514,-33.580807,-34.137905,-33.509136,-32.88259,-32.99387,-33.106686
50.581425,51.009583,51.43881,50.796432,50.155125,49.663445,49.172764
9.071869,9.049503,9.02592,8.830696,8.635758,8.784401,8.933262
62.225475,62.051914,61.87859,61.34817,60.818554,60.5469,60.27552
-35.25763,-35.085205,-34.91436,-35.097652,-35.280525,-35.54045,-35.799137
9.282143,9.53175,9.782384,10.250558,10.719208,11.606584,12.4928
3.1850271,3.643196,4.101666,3.9394667,3.7772117,4.355593,4.9341936
93.84953,94.11706,94.384285,93.77977,93.17481,92.32848,91.483475
-60.839405,-61.120914,-61.40244,-60.02023,-58.637726,-57.37614,-56.114807
-37.176018,-36.888943,-36.60085,-36.302322,-36.003582,-35.995564,-35.987465
15.200152,15.085984,14.972804,15.22826,15.484111,14.584783,13.685786
-38.07292,-38.11265,-38.15307,-37.319477,-36.486004,-36.113922,-35.743587
35.141182,35.093872,35.04592,34.736523,34.427464,34.03598,33.64593
