2014 SVI Below Poverty Encoding,2015 SVI Below Poverty Encoding,2016 SVI Below Poverty Encoding,2017 SVI Below Poverty Encoding,2018 SVI Below Poverty Encoding,2019 SVI Below Poverty Encoding,2020 SVI Below Poverty Encoding
-79.02028,-78.86244,-78.703,-77.62331,-76.543945,-76.41022,-76.27597
-32.115852,-31.754852,-31.395226,-31.757904,-32.118336,-32.40786,-32.696243
40.115013,40.87092,41.62526,41.212196,40.79898,39.76242,38.725792
20.713932,21.43253,22.150587,22.361246,22.570913,22.587187,22.602793
49.271866,49.028664,48.786087,47.98641,47.187134,46.47383,45.759716
61.134098,61.72781,62.321865,62.63782,62.95242,61.326473,59.701122
-21.463264,-21.151228,-20.838774,-20.996208,-21.15369,-21.347095,-21.540928
-35.989082,-35.860172,-35.729458,-35.486694,-35.245125,-33.596607,-31.94785
-3.8948703,-4.5579743,-5.2206616,-5.862643,-6.504083,-5.8872313,-5.2696543
-87.94223,-87.52305,-87.10227,-85.9592,-84.81621,-84.975075,-85.134926
1.1601511,0.6535784,0.14747867,-0.40911046,-0.96566904,-0.19285336,0.58122885
2.8465686,3.7777607,4.70793,4.047353,3.3876579,3.6992757,4.0105968
104.1655,104.10298,104.039536,103.65568,103.273796,101.697044,100.1215
-32.444588,-31.68328,-30.920948,-30.501156,-30.080627,-32.05337,-34.02405
3.0603454,3.5265071,3.991328,5.2506475,6.5101347,6.0325575,5.5537844
46.932507,47.06059,47.188778,46.564014,45.939632,45.58651,45.233532
-21.156683,-21.650177,-22.145168,-22.878862,-23.613043,-21.663065,-19.713354
-79.65386,-79.66615,-79.67757,-79.88737,-80.09844,-81.18141,-82.26375
-12.1339655,-11.375092,-10.618558,-10.048662,-9.479958,-10.8754425,-12.26946
-73.24247,-75.062775,-76.881454,-77.133736,-77.385895,-77.83215,-78.27691
1.7389799,1.5795728,1.4203378,1.5594188,1.6982065,0.67144877,-0.3550567
49.819374,51.024807,52.229847,51.728447,51.227276,50.489933,49.75087
89.928024,91.13162,92.33404,92.092514,91.85358,90.682816,89.513794
21.734222,23.04407,24.35526,24.559414,24.763336,25.789616,26.815811
28.508183,28.597597,28.684908,27.754967,26.825462,28.599386,30.374445
-46.93245,-47.298416,-47.664047,-47.470367,-47.276215,-46.462498,-45.647186
-4.9454436,-4.6027064,-4.259952,-4.4762683,-4.6923404,-6.0293307,-7.367582
-21.449068,-21.735928,-22.023209,-22.517908,-23.012745,-23.359009,-23.706474
-16.056416,-17.338669,-18.620129,-17.779959,-16.938507,-17.815836,-18.693268
-64.68266,-65.220024,-65.75771,-65.60327,-65.44943,-64.10332,-62.75743
-12.419588,-12.26246,-12.104561,-12.205139,-12.305138,-13.183647,-14.061188
2.2238681,0.713628,-0.7975412,-0.29745844,0.20141478,-0.9905661,-2.1836088
31.346598,32.187553,33.02821,33.48001,33.931774,35.413525,36.895866
73.79411,73.85181,73.9102,74.6758,75.43947,74.791565,74.14369
-32.35057,-32.1883,-32.02689,-32.556824,-33.087097,-33.34996,-33.613644
111.22062,111.466705,111.71261,112.33684,112.9616,113.51872,114.07466
24.371033,24.631977,24.89306,22.532526,20.170885,18.493692,16.817215
13.652187,13.290871,12.931763,12.850451,12.77078,13.549986,14.3303175
68.53865,67.54419,66.5507,65.58045,64.610695,65.0303,65.44964
-2.601038,-1.1318636,0.3372183,0.69624907,1.0532045,1.2388239,1.4248295
8.69618,8.363139,8.029784,7.947608,7.865204,9.408926,10.952527
-32.75227,-32.94954,-33.145676,-32.07898,-31.01298,-31.80656,-32.59917
-0.69343203,-1.1195095,-1.5452602,-2.0265472,-2.5078218,-2.7068613,-2.9053752
-39.594807,-39.892933,-40.19071,-40.00398,-39.81903,-39.107586,-38.39645
-75.17307,-74.43449,-73.69547,-73.59082,-73.48644,-73.98161,-74.47759
-14.8591175,-13.872027,-12.88337,-12.868952,-12.855656,-12.168639,-11.482865
-9.03893,-8.170406,-7.3025117,-6.8865495,-6.470924,-6.088781,-5.706699
-49.88361,-49.21562,-48.547565,-49.04315,-49.538204,-49.74417,-49.948215
-8.085355,-6.5498056,-5.0141134,-4.47316,-3.9333963,-4.349837,-4.767591
-1.3842835,-1.47539,-1.5672727,-1.4868054,-1.40591,-1.9479375,-2.4888902
-23.514723,-24.22644,-24.937162,-25.850681,-26.765991,-26.44682,-26.130001
-79.613686,-80.57263,-81.530716,-81.04054,-80.549774,-80.83165,-81.11495
-65.74167,-65.047035,-64.35277,-63.337967,-62.323215,-61.457436,-60.590225
-38.583996,-38.56197,-38.541645,-38.361755,-38.18099,-37.30999,-36.439545
-22.849174,-23.67266,-24.493914,-24.169994,-23.84633,-25.25816,-26.669907
122.46938,122.98267,123.496284,121.4204,119.34368,117.47919,115.61367
-32.699596,-33.40451,-34.109318,-34.197796,-34.286995,-33.89347,-33.500225
72.143295,72.8925,73.640526,74.39107,75.141174,75.99977,76.85721
18.070547,17.914564,17.76002,17.456347,17.154032,16.327173,15.497927
-2.8821568,-2.9286637,-2.9756742,-2.6628346,-2.3499303,-2.2293096,-2.108832
-28.681046,-29.074196,-29.467907,-29.227167,-28.985916,-29.894262,-30.80386
37.477524,37.96155,38.44522,38.31644,38.18717,38.32492,38.46185
-14.035493,-12.879191,-11.722788,-12.1147995,-12.50727,-11.511733,-10.514929
10.525917,11.560493,12.593406,12.559975,12.52654,13.888602,15.25133
-35.759827,-35.527637,-35.294407,-35.06785,-34.841843,-33.672485,-32.50444
9.969314,9.988853,10.008213,8.682747,7.3592963,8.775151,10.191694
42.87152,44.24737,45.623455,45.371204,45.118725,45.528187,45.938347
-23.656755,-24.993605,-26.330137,-25.959005,-25.589666,-24.432007,-23.275887
15.850807,16.730782,17.61107,17.707867,17.804955,19.072985,20.341366
