2014 SVI Group Quarters Encoding,2015 SVI Group Quarters Encoding,2016 SVI Group Quarters Encoding,2017 SVI Group Quarters Encoding,2018 SVI Group Quarters Encoding,2019 SVI Group Quarters Encoding,2020 SVI Group Quarters Encoding
63.94132,64.03284,64.12375,63.64999,63.176872,63.451073,63.72688
-1.9494249,-1.8496677,-1.7509404,-0.99672145,-0.24298972,-0.30603808,-0.37026042
13.211839,13.514776,13.816055,13.4735565,13.131075,13.3065815,13.480876
11.191271,11.108315,11.024529,10.96343,10.900665,11.362082,11.823055
-31.152565,-31.04507,-30.9381,-30.287418,-29.636688,-28.95791,-28.281101
3.7075212,3.125395,2.5426257,2.361656,2.1797574,2.5118148,2.8452995
-87.002594,-87.22073,-87.4402,-86.20537,-84.97108,-84.3406,-83.71387
11.554296,12.465084,13.375723,13.328333,13.280443,13.181141,13.081131
70.29444,71.0514,71.80868,71.56887,71.32841,70.93272,70.53733
-43.381187,-43.787018,-44.192665,-44.136864,-44.08165,-44.081295,-44.08062
68.384636,68.32447,68.265434,67.749985,67.23253,67.497925,67.76527
-32.947514,-33.299297,-33.652477,-33.19391,-32.73618,-32.295788,-31.858194
-58.79176,-59.147915,-59.5026,-58.974712,-58.44492,-58.23644,-58.028942
27.365719,28.122545,28.87932,28.734137,28.58771,28.050016,27.512093
-9.7208605,-9.687457,-9.653595,-9.579195,-9.505113,-9.852698,-10.200961
53.7386,54.359306,54.98158,54.415016,53.848362,54.088123,54.32937
42.58537,42.99502,43.404007,42.975285,42.54858,42.11062,41.67276
62.36433,63.50768,64.651726,64.59665,64.5402,64.75411,64.96829
-82.786835,-83.04131,-83.29614,-82.44214,-81.58819,-82.00104,-82.4138
-31.609926,-32.517956,-33.426502,-33.076702,-32.725796,-32.51675,-32.307148
16.089111,16.009949,15.932048,15.591483,15.251089,14.841789,14.433195
46.229813,46.302975,46.373676,46.282475,46.1916,46.17068,46.14841
-27.718414,-28.226175,-28.734173,-28.904703,-29.07482,-29.345306,-29.614965
99.259796,99.4447,99.62782,98.937355,98.24544,97.98349,97.723495
62.05679,61.517326,60.97771,60.947926,60.917057,61.399105,61.88339
-22.830153,-23.123203,-23.415966,-22.733112,-22.049023,-21.53379,-21.020058
-15.456319,-16.263464,-17.071503,-16.871727,-16.672308,-16.612543,-16.553844
15.069895,14.785945,14.5023365,13.777611,13.052327,12.910486,12.76857
6.740331,6.4949627,6.2487535,5.8475165,5.447517,5.890651,6.3326797
-22.505655,-22.909431,-23.313774,-22.961216,-22.609104,-22.771759,-22.935791
-10.054602,-9.707427,-9.361164,-9.203094,-9.045534,-9.427336,-9.809685
10.340997,10.539006,10.737998,10.961127,11.184142,11.534083,11.883651
-26.061558,-25.518576,-24.977015,-24.905615,-24.834303,-25.471375,-26.109694
39.026436,39.262623,39.499916,38.92407,38.349377,38.212185,38.074715
8.740597,9.064411,9.388933,9.572661,9.756879,10.01143,10.265779
49.206997,49.338608,49.46994,49.19561,48.921345,49.335945,49.75152
36.761192,37.125134,37.48852,37.729748,37.970985,37.945404,37.920536
6.441402,6.5742426,6.707291,6.362908,6.0179753,5.8907166,5.7614436
-57.35961,-57.044918,-56.730877,-56.50088,-56.27142,-56.749683,-57.229218
59.12216,59.00273,58.88425,58.76852,58.652843,58.752434,58.85081
50.82768,51.724472,52.61927,52.26532,51.909584,51.779423,51.65192
-26.94799,-27.34524,-27.74177,-27.792843,-27.843863,-28.048689,-28.255037
-50.1674,-50.49122,-50.814404,-51.06077,-51.306324,-51.285954,-51.26581
18.60193,18.74698,18.892464,19.2975,19.701288,19.631119,19.560795
-30.87151,-31.832157,-32.79388,-32.581432,-32.367416,-32.497387,-32.6244
-22.408253,-22.497076,-22.587238,-22.301636,-22.015928,-22.282484,-22.549437
-4.872127,-4.915403,-4.958739,-4.1708045,-3.3811798,-2.914536,-2.4479327
-11.494682,-11.220762,-10.947526,-10.296512,-9.647829,-9.579817,-9.511576
7.229372,7.8785744,8.529063,8.902686,9.275383,9.556888,9.839797
6.10985,6.0361824,5.9613147,6.0573363,6.1536636,6.060447,5.968184
