2014 Dispensing Encoding,2015 Dispensing Encoding,2016 Dispensing Encoding,2017 Dispensing Encoding,2018 Dispensing Encoding,2019 Dispensing Encoding,2020 Dispensing Encoding
14.528519,14.28743,14.306923,14.890694,13.849022,3.1293757,2.5517523
-9.599402,-10.712543,-7.8275867,-8.2369795,-9.031276,-20.991768,-20.226631
-26.373917,-24.393585,-22.53423,-20.179691,-17.67818,-20.90021,-18.794159
-11.217572,-9.488838,-8.573548,-7.6067657,-6.758654,-8.390551,-7.8225656
32.47134,30.342056,31.501657,30.789331,27.929249,13.92861,14.542983
167.0105,154.33226,150.10823,135.81479,119.31352,80.105865,77.43821
-125.67391,-116.87333,-112.82002,-102.527,-89.51533,-64.87972,-62.274014
-73.070755,-66.608475,-62.743973,-53.699306,-45.444485,-20.333643,-19.173014
-122.06528,-111.34298,-106.76945,-98.13112,-87.37293,-54.26702,-54.355843
34.14415,34.06259,31.982409,30.669943,26.424181,22.756369,22.468801
45.285496,41.45637,41.263756,39.09176,36.72837,14.922083,14.223723
197.87727,183.3856,176.22157,159.51738,140.02705,76.82972,73.875725
26.623005,24.450684,22.12004,19.700275,17.59596,10.460907,9.254887
-48.39776,-43.774128,-40.689957,-37.355415,-34.03984,-25.721888,-24.178648
-7.853843,-6.44544,-5.554812,-4.5952907,-3.022515,6.192449,6.3021502
57.123806,51.74985,50.437557,44.603928,38.106445,17.50944,16.259161
-6.9612875,-4.9388075,-7.303199,-6.3118467,-4.6995497,7.3812075,7.8494406
-17.809237,-17.294144,-15.369617,-14.730278,-13.843755,-8.769731,-9.108736
-25.388294,-23.756628,-22.972105,-20.624544,-18.28618,-16.259987,-15.2619705
31.697948,28.328445,30.224972,27.423061,26.080204,15.410161,14.737307
16.141273,14.492449,12.043955,11.081465,9.010416,10.424736,9.684624
-2.7591717,-1.6159834,-3.4471123,-2.4932768,-2.6587613,4.502811,3.5336974
113.24312,105.00754,99.988815,89.782745,79.99303,54.42353,52.55231
-163.30327,-151.56442,-146.87581,-131.2549,-115.22881,-73.475296,-68.676865
-4.6145625,-3.0231395,-2.9348521,-3.129602,-2.8461642,0.7552341,0.4587158
-23.595339,-23.977541,-22.268784,-19.620583,-16.702888,1.0838201,2.4759338
80.281075,72.41914,67.73703,60.603497,53.48704,36.98985,35.683464
55.00184,49.868168,49.730053,45.751366,40.746773,28.435534,27.062384
-83.248955,-76.274925,-73.59086,-64.794136,-56.618393,-35.539413,-33.5535
34.591515,30.989079,28.621935,26.818308,24.129133,24.91794,25.127981
-88.09241,-79.24841,-76.642784,-68.70805,-60.755306,-41.306866,-37.45715
-17.915659,-14.949822,-15.327229,-15.656422,-15.75365,-28.838556,-27.158901
-16.14266,-14.475868,-11.759865,-10.442061,-7.845102,-8.641881,-8.576981
-11.364044,-11.52841,-10.534334,-10.323227,-8.732529,-11.365008,-11.491381
24.642782,24.352612,23.236511,20.63442,16.116852,16.169994,14.5615835
-0.57862717,0.93809074,0.87406677,-0.08045058,-0.13248973,14.671904,13.740466
-1.3584702,-0.25228524,0.40557647,0.5827739,1.18525,11.849906,11.890398
11.469368,9.371061,6.525606,4.785051,4.4809203,-13.001393,-14.315893
80.82916,74.29321,72.87061,65.928986,58.053566,33.615284,31.801676
-112.40129,-103.33171,-101.142075,-91.03885,-79.36897,-53.124805,-50.71443
-62.566135,-57.84639,-54.21575,-48.783306,-42.92529,-27.961306,-27.27846
-95.339714,-88.32607,-85.03632,-77.06127,-66.79632,-37.737656,-35.271767
-55.17527,-52.310444,-49.169765,-45.31567,-40.305386,-33.808937,-31.380722
-37.899498,-34.671238,-36.75741,-35.519936,-31.653154,-30.414568,-28.253134
-47.66607,-41.224953,-39.57235,-35.321255,-30.174786,-32.392216,-30.769567
-30.782911,-29.011984,-28.713102,-26.895271,-24.41226,-16.1397,-14.837778
7.807093,7.5101666,7.4384217,5.940026,3.3934696,-9.262807,-10.656602
9.505084,10.327534,11.113893,10.0652895,8.379626,15.515422,14.871253
-5.292499,-6.437698,-5.144258,-3.11117,-3.253403,0.7688433,3.6538603
9.015849,9.291522,9.34016,7.778148,6.9154963,13.719547,12.640126
11.149369,10.929364,8.491067,7.0882726,7.0026402,3.2329834,3.5356557
90.61519,83.67566,81.58049,72.71523,64.16896,42.201706,41.059002
-43.83437,-40.589573,-39.59516,-35.638084,-31.764738,-36.108013,-32.055176
-9.552944,-8.450569,-10.362695,-8.861247,-7.694852,-12.359957,-11.378473
-12.366105,-9.935066,-10.666763,-9.4548235,-7.674638,2.554519,2.403169
