2014 SVI Single-Parent Household Encoding,2015 SVI Single-Parent Household Encoding,2016 SVI Single-Parent Household Encoding,2017 SVI Single-Parent Household Encoding,2018 SVI Single-Parent Household Encoding,2019 SVI Single-Parent Household Encoding,2020 SVI Single-Parent Household Encoding
-3.8411572,-4.0990605,-4.3567953,-3.9238083,-3.497928,-4.1973825,-4.9488854
-79.912186,-80.13701,-80.36137,-77.85751,-75.355896,-75.709045,-76.0827
-13.011961,-14.566896,-16.122862,-14.64747,-13.169432,-13.295941,-13.507887
8.094698,6.005592,3.915277,2.141376,0.35547394,-1.0284106,-2.5204358
-38.120766,-36.97782,-35.833202,-36.8185,-37.81639,-40.304123,-42.785618
19.345385,17.62483,15.904924,16.134808,16.371668,16.923925,17.557442
-70.91362,-73.24192,-75.56862,-74.37322,-73.18991,-70.35451,-67.39517
106.35536,106.63168,106.90789,105.170074,103.41513,101.959335,100.64674
-47.001087,-47.77087,-48.54202,-47.33535,-46.1124,-43.854588,-41.503353
24.7123,25.527042,26.341105,29.915106,33.489613,33.231182,33.031845
-1.2719762,-1.8859746,-2.5014913,-3.7350385,-4.9782715,-5.2193704,-5.4717193
61.623928,61.454338,61.284878,60.490963,59.7133,56.775326,53.767525
44.670742,45.38443,46.097603,46.121258,46.137493,46.82129,47.39479
13.475802,13.51093,13.545077,12.453722,11.367789,14.523013,17.582172
-53.44771,-53.036316,-52.624817,-51.77844,-50.927643,-49.17414,-47.368717
12.389702,11.5341,10.680095,9.000525,7.304292,4.4564204,1.5369802
94.10093,92.53573,90.96937,89.54505,88.132225,86.70304,85.39712
-38.763275,-40.554283,-42.3466,-43.642635,-44.92464,-45.81161,-46.613926
10.932366,10.196072,9.460896,9.902353,10.361338,9.03085,7.6325274
-73.058914,-73.033035,-73.00769,-69.51314,-66.02425,-64.04322,-62.128506
-1.7160022,-1.3969681,-1.0779269,-2.062361,-3.0340002,-5.49969,-7.865741
20.50195,19.12615,17.750734,16.740223,15.721515,15.245805,14.673206
-26.83034,-26.455732,-26.080578,-27.21016,-28.35451,-26.838999,-25.348265
-73.18237,-74.33658,-75.489975,-73.89264,-72.28244,-69.49095,-66.68747
31.063675,29.967585,28.873049,27.044167,25.219679,23.737387,22.29624
15.172947,15.3781,15.584135,14.328379,13.064747,11.993581,10.928274
-44.45988,-44.86491,-45.272194,-46.845303,-48.407894,-50.819584,-53.232754
4.4901733,2.9495285,1.4093826,-0.53049994,-2.4579103,-3.1216276,-3.8209307
63.622,63.461674,63.29998,60.663754,58.04366,59.00426,59.912617
34.7341,34.909534,35.0841,34.660107,34.239296,32.53032,30.970324
-23.322277,-22.032547,-20.74309,-21.908895,-23.070158,-24.683783,-26.217012
-11.198298,-10.735653,-10.273431,-9.438878,-8.615021,-8.695317,-8.777154
85.48642,84.554184,83.62276,81.21481,78.799934,80.11901,81.538826
-4.5822587,-4.6075997,-4.63312,-5.3090196,-5.998614,-6.56436,-7.1208405
-57.436375,-58.763893,-60.092396,-57.58599,-55.081844,-52.754642,-50.45011
-75.21347,-74.07282,-72.933,-71.06019,-69.18997,-70.258705,-71.26858
34.51433,36.155285,37.797108,36.574993,35.346992,31.248528,27.043068
-1.8588614,-0.92151207,0.014759589,0.40869004,0.80215794,-0.13760419,-1.1755996
-7.913234,-6.196155,-4.4792395,-5.1055484,-5.741629,-6.142081,-6.4996924
-20.554585,-18.855574,-17.156506,-19.903454,-22.632202,-24.96187,-27.243809
10.473062,10.074622,9.6759405,9.160821,8.631349,6.9411407,5.1735044
3.6131573,3.9636464,4.3136716,6.667587,9.032949,11.1069565,13.070564
-38.42233,-38.602406,-38.783733,-39.095104,-39.421642,-39.52869,-39.81384
-26.971098,-29.31872,-31.66658,-33.68803,-35.707993,-37.152187,-38.615856
-49.963604,-48.27977,-46.59542,-42.568943,-38.558357,-37.483246,-36.407948
7.3959966,8.530699,9.663141,9.749849,9.834552,10.529573,11.328873
18.42279,17.123037,15.8225,11.884729,7.9440775,6.108734,4.4747205
102.800415,105.41258,108.024445,107.600266,107.180786,107.52261,107.87497
-18.190004,-18.799719,-19.40906,-20.190964,-20.974806,-21.815311,-22.7399
-24.932417,-26.66925,-28.405943,-30.002415,-31.589836,-30.85817,-30.18915
-51.14191,-52.029186,-52.916195,-54.461857,-56.023663,-60.632298,-65.201454
-26.432531,-28.754503,-31.074854,-32.14315,-33.219135,-29.623186,-25.956408
-67.741585,-66.53248,-65.32366,-61.952106,-58.590096,-55.752262,-53.014027
16.970922,16.36516,15.759675,16.603134,17.449871,17.049112,16.464533
16.594563,16.317825,16.040558,15.3248,14.600156,13.096376,11.618051
32.20099,32.351612,32.502033,30.919653,29.333046,26.724274,24.03959
-4.780766,-4.9552774,-5.132208,-4.7147756,-4.287245,-3.2377677,-2.2960005
-44.863903,-43.842506,-42.82015,-43.058266,-43.31203,-45.571304,-47.95274
-43.41619,-43.291843,-43.16771,-41.36665,-39.571667,-39.00995,-38.425156
101.55972,101.6963,101.833496,101.68644,101.53503,99.09263,96.60729
-13.32793,-13.494538,-13.65925,-13.31227,-12.964961,-13.552961,-14.273933
60.961803,61.965893,62.96967,61.90888,60.85326,61.122738,61.282696
-1.1973342,-1.6632117,-2.1277199,-4.331316,-6.518341,-9.039941,-11.638631
-28.48006,-27.82604,-27.171558,-26.756866,-26.352768,-24.76892,-23.323202
9.596494,8.947641,8.297754,9.625034,10.94854,15.645738,20.249516
33.51826,33.19519,32.872135,31.527437,30.1772,30.798311,31.2869
13.716404,11.555107,9.39404,7.510087,5.623975,7.5380626,9.306216
16.125124,16.405378,16.684175,17.420975,18.16364,19.128265,20.235613
51.974472,51.327263,50.679924,50.818275,50.95919,50.241608,49.383972
-87.568405,-88.08193,-88.59518,-89.02434,-89.44586,-89.83319,-90.17563
48.961285,49.889694,50.818733,49.452965,48.08528,46.44733,44.636784
100.693436,99.92482,99.15419,96.21828,93.29689,91.07915,88.9481
18.557724,17.39318,16.230497,13.627959,11.03817,8.232697,5.456714
