2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding
51.74,50.56,49.38,47.84,46.29,47.89,49.49
29.96,32.2,34.45,30.85,27.25,26.24,25.24
41.45,44.88,48.3,50.26,52.21,50.85,49.49
37.89,37.92,37.95,37.79,37.63,37.99,38.35
1.37,1.83,2.29,2.22,2.16,3.74,5.32
17.54,18.62,19.71,18.69,17.67,17.79,17.92
38.78,37.44,36.1,41.2,46.29,51.54,56.78
55.71,54.3,52.88,53.79,54.7,54.82,54.93
10.32,11.21,12.1,11.24,10.38,11.16,11.94
4.11,3.96,3.82,3.83,3.85,4.2,4.55
1.24,1.51,1.78,3.0,4.23,14.74,25.24
6.91,6.3,5.7,5.54,5.38,4.96,4.55
16.05,15.25,14.45,13.74,13.02,13.21,13.4
21.46,21.74,22.03,21.22,20.41,18.84,17.28
16.71,17.6,18.5,18.45,18.4,18.92,19.45
91.56,92.14,92.71,93.12,93.54,94.49,95.45
78.16,77.54,76.92,71.25,65.58,72.36,79.15
18.31,14.72,11.14,9.55,7.96,7.72,7.48
74.59,74.19,73.8,73.3,72.81,75.09,77.37
43.11,48.0,52.88,53.27,53.65,54.29,54.93
86.44,85.77,85.1,85.72,86.34,82.08,77.82
61.64,57.92,54.19,59.89,65.58,68.98,72.37
39.83,35.04,30.25,25.33,20.41,21.41,22.41
55.71,58.37,61.03,57.34,53.65,50.41,47.17
75.33,68.58,61.83,58.96,56.1,50.16,44.21
38.78,39.47,40.15,41.84,43.52,45.34,47.17
41.45,40.29,39.13,39.02,38.9,36.56,34.21
51.74,52.31,52.88,53.27,53.65,48.58,43.51
50.08,58.4,66.73,68.27,69.82,69.4,68.97
53.68,50.04,46.39,42.64,38.9,43.04,47.17
82.43,82.84,83.25,81.73,80.2,77.02,73.84
75.33,71.38,67.43,70.12,72.81,69.56,66.3
94.3,92.15,90.0,91.66,93.31,92.54,91.76
12.61,14.87,17.13,19.38,21.62,21.66,21.71
89.62,85.88,82.14,84.24,86.34,87.76,89.18
74.59,73.46,72.33,72.19,72.05,75.2,78.36
52.66,60.78,68.9,70.86,72.81,68.08,63.34
34.89,43.54,52.18,53.68,55.17,56.82,58.47
29.96,33.52,37.09,30.96,24.83,27.34,29.85
58.42,59.25,60.08,60.41,60.74,64.52,68.3
86.82,87.94,89.05,88.12,87.2,86.58,85.96
69.79,62.69,55.59,51.37,47.15,49.17,51.18
23.72,24.34,24.96,23.29,21.62,21.22,20.81
53.68,50.5,47.31,46.8,46.29,45.25,44.21
48.93,45.0,41.07,43.25,45.43,44.47,43.51
22.32,18.9,15.47,16.26,17.06,15.9,14.74
67.62,62.86,58.1,58.1,58.1,55.0,51.91
22.32,21.73,21.14,24.2,27.25,26.24,25.24
48.93,43.44,37.95,28.18,18.4,18.54,18.68
93.22,92.58,91.95,91.95,91.95,89.4,86.86
85.32,81.4,77.49,71.18,64.88,72.35,79.82
24.45,22.35,20.25,24.74,29.23,33.06,36.89
50.08,50.07,50.05,50.05,50.05,47.64,45.23
28.84,27.4,25.95,25.86,25.76,25.12,24.47
65.87,72.3,78.73,75.77,72.81,70.56,68.3
13.72,15.42,17.13,16.49,15.85,13.9,11.94
88.98,85.56,82.14,68.66,55.17,39.38,23.58
97.9,97.1,96.31,96.98,97.64,97.54,97.45
36.01,38.54,41.07,39.99,38.9,38.62,38.35
26.52,24.28,22.03,21.82,21.62,21.66,21.71
48.93,50.56,52.18,52.2,52.21,47.03,41.85
5.76,7.03,8.31,8.39,8.47,9.43,10.38
97.9,97.52,97.13,93.63,90.13,87.9,85.68
84.24,78.6,72.97,70.96,68.96,73.66,78.36
34.89,35.05,35.21,35.22,35.24,35.22,35.2
78.16,77.22,76.28,74.54,72.81,68.76,64.7
28.18,31.7,35.21,37.06,38.9,36.56,34.21
63.67,65.55,67.43,62.76,58.1,58.28,58.47
53.68,53.28,52.88,50.97,49.06,55.58,62.09
65.87,69.84,73.8,73.3,72.81,65.64,58.47
32.51,30.88,29.26,30.08,30.91,31.51,32.11
65.27,70.33,75.39,75.56,75.74,73.08,70.43
28.84,26.9,24.96,28.48,32.0,36.44,40.87
73.96,74.23,74.5,71.73,68.96,62.87,56.78
97.71,97.42,97.13,96.3,95.48,94.81,94.14
51.74,52.96,54.19,52.6,51.0,45.29,39.59
68.26,71.65,75.04,75.39,75.74,73.37,71.01
16.71,16.92,17.13,16.76,16.4,16.14,15.88
69.79,69.34,68.9,67.24,65.58,61.18,56.78
94.49,94.02,93.54,93.54,93.54,93.73,93.92
61.64,69.28,76.92,76.65,76.38,76.32,76.26
70.49,69.69,68.9,70.47,72.05,74.15,76.26
91.56,92.1,92.65,93.1,93.54,93.6,93.67
50.08,55.96,61.83,66.19,70.55,67.62,64.7
6.91,6.99,7.07,7.31,7.55,7.52,7.48
80.64,80.04,79.43,80.56,81.69,80.76,79.82
97.39,97.85,98.31,98.26,98.22,97.95,97.68
54.76,55.97,57.18,58.43,59.69,63.4,67.12
59.22,60.87,62.53,62.55,62.56,61.43,60.31
33.4,38.8,44.19,46.62,49.06,52.44,55.82
57.62,59.32,61.03,65.0,68.96,71.1,73.23
87.33,86.22,85.1,87.2,89.3,87.24,85.17
51.19,51.68,52.18,50.62,49.06,50.48,51.91
72.62,74.77,76.92,77.03,77.14,77.75,78.36
41.45,44.88,48.3,46.86,45.43,41.16,36.89
2.9,2.8,2.71,3.15,3.6,4.25,4.9
57.62,57.05,56.48,55.82,55.17,53.18,51.18
60.17,59.14,58.1,56.4,54.7,54.82,54.93
75.33,73.29,71.25,70.54,69.82,74.48,79.15
5.16,5.64,6.11,6.28,6.46,6.49,6.52
23.02,21.64,20.25,24.74,29.23,33.79,38.35
23.02,21.11,19.2,24.69,30.18,31.75,33.32
25.25,26.44,27.63,25.86,24.1,18.02,11.94
60.94,59.06,57.18,54.09,51.0,36.7,22.41
4.81,5.08,5.35,5.2,5.06,4.8,4.55
11.46,9.26,7.07,7.77,8.47,7.69,6.91
17.54,16.84,16.14,19.85,23.56,30.96,38.35
0.32,0.4,0.48,0.46,0.45,0.57,0.7
57.62,56.6,55.59,52.82,50.05,44.82,39.59
32.51,31.92,31.33,31.12,30.91,29.83,28.74
16.05,16.59,17.13,17.4,17.67,15.16,12.64
9.71,7.91,6.11,6.02,5.92,8.15,10.38
62.56,60.33,58.1,59.87,61.64,65.64,69.64
18.94,18.42,17.89,24.4,30.91,26.94,22.98
37.03,37.06,37.09,38.46,39.83,35.97,32.11
41.45,38.78,36.1,36.2,36.29,36.1,35.9
2.55,2.77,2.99,2.9,2.8,3.42,4.04
1.97,1.88,1.78,2.2,2.61,2.8,2.99
17.54,20.92,24.29,23.43,22.57,22.49,22.41
28.84,26.56,24.29,22.96,21.62,21.66,21.71
18.94,19.07,19.2,16.44,13.69,12.59,11.49
31.65,33.43,35.21,34.17,33.14,26.98,20.81
10.32,11.51,12.7,11.33,9.96,7.64,5.32
48.93,41.15,33.37,34.83,36.29,36.59,36.89
5.48,5.59,5.7,5.81,5.92,6.22,6.52
16.05,12.93,9.81,11.75,13.69,12.81,11.94
39.83,42.01,44.19,46.12,48.04,47.6,47.17
17.54,22.08,26.62,26.56,26.49,23.3,20.11
54.76,55.18,55.59,52.82,50.05,56.07,62.09
11.97,8.83,5.7,8.04,10.38,15.6,20.81
51.74,59.23,66.73,68.64,70.55,68.26,65.98
18.94,17.21,15.47,16.57,17.67,18.56,19.45
42.31,41.69,41.07,28.1,15.12,15.5,15.88
71.12,64.61,58.1,60.33,62.56,64.84,67.12
50.08,46.58,43.08,43.78,44.48,46.49,48.5
33.4,30.93,28.46,33.04,37.63,44.77,51.91
24.45,22.8,21.14,15.55,9.96,12.58,15.21
5.16,6.4,7.64,9.01,10.38,10.94,11.49
34.89,33.64,32.38,29.44,26.49,25.04,23.58
11.97,9.8,7.64,6.62,5.6,6.89,8.18
10.32,12.38,14.45,15.76,17.06,20.02,22.98
38.78,34.02,29.26,37.34,45.43,46.3,47.17
26.52,23.38,20.25,20.33,20.41,20.61,20.81
30.82,33.46,36.1,36.2,36.29,40.76,45.23
13.72,13.55,13.37,13.2,13.02,12.26,11.49
45.78,48.42,51.07,50.07,49.06,49.76,50.45
25.25,23.64,22.03,21.82,21.62,22.02,22.41
26.52,24.98,23.43,22.52,21.62,17.51,13.4
27.19,28.72,30.25,27.54,24.83,25.04,25.24
6.24,9.47,12.7,15.55,18.4,19.6,20.81
13.72,11.76,9.81,16.19,22.57,19.92,17.28
15.09,14.56,14.04,16.92,19.8,19.62,19.45
3.09,4.22,5.35,6.16,6.97,5.94,4.9
32.51,32.44,32.38,29.44,26.49,26.8,27.12
31.65,28.8,25.95,22.58,19.2,20.46,21.71
51.19,59.92,68.64,67.44,66.25,67.94,69.64
25.25,25.1,24.96,30.63,36.29,37.32,38.35
34.16,30.39,26.62,27.92,29.23,27.66,26.1
37.89,35.63,33.37,33.78,34.19,33.76,33.32
15.09,15.28,15.47,15.66,15.85,15.53,15.21
25.25,23.96,22.67,23.75,24.83,22.14,19.45
32.51,29.56,26.62,18.9,11.17,10.55,9.93
22.32,19.23,16.14,11.84,7.55,10.48,13.4
2.74,4.22,5.7,5.38,5.06,4.23,3.41
18.94,17.21,15.47,14.58,13.69,15.8,17.92
14.45,12.13,9.81,10.49,11.17,10.78,10.38
37.89,39.02,40.15,39.99,39.83,39.09,38.35
0.67,0.72,0.76,0.88,0.99,1.36,1.72
3.09,2.76,2.42,2.61,2.8,4.28,5.76
12.61,12.13,11.65,10.54,9.42,10.68,11.94
8.63,9.55,10.47,9.94,9.42,9.68,9.93
12.61,12.66,12.7,13.2,13.69,11.6,9.52
15.09,17.4,19.71,15.78,11.84,11.11,10.38
46.74,41.92,37.09,35.64,34.19,38.02,41.85
31.65,31.49,31.33,34.48,37.63,32.78,27.94
62.56,69.18,75.8,71.33,66.86,63.58,60.31
13.72,13.88,14.04,19.07,24.1,24.67,25.24
63.67,65.83,68.0,66.79,65.58,59.26,52.93
17.54,18.02,18.5,16.1,13.69,14.22,14.74
2.45,2.58,2.71,3.15,3.6,3.82,4.04
14.45,11.76,9.07,18.16,27.25,29.68,32.11
21.46,31.26,41.07,41.78,42.5,42.18,41.85
10.32,12.38,14.45,14.78,15.12,13.0,10.88
1.37,1.66,1.94,2.99,4.04,4.17,4.3
23.02,21.64,20.25,24.36,28.46,29.72,30.97
65.87,58.47,51.07,55.38,59.69,59.08,58.47
82.74,82.44,82.14,84.67,87.2,88.52,89.85
98.09,93.9,89.72,84.75,79.78,88.16,96.53
85.8,82.62,79.43,85.04,90.64,90.54,90.45
77.84,76.44,75.04,74.69,74.34,73.1,71.87
23.72,42.78,61.83,70.8,79.78,74.71,69.64
85.32,84.75,84.18,87.41,90.64,91.79,92.93
57.62,62.53,67.43,73.82,80.2,73.25,66.3
61.64,62.08,62.53,60.76,58.99,63.98,68.97
94.81,95.34,95.86,96.78,97.71,97.58,97.45
37.03,39.58,42.12,41.77,41.42,37.82,34.21
97.71,95.37,93.03,92.88,92.74,94.64,96.53
64.37,53.25,42.12,27.27,12.42,7.48,2.55
53.68,47.9,42.12,39.88,37.63,40.16,42.68
56.73,59.28,61.83,50.83,39.83,36.58,33.32
95.29,94.0,92.71,85.88,79.05,76.44,73.84
11.97,13.0,14.04,15.22,16.4,18.26,20.11
88.67,86.42,84.18,85.69,87.2,85.86,84.53
75.96,78.4,80.83,68.0,55.17,73.37,91.57
79.08,81.88,84.69,85.3,85.9,85.54,85.17
92.04,93.33,94.62,88.73,82.84,83.16,83.48
81.31,85.99,90.67,87.16,83.64,81.4,79.15
66.92,67.18,67.43,73.24,79.05,61.28,43.51
47.85,48.61,49.38,50.8,52.21,53.0,53.79
28.84,25.76,22.67,21.24,19.8,22.14,24.47
27.19,30.82,34.45,49.02,63.58,79.24,94.91
63.67,55.98,48.3,67.1,85.9,91.42,96.94
98.6,90.37,82.14,87.84,93.54,96.32,99.11
89.4,87.82,86.25,83.97,81.69,68.76,55.82
66.92,67.78,68.64,67.11,65.58,66.35,67.12
93.7,87.26,80.83,76.82,72.81,71.23,69.64
71.76,62.98,54.19,35.93,17.67,21.88,26.1
81.95,84.67,87.39,80.86,74.34,66.9,59.45
77.17,73.92,70.68,66.62,62.56,62.33,62.09
81.31,81.73,82.14,82.32,82.49,84.68,86.86
10.98,10.02,9.07,11.04,13.02,10.6,8.18
52.66,48.96,45.27,45.78,46.29,43.26,40.23
73.96,75.12,76.28,76.71,77.14,74.76,72.37
68.26,62.72,57.18,49.84,42.5,64.09,85.68
86.82,88.57,90.32,91.14,91.95,93.11,94.27
63.67,63.1,62.53,58.09,53.65,48.58,43.51
17.54,17.72,17.89,13.18,8.47,8.55,8.63
56.73,53.39,50.05,50.52,51.0,43.94,36.89
63.67,56.86,50.05,37.07,24.1,17.24,10.38
6.91,7.99,9.07,7.06,5.06,5.6,6.14
87.81,88.0,88.19,85.72,83.25,88.0,92.74
46.74,40.05,33.37,34.3,35.24,51.77,68.3
77.17,70.77,64.37,57.21,50.05,49.77,49.49
73.96,76.03,78.1,86.79,95.48,89.48,83.48
83.22,82.02,80.83,84.02,87.2,81.73,76.26
81.95,80.34,78.73,80.4,82.08,81.82,81.57
91.12,90.08,89.05,87.04,85.04,86.38,87.71
20.89,18.51,16.14,16.27,16.4,15.81,15.21
57.62,54.9,52.18,63.26,74.34,74.71,75.08
76.5,78.67,80.83,80.52,80.2,81.3,82.4
98.98,98.72,98.47,98.44,98.41,98.08,97.74
84.75,82.09,79.43,71.82,64.22,66.26,68.3
68.26,72.88,77.49,79.42,81.34,79.85,78.36
93.47,90.58,87.68,88.9,90.13,84.24,78.36
54.76,60.41,66.06,65.82,65.58,62.52,59.45
34.16,33.76,33.37,28.74,24.1,26.02,27.94
86.82,87.25,87.68,90.21,92.74,92.16,91.57
91.82,85.28,78.73,83.44,88.16,83.26,78.36
62.56,66.62,70.68,71.36,72.05,70.18,68.3
84.24,85.24,86.25,79.15,72.05,79.01,85.96
67.62,73.97,80.32,76.18,72.05,79.88,87.71
33.4,30.52,27.63,35.07,42.5,44.84,47.17
66.92,76.01,85.1,70.98,56.86,50.54,44.21
62.56,61.32,60.08,52.76,45.43,44.06,42.68
92.36,87.8,83.25,82.09,80.93,87.54,94.14
93.47,93.09,92.71,91.8,90.89,90.99,91.09
42.31,43.79,45.27,33.44,21.62,19.77,17.92
76.5,75.15,73.8,76.79,79.78,80.68,81.57
89.97,89.08,88.19,85.14,82.08,85.4,88.73
28.84,28.65,28.46,42.28,56.1,63.27,70.43
88.16,81.33,74.5,77.92,81.34,88.81,96.28
93.47,93.63,93.79,92.07,90.35,89.76,89.18
82.74,83.92,85.1,87.46,89.81,91.02,92.23
97.9,97.32,96.75,96.12,95.48,94.7,93.92
72.62,74.0,75.39,78.94,82.49,84.36,86.22
92.96,86.2,79.43,70.08,60.74,62.43,64.13
76.5,71.62,66.73,78.97,91.21,94.25,97.29
23.02,21.36,19.71,20.06,20.41,21.41,22.41
31.65,34.8,37.95,37.79,37.63,34.87,32.11
75.33,73.83,72.33,73.74,75.14,72.06,68.97
60.94,53.1,45.27,49.46,53.65,62.33,71.01
73.48,69.4,65.33,68.29,71.25,60.85,50.45
72.62,77.38,82.14,75.55,68.96,78.1,87.24
83.22,78.51,73.8,66.74,59.69,63.0,66.3
91.44,94.24,97.04,96.94,96.85,97.15,97.45
94.81,95.56,96.31,94.81,93.31,91.88,90.45
9.71,8.67,7.64,10.33,13.02,14.12,15.21
52.66,52.42,52.18,53.44,54.7,55.74,56.78
94.97,95.83,96.69,96.62,96.56,96.42,96.28
67.62,69.15,70.68,68.46,66.25,55.74,45.23
48.93,50.9,52.88,49.16,45.43,40.32,35.2
71.76,68.91,66.06,72.55,79.05,76.14,73.23
43.11,37.74,32.38,31.64,30.91,33.06,35.2
52.66,56.84,61.03,60.01,58.99,48.67,38.35
88.16,90.15,92.14,94.89,97.64,97.08,96.53
23.02,25.32,27.63,28.43,29.23,30.1,30.97
90.89,90.91,90.93,89.37,87.81,88.83,89.85
82.74,77.86,72.97,70.22,67.46,67.29,67.12
12.61,15.56,18.5,24.34,30.18,30.57,30.97
60.17,50.16,40.15,39.99,39.83,40.35,40.87
15.09,15.62,16.14,17.27,18.4,17.14,15.88
25.25,23.64,22.03,24.64,27.25,26.24,25.24
42.31,39.2,36.1,25.98,15.85,13.67,11.49
36.01,40.64,45.27,52.13,58.99,57.4,55.82
85.32,87.52,89.72,90.46,91.21,90.83,90.45
69.02,71.76,74.5,74.42,74.34,61.42,48.5
79.53,85.23,90.93,90.21,89.49,89.54,89.59
52.66,56.37,60.08,52.28,44.48,33.1,21.71
65.87,67.38,68.9,63.94,58.99,49.61,40.23
97.61,97.18,96.75,94.16,91.56,90.37,89.18
86.44,88.38,90.32,88.76,87.2,87.46,87.71
91.12,91.38,91.63,91.79,91.95,88.0,84.05
19.8,20.03,20.25,26.12,32.0,33.6,35.2
81.95,79.44,76.92,72.94,68.96,68.96,68.97
59.22,60.12,61.03,60.88,60.74,57.84,54.93
34.89,34.67,34.45,38.98,43.52,42.68,41.85
57.62,54.34,51.07,53.96,56.86,54.02,51.18
79.08,80.61,82.14,76.34,70.55,80.07,89.59
91.12,86.63,82.14,83.59,85.04,83.72,82.4
95.45,95.04,94.62,95.46,96.31,95.75,95.19
60.94,58.26,55.59,61.22,66.86,71.94,77.02
44.03,43.08,42.12,50.9,59.69,52.46,45.23
74.59,79.19,83.79,86.54,89.3,87.63,85.96
98.66,97.94,97.23,96.98,96.72,95.49,94.27
29.96,30.64,31.33,29.9,28.46,26.02,23.58
43.11,38.24,33.37,36.14,38.9,42.56,46.21
31.65,28.8,25.95,26.6,27.25,29.68,32.11
17.54,18.9,20.25,19.32,18.4,20.4,22.41
77.17,79.29,81.41,84.1,86.79,78.61,70.43
80.01,79.37,78.73,74.99,71.25,69.18,67.12
44.73,45.0,45.27,44.4,43.52,41.87,40.23
54.76,55.97,57.18,65.38,73.58,72.01,70.43
30.82,27.12,23.43,26.8,30.18,35.52,40.87
62.56,61.32,60.08,49.96,39.83,42.53,45.23
62.56,56.82,51.07,45.91,40.75,37.03,33.32
48.93,46.56,44.19,40.91,37.63,34.87,32.11
75.33,71.03,66.73,65.16,63.58,43.58,23.58
56.73,67.11,77.49,72.18,66.86,68.25,69.64
96.34,95.99,95.64,94.71,93.79,95.0,96.21
85.32,86.96,88.6,83.11,77.62,73.63,69.64
56.73,51.0,45.27,40.25,35.24,35.57,35.9
58.42,51.85,45.27,47.16,49.06,49.28,49.49
79.53,72.8,66.06,60.38,54.7,58.4,62.09
93.92,89.51,85.1,84.37,83.64,89.72,95.8
44.73,39.97,35.21,28.2,21.2,24.16,27.12
62.56,62.55,62.53,66.89,71.25,58.73,46.21
73.48,70.74,68.0,66.44,64.88,69.36,73.84
90.51,84.97,79.43,73.14,66.86,73.96,81.06
93.7,93.36,93.03,93.41,93.79,90.0,86.22
55.71,49.4,43.08,42.25,41.42,40.51,39.59
29.96,30.1,30.25,25.33,20.41,15.17,9.93
96.63,96.94,97.26,96.45,95.64,95.42,95.19
60.17,56.53,52.88,38.86,24.83,19.11,13.4
91.56,90.64,89.72,88.46,87.2,92.0,96.79
96.34,97.32,98.31,98.34,98.38,98.06,97.74
55.71,54.3,52.88,51.94,51.0,41.56,32.11
62.56,66.24,69.91,66.74,63.58,61.02,58.47
52.66,56.0,59.34,58.72,58.1,58.78,59.45
73.96,64.08,54.19,43.1,32.0,30.93,29.85
6.24,8.36,10.47,13.44,16.4,19.06,21.71
65.27,65.66,66.06,61.46,56.86,50.18,43.51
56.73,62.08,67.43,75.77,84.11,77.27,70.43
89.62,90.62,91.63,85.14,78.64,57.76,36.89
45.78,47.04,48.3,43.6,38.9,35.5,32.11
71.12,70.9,70.68,67.45,64.22,63.78,63.34
54.76,57.9,61.03,54.09,47.15,35.07,22.98
98.09,97.98,97.87,97.95,98.03,98.11,98.19
95.61,97.25,98.89,99.3,99.71,99.38,99.05
6.24,5.97,5.7,6.08,6.46,6.97,7.48
93.7,93.94,94.17,93.24,92.3,90.52,88.73
69.79,60.98,52.18,52.92,53.65,51.08,48.5
82.74,84.9,87.07,87.14,87.2,86.71,86.22
16.71,17.6,18.5,18.45,18.4,17.14,15.88
70.49,71.41,72.33,69.29,66.25,66.27,66.3
53.68,58.64,63.61,60.85,58.1,57.44,56.78
41.45,43.92,46.39,42.01,37.63,33.74,29.85
73.48,72.9,72.33,76.84,81.34,81.46,81.57
80.01,85.16,90.32,93.68,97.04,95.48,93.92
66.92,65.64,64.37,57.69,51.0,43.94,36.89
88.16,90.6,93.03,93.8,94.56,94.74,94.91
76.5,80.6,84.69,83.97,83.25,79.16,75.08
72.62,60.46,48.3,36.56,24.83,16.73,8.63
62.56,66.9,71.25,69.85,68.45,66.29,64.13
93.47,92.8,92.14,93.35,94.56,95.01,95.45
79.53,76.25,72.97,71.4,69.82,67.26,64.7
45.78,46.08,46.39,48.7,51.0,49.75,48.5
98.22,98.1,97.99,97.85,97.71,97.38,97.04
99.17,99.03,98.89,99.18,99.46,99.44,99.43
37.89,39.48,41.07,42.3,43.52,39.71,35.9
44.73,47.06,49.38,53.12,56.86,55.32,53.79
81.31,82.08,82.84,83.24,83.64,82.8,81.95
45.78,48.42,51.07,50.07,49.06,48.11,47.17
28.18,34.62,41.07,45.06,49.06,57.68,66.3
13.72,11.76,9.81,6.39,2.96,2.97,2.99
57.62,67.86,78.1,82.65,87.2,87.46,87.71
34.89,46.5,58.1,64.68,71.25,66.22,61.2
44.73,47.39,50.05,52.37,54.7,56.24,57.77
18.31,24.82,31.33,31.12,30.91,29.42,27.94
47.85,47.58,47.31,45.9,44.48,44.34,44.21
10.98,11.84,12.7,13.91,15.12,13.0,10.88
47.85,52.52,57.18,65.38,73.58,78.29,83.0
26.52,29.45,32.38,41.69,51.0,50.24,49.49
34.89,37.98,41.07,32.95,24.83,32.21,39.59
88.98,91.94,94.91,95.06,95.22,95.64,96.05
14.45,16.17,17.89,20.23,22.57,36.88,51.18
41.45,41.26,41.07,30.74,20.41,29.38,38.35
15.09,13.11,11.14,13.13,15.12,17.28,19.45
1.88,1.77,1.66,1.58,1.5,1.91,2.32
12.61,17.64,22.67,15.81,8.95,7.74,6.52
43.11,37.22,31.33,22.51,13.69,10.58,7.48
81.95,74.69,67.43,59.82,52.21,63.42,74.63
76.5,78.22,79.94,78.16,76.38,73.41,70.43
28.84,38.08,47.31,48.68,50.05,42.97,35.9
38.78,38.36,37.95,31.86,25.76,40.79,55.82
34.89,29.59,24.29,32.52,40.75,35.3,29.85
38.78,39.92,41.07,40.45,39.83,47.38,54.93
31.65,32.51,33.37,33.78,34.19,28.88,23.58
52.66,59.0,65.33,65.1,64.88,66.92,68.97
75.33,81.51,87.68,87.92,88.16,90.3,92.43
37.89,36.17,34.45,29.27,24.1,19.66,15.21
17.54,19.78,22.03,30.93,39.83,35.97,32.11
80.64,70.36,60.08,52.76,45.43,52.87,60.31
85.32,88.48,91.63,92.58,93.54,82.96,72.37
15.09,17.67,20.25,22.18,24.1,19.66,15.21
41.45,44.38,47.31,45.42,43.52,39.36,35.2
33.4,25.95,18.5,15.46,12.42,9.09,5.76
0.67,7.35,14.04,21.64,29.23,17.28,5.32
69.02,67.54,66.06,62.87,59.69,70.17,80.65
63.67,63.64,63.61,63.92,64.22,66.93,69.64
54.76,51.53,48.3,53.99,59.69,50.77,41.85
55.71,56.1,56.48,50.48,44.48,58.42,72.37
68.26,62.37,56.48,55.82,55.17,55.97,56.78
66.92,69.95,72.97,77.33,81.69,81.38,81.06
37.89,24.52,11.14,17.98,24.83,28.47,32.11
25.25,28.82,32.38,25.39,18.4,15.52,12.64
31.65,44.88,58.1,65.84,73.58,75.3,77.02
78.16,78.13,78.1,79.9,81.69,84.7,87.71
46.74,37.18,27.63,26.23,24.83,40.33,55.82
59.22,64.06,68.9,72.32,75.74,77.44,79.15
34.89,33.11,31.33,29.29,27.25,32.07,36.89
25.25,36.28,47.31,38.75,30.18,41.99,53.79
57.62,54.34,51.07,50.56,50.05,48.61,47.17
65.27,64.44,63.61,68.21,72.81,73.72,74.63
84.75,64.47,44.19,47.6,51.0,72.68,94.37
51.74,45.94,40.15,42.79,45.43,50.18,54.93
42.31,36.28,30.25,24.72,19.2,21.39,23.58
44.73,39.59,34.45,30.85,27.25,42.51,57.77
27.19,26.9,26.62,23.91,21.2,20.66,20.11
18.94,21.18,23.43,30.53,37.63,28.87,20.11
48.93,51.92,54.92,51.04,47.15,41.18,35.2
2.55,3.32,4.08,7.96,11.84,28.02,44.21
80.64,65.34,50.05,44.94,39.83,33.48,27.12
4.52,4.04,3.57,9.98,16.4,40.55,64.7
26.52,22.2,17.89,17.78,17.67,21.88,26.1
18.94,13.29,7.64,8.8,9.96,16.18,22.41
64.37,65.9,67.43,67.94,68.45,66.58,64.7
60.17,49.65,39.13,39.02,38.9,37.4,35.9
3.09,4.95,6.81,9.62,12.42,13.58,14.74
54.76,54.84,54.92,55.04,55.17,53.54,51.91
23.72,24.84,25.95,20.54,15.12,19.8,24.47
9.71,8.67,7.64,5.94,4.23,8.82,13.4
15.09,12.45,9.81,12.15,14.49,10.7,6.91
40.75,32.09,23.43,20.92,18.4,20.4,22.41
37.03,33.64,30.25,31.13,32.0,27.79,23.58
16.71,17.3,17.89,28.4,38.9,43.04,47.17
48.93,52.26,55.59,51.82,48.04,41.97,35.9
1.69,1.6,1.5,3.28,5.06,6.62,8.18
21.46,21.3,21.14,15.28,9.42,9.02,8.63
23.72,24.34,24.96,25.72,26.49,31.69,36.89
2.45,2.58,2.71,5.34,7.96,14.04,20.11
11.46,10.26,9.07,11.78,14.49,14.85,15.21
16.71,17.6,18.5,21.03,23.56,24.83,26.1
24.45,24.7,24.96,44.92,64.88,69.36,73.84
34.89,29.92,24.96,29.05,33.14,25.21,17.28
30.82,30.54,30.25,28.75,27.25,28.0,28.74
9.71,9.01,8.31,8.86,9.42,9.26,9.1
27.19,24.61,22.03,15.72,9.42,19.63,29.85
47.85,52.16,56.48,55.06,53.65,44.42,35.2
68.26,62.72,57.18,60.38,63.58,59.26,54.93
18.94,27.52,36.1,52.96,69.82,77.89,85.96
72.62,66.35,60.08,64.52,68.96,69.98,71.01
46.74,48.9,51.07,50.07,49.06,50.12,51.18
54.76,43.04,31.33,46.94,62.56,70.19,77.82
46.74,40.6,34.45,42.72,51.0,38.12,25.24
39.83,39.48,39.13,32.44,25.76,16.34,6.91
16.71,14.18,11.65,14.03,16.4,16.84,17.28
56.73,49.42,42.12,42.31,42.5,39.7,36.89
18.94,18.42,17.89,19.55,21.2,22.09,22.98
20.89,19.7,18.5,15.46,12.42,11.65,10.88
75.33,66.71,58.1,57.83,57.56,55.24,52.93
74.59,67.81,61.03,56.62,52.21,54.5,56.78
74.59,74.54,74.5,74.42,74.34,77.08,79.82
37.03,37.49,37.95,36.07,34.19,30.65,27.12
75.33,86.52,97.71,97.56,97.42,73.94,50.45
39.83,39.48,39.13,33.19,27.25,22.97,18.68
44.73,50.96,57.18,59.87,62.56,69.96,77.37
34.89,31.26,27.63,42.86,58.1,56.96,55.82
34.16,26.02,17.89,16.87,15.85,16.26,16.68
43.11,32.57,22.03,25.63,29.23,33.79,38.35
71.12,57.66,44.19,26.57,8.95,8.22,7.48
44.73,48.8,52.88,59.87,66.86,59.9,52.93
40.75,34.6,28.46,29.68,30.91,37.21,43.51
6.91,7.99,9.07,9.52,9.96,9.53,9.1
46.74,44.43,42.12,41.77,41.42,39.89,38.35
32.51,34.8,37.09,21.51,5.92,5.24,4.55
