2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding
74.59,74.54,74.5,73.66,72.81,72.34,71.87
18.94,17.54,16.14,17.27,18.4,20.4,22.41
86.44,90.12,93.79,94.82,95.86,92.29,88.73
90.19,91.07,91.95,92.49,93.03,92.06,91.09
93.7,91.54,89.37,88.28,87.2,90.38,93.57
5.76,5.04,4.33,4.56,4.78,6.13,7.48
87.81,86.0,84.18,80.28,76.38,80.22,84.05
87.33,90.56,93.79,90.98,88.16,87.19,86.22
98.79,99.03,99.27,97.79,96.31,93.08,89.85
70.49,68.27,66.06,59.14,52.21,45.9,39.59
97.1,96.7,96.31,96.08,95.86,96.45,97.04
76.5,77.0,77.49,79.21,80.93,86.5,92.08
96.21,95.56,94.91,94.46,94.01,92.88,91.76
81.31,77.14,72.97,70.96,68.96,75.98,83.0
92.68,92.56,92.45,88.28,84.11,83.03,81.95
83.22,78.86,74.5,74.42,74.34,74.71,75.08
77.84,82.46,87.07,90.3,93.54,95.16,96.79
47.85,58.38,68.9,67.88,66.86,71.56,76.26
68.26,72.03,75.8,79.53,83.25,80.8,78.36
60.17,64.09,68.0,65.79,63.58,61.95,60.31
89.4,90.04,90.67,86.38,82.08,76.54,71.01
95.45,96.18,96.91,95.11,93.31,94.56,95.8
78.16,81.96,85.77,85.58,85.39,77.91,70.43
80.01,85.0,90.0,87.06,84.11,81.63,79.15
24.45,24.37,24.29,32.86,41.42,41.14,40.87
69.79,75.96,82.14,84.24,86.34,90.44,94.53
97.01,97.21,97.42,96.32,95.22,94.16,93.09
81.31,79.7,78.1,81.36,84.62,86.68,88.73
75.33,70.33,65.33,73.33,81.34,76.86,72.37
80.01,82.89,85.77,89.26,92.74,90.61,88.48
85.8,84.52,83.25,76.54,69.82,74.48,79.15
94.97,95.42,95.86,95.21,94.56,94.02,93.48
71.76,69.24,66.73,70.16,73.58,74.1,74.63
69.79,72.14,74.5,77.92,81.34,78.8,76.26
94.3,93.12,91.95,94.0,96.05,97.07,98.09
91.12,91.15,91.18,90.91,90.64,91.79,92.93
74.59,77.01,79.43,74.99,70.55,72.59,74.63
67.62,66.0,64.37,74.01,83.64,84.66,85.68
92.68,93.92,95.16,93.73,92.3,93.88,95.45
73.96,82.57,91.18,92.87,94.56,94.24,93.92
94.81,96.74,98.66,96.79,94.91,94.29,93.67
87.33,89.48,91.63,92.82,94.01,85.69,77.37
72.62,79.19,85.77,87.32,88.86,84.34,79.82
90.19,89.4,88.6,87.47,86.34,90.24,94.14
55.71,46.83,37.95,35.54,33.14,40.15,47.17
82.74,76.71,70.68,74.39,78.1,83.42,88.73
98.34,96.99,95.64,94.12,92.61,95.18,97.74
65.87,67.38,68.9,73.97,79.05,77.43,75.81
89.62,87.7,85.77,82.98,80.2,76.72,73.23
97.52,96.54,95.57,94.95,94.33,95.27,96.21
99.78,99.46,99.14,98.58,98.03,98.11,98.19
92.36,93.76,95.16,92.9,90.64,91.86,93.09
92.04,91.61,91.18,91.57,91.95,92.81,93.67
91.82,86.62,81.41,80.03,78.64,87.34,96.05
84.24,87.85,91.47,93.34,95.22,94.4,93.57
94.97,93.84,92.71,92.63,92.55,93.46,94.37
98.5,98.55,98.6,98.76,98.92,97.72,96.53
87.33,90.56,93.79,91.64,89.49,89.34,89.18
96.63,96.4,96.18,93.87,91.56,91.32,91.09
59.22,55.14,51.07,55.9,60.74,64.85,68.97
96.34,94.4,92.45,89.82,87.2,89.64,92.08
30.82,33.02,35.21,42.63,50.05,50.25,50.45
80.01,83.13,86.25,87.56,88.86,90.54,92.23
87.33,85.29,83.25,80.19,77.14,78.9,80.65
71.12,66.47,61.83,62.2,62.56,61.0,59.45
87.81,80.8,73.8,82.08,90.35,91.64,92.93
95.45,93.8,92.14,92.22,92.3,92.7,93.09
68.26,70.62,72.97,74.68,76.38,79.16,81.95
39.83,32.39,24.96,29.05,33.14,36.36,39.59
83.22,87.34,91.47,95.01,98.54,98.32,98.09
94.08,94.49,94.91,92.9,90.89,93.34,95.8
86.82,81.31,75.8,69.18,62.56,61.0,59.45
92.04,91.76,91.47,93.19,94.91,96.28,97.64
11.97,10.52,9.07,8.52,7.96,9.42,10.88
62.56,59.52,56.48,56.29,56.1,62.2,68.3
96.05,96.29,96.53,96.08,95.64,89.32,83.0
86.44,85.31,84.18,85.04,85.9,75.3,64.7
4.81,5.08,5.35,4.79,4.23,4.04,3.85
90.51,92.48,94.46,89.92,85.39,68.28,51.18
73.96,75.72,77.49,75.91,74.34,71.99,69.64
67.62,66.84,66.06,64.82,63.58,63.16,62.73
77.17,80.48,83.79,85.98,88.16,85.58,83.0
24.45,23.94,23.43,21.92,20.41,24.58,28.74
10.32,11.51,12.7,12.86,13.02,12.83,12.64
91.56,91.85,92.14,89.24,86.34,80.09,73.84
23.02,25.74,28.46,28.46,28.46,27.28,26.1
20.89,21.78,22.67,24.22,25.76,25.5,25.24
67.62,68.26,68.9,65.27,61.64,53.44,45.23
60.17,61.89,63.61,60.58,57.56,59.38,61.2
33.4,36.26,39.13,39.48,39.83,37.02,34.21
34.16,33.27,32.38,34.34,36.29,41.73,47.17
16.71,14.71,12.7,12.86,13.02,13.53,14.04
12.61,14.37,16.14,18.67,21.2,19.24,17.28
87.33,88.35,89.37,86.1,82.84,83.16,83.48
71.76,73.4,75.04,68.34,61.64,60.05,58.47
6.24,6.32,6.4,6.16,5.92,6.42,6.91
28.84,26.56,24.29,25.77,27.25,28.0,28.74
4.39,3.98,3.57,3.26,2.96,3.07,3.18
73.48,71.69,69.91,71.74,73.58,75.48,77.37
62.56,63.08,63.61,62.62,61.64,64.97,68.3
54.76,52.07,49.38,40.14,30.91,28.51,26.1
80.01,81.08,82.14,76.7,71.25,64.02,56.78
4.81,2.7,0.6,0.48,0.35,0.38,0.41
