2014 SVI Below Poverty Data and Encoding,2015 SVI Below Poverty Data and Encoding,2016 SVI Below Poverty Data and Encoding,2017 SVI Below Poverty Data and Encoding,2018 SVI Below Poverty Data and Encoding,2019 SVI Below Poverty Data and Encoding,2020 SVI Below Poverty Data and Encoding
18.18,18.15,18.12,17.23,16.34,15.5,14.67
73.32,72.68,72.05,74.64,77.23,68.74,60.25
81.6,80.14,78.67,74.56,70.45,63.41,56.37
37.15,34.8,32.44,30.24,28.03,25.16,22.28
94.33,95.67,97.01,93.06,89.11,89.83,90.55
22.0,20.36,18.72,15.88,13.03,10.36,7.7
18.18,20.04,21.9,22.51,23.12,21.17,19.22
51.19,57.99,64.79,70.12,75.45,76.24,77.02
64.31,77.4,90.48,88.88,87.29,89.97,92.65
40.02,37.71,35.4,34.85,34.3,24.82,15.34
2.07,1.96,1.85,1.56,1.27,0.94,0.6
7.67,10.22,12.77,16.13,19.49,25.74,31.99
7.67,15.18,22.7,25.36,28.03,32.07,36.12
9.96,7.46,4.97,3.47,1.97,3.18,4.39
65.71,74.29,82.87,84.57,86.27,88.1,89.94
89.37,92.95,96.53,96.83,97.13,97.34,97.55
94.68,96.48,98.28,97.15,96.02,91.62,87.21
59.79,62.0,64.22,58.91,53.6,34.26,14.93
50.53,53.98,57.43,63.02,68.6,71.76,74.92
63.8,59.23,54.66,48.73,42.8,36.07,29.34
73.77,72.91,72.05,56.87,41.69,22.53,3.37
0.13,0.14,0.16,0.14,0.13,0.13,0.13
12.93,9.83,6.72,5.85,4.97,8.9,12.83
4.08,2.41,0.73,0.59,0.45,1.91,3.37
26.58,24.64,22.7,23.48,24.27,22.0,19.73
59.15,57.64,56.13,54.87,53.6,50.67,47.74
22.0,21.64,21.27,14.82,8.38,9.87,11.36
14.29,9.15,4.01,2.18,0.35,0.92,1.5
24.67,21.4,18.12,22.36,26.59,19.36,12.13
59.79,53.95,48.11,43.6,39.08,34.6,30.11
4.46,13.18,21.9,29.8,37.71,31.94,26.16
72.21,65.73,59.25,58.78,58.31,47.68,37.05
40.69,39.37,38.05,47.04,56.02,40.56,25.11
7.67,7.2,6.72,6.42,6.11,4.85,3.6
40.69,29.7,18.72,22.66,26.59,50.0,73.42
45.85,43.14,40.43,29.96,19.49,35.73,51.97
25.25,24.5,23.75,42.84,61.94,44.05,26.16
18.18,18.45,18.72,15.19,11.66,16.73,21.8
34.51,34.36,34.22,32.75,31.27,24.06,16.84
51.19,46.06,40.94,56.12,71.31,73.8,76.29
51.19,54.87,58.55,49.54,40.54,45.59,50.64
54.98,54.42,53.87,52.57,51.27,56.74,62.22
47.76,50.82,53.87,54.94,56.02,50.18,44.33
