2014 SVI Below Poverty Data and Encoding,2015 SVI Below Poverty Data and Encoding,2016 SVI Below Poverty Data and Encoding,2017 SVI Below Poverty Data and Encoding,2018 SVI Below Poverty Data and Encoding,2019 SVI Below Poverty Data and Encoding,2020 SVI Below Poverty Data and Encoding
76.06,75.82,75.58,75.91,76.24,73.91,71.58
80.36,82.74,85.13,86.98,88.82,89.51,90.2
78.26,83.04,87.81,92.06,96.31,96.32,96.34
81.12,77.03,72.94,74.9,76.85,80.52,84.18
56.29,65.94,75.58,76.68,77.77,82.06,86.35
26.58,28.3,30.02,29.28,28.54,25.17,21.8
94.94,94.59,94.24,88.01,81.78,84.19,86.6
54.98,54.82,54.66,59.02,63.38,64.52,65.66
59.15,62.59,66.03,70.28,74.52,63.6,52.67
93.86,94.29,94.72,95.45,96.18,94.64,93.09
66.7,63.6,60.49,64.54,68.6,68.02,67.44
82.01,81.7,81.38,77.95,74.52,77.85,81.19
16.87,19.07,21.27,23.12,24.97,24.4,23.84
79.59,81.62,83.64,84.34,85.03,81.73,78.42
98.92,98.57,98.22,98.88,99.55,99.34,99.14
62.4,69.2,75.99,79.97,83.95,77.64,71.32
94.62,92.23,89.84,81.27,72.71,80.09,87.46
57.82,59.16,60.49,64.54,68.6,67.8,67.0
31.14,36.63,42.12,54.28,66.43,66.2,65.98
90.99,91.8,92.61,93.52,94.43,93.68,92.93
85.07,87.33,89.59,91.68,93.76,96.13,98.5
67.62,72.03,76.44,66.23,56.02,49.9,43.79
92.39,90.1,87.81,87.36,86.91,82.9,78.9
59.79,54.63,49.47,49.42,49.36,33.3,17.25
90.7,91.02,91.34,90.34,89.33,81.51,73.68
50.05,47.22,44.38,41.73,39.08,39.83,40.58
56.29,59.6,62.91,64.67,66.43,65.52,64.61
22.0,21.64,21.27,19.01,16.75,12.26,7.77
44.54,42.17,39.8,36.12,32.45,41.54,50.64
37.15,32.24,27.32,26.7,26.08,23.6,21.13
33.24,38.04,42.85,41.24,39.62,39.22,38.83
19.48,22.62,25.76,25.01,24.27,22.22,20.18
20.98,24.15,27.32,29.3,31.27,29.0,26.73
48.39,52.52,56.64,57.01,57.39,55.96,54.52
54.98,54.42,53.87,54.94,56.02,51.37,46.72
72.62,75.01,77.4,76.42,75.45,73.8,72.15
21.43,20.08,18.72,18.07,17.42,14.98,12.54
56.29,60.54,64.79,70.36,75.92,78.92,81.92
53.49,52.69,51.89,47.66,43.44,39.47,35.49
68.13,66.46,64.79,68.75,72.71,72.8,72.88
15.98,13.9,11.81,10.89,9.97,8.67,7.38
57.82,59.4,60.97,61.04,61.11,62.12,63.14
1.56,1.96,2.36,2.62,2.87,2.42,1.97
9.14,10.28,11.43,12.68,13.92,12.51,11.11
1.31,1.68,2.04,1.69,1.34,0.97,0.6
44.54,51.9,59.25,54.31,49.36,49.14,48.92
0.96,1.23,1.5,1.48,1.46,1.16,0.86
15.98,17.05,18.12,16.54,14.97,15.46,15.95
4.62,5.07,5.51,4.27,3.03,2.98,2.93
54.98,56.76,58.55,57.65,56.75,58.04,59.33
1.81,2.91,4.01,4.61,5.22,3.88,2.55
31.68,31.17,30.66,23.7,16.75,23.9,31.06
4.93,5.22,5.51,6.11,6.72,5.43,4.14
0.67,0.64,0.6,1.21,1.82,1.46,1.11
22.99,24.64,26.3,29.7,33.09,30.71,28.33
3.25,3.39,3.53,4.07,4.62,4.38,4.14
11.75,12.51,13.28,12.94,12.61,10.89,9.17
4.23,3.61,2.99,2.48,1.97,2.21,2.45
2.96,4.41,5.86,7.61,9.36,8.06,6.75
86.34,88.34,90.35,85.43,80.51,80.38,80.24
14.93,17.48,20.03,17.77,15.51,12.88,10.25
27.67,30.06,32.44,34.08,35.73,31.7,27.66
58.29,56.08,53.87,53.37,52.87,53.41,53.95
18.18,16.9,15.63,15.06,14.49,16.1,17.7
87.68,86.88,86.09,85.28,84.46,79.52,74.57
11.75,9.46,7.16,6.06,4.97,4.79,4.61
27.67,28.18,28.69,27.86,27.04,23.61,20.18
27.67,28.5,29.32,28.68,28.03,24.92,21.8
19.48,14.94,10.41,9.25,8.09,6.94,5.79
19.48,21.09,22.7,22.91,23.12,20.18,17.25
23.56,23.13,22.7,21.92,21.15,22.49,23.84
59.79,61.03,62.27,64.05,65.83,60.4,54.96
35.94,39.78,43.62,41.62,39.62,27.96,16.3
6.65,6.9,7.16,7.48,7.8,5.7,3.6
9.58,12.84,16.11,13.63,11.15,7.77,4.39
2.39,2.82,3.25,3.54,3.82,2.84,1.85
4.93,5.68,6.43,6.58,6.72,5.04,3.37
78.0,76.79,75.58,75.75,75.92,65.76,55.6
21.43,22.32,23.21,22.18,21.15,16.99,12.83
47.28,46.18,45.08,51.7,58.31,57.34,56.37
35.94,34.78,33.62,31.08,28.54,32.79,37.05
34.51,29.53,24.55,22.56,20.57,19.13,17.7
58.68,56.28,53.87,50.55,47.23,56.28,65.34
37.15,34.8,32.44,31.86,31.27,28.72,26.16
66.7,69.08,71.47,71.39,71.31,63.46,55.6
44.54,45.14,45.75,53.43,61.11,61.0,60.88
18.91,15.17,11.43,11.54,11.66,10.1,8.53
46.55,48.65,50.75,54.53,58.31,54.86,51.4
24.23,23.06,21.9,18.7,15.51,19.07,22.63
59.15,61.68,64.22,63.08,61.94,61.41,60.88
63.13,63.67,64.22,59.46,54.71,58.6,62.48
57.12,57.84,58.55,61.49,64.43,60.97,57.51
38.24,41.66,45.08,38.51,31.94,28.52,25.11
32.35,30.52,28.69,26.19,23.69,21.46,19.22
60.39,64.27,68.16,59.11,50.06,51.36,52.67
66.19,64.55,62.91,67.81,72.71,69.34,65.98
92.96,90.62,88.28,88.44,88.6,86.88,85.17
21.43,22.32,23.21,18.85,14.49,12.07,9.64
40.02,49.89,59.76,56.89,54.01,60.3,66.58
57.12,56.62,56.13,47.88,39.62,44.65,49.68
32.35,37.6,42.85,41.24,39.62,33.98,28.33
14.93,18.1,21.27,22.19,23.12,16.68,10.25
17.86,17.64,17.41,16.46,15.51,19.39,23.27
78.0,78.51,79.02,78.58,78.15,73.37,68.59
72.62,74.53,76.44,73.88,71.31,72.1,72.88
74.72,76.06,77.4,74.11,70.83,70.76,70.69
22.0,17.91,13.82,16.65,19.49,18.9,18.3
66.7,68.56,70.42,71.1,71.78,65.56,59.33
73.77,70.96,68.16,63.24,58.31,59.6,60.88
81.6,83.36,85.13,83.45,81.78,79.66,77.53
45.85,42.18,38.52,37.94,37.36,42.55,47.74
82.01,82.57,83.13,81.16,79.2,71.62,64.04
45.3,43.12,40.94,38.68,36.43,31.58,26.73
65.01,61.46,57.91,59.51,61.11,65.69,70.27
40.02,49.89,59.76,52.03,44.3,53.0,61.71
97.26,96.44,95.61,94.81,94.01,91.79,89.56
58.68,57.66,56.64,50.89,45.13,42.2,39.27
68.55,65.12,61.7,60.3,58.89,51.9,44.91
55.65,56.54,57.43,61.18,64.94,64.95,64.96
45.85,45.46,45.08,40.02,34.97,31.65,28.33
61.67,60.11,58.55,44.91,31.27,21.46,11.65
96.53,95.14,93.76,91.54,89.33,90.37,91.41
21.43,18.77,16.11,17.8,19.49,21.25,23.01
18.18,13.45,8.72,6.03,3.34,4.78,6.21
39.29,40.42,41.55,37.0,32.45,33.33,34.21
1.69,1.77,1.85,2.05,2.26,1.99,1.72
73.32,76.36,79.4,70.99,62.58,60.04,57.51
47.28,47.93,48.58,52.98,57.39,59.8,62.22
28.33,27.32,26.3,26.44,26.59,22.91,19.22
60.39,56.36,52.34,44.85,37.36,35.57,33.77
54.25,55.19,56.13,58.62,61.11,54.33,47.55
48.39,50.72,53.04,52.67,52.29,54.52,56.75
85.61,85.15,84.69,83.88,83.06,78.64,74.22
43.27,44.81,46.35,41.39,36.43,36.58,36.73
31.14,29.69,28.24,25.96,23.69,23.16,22.63
50.05,47.9,45.75,50.56,55.38,52.15,48.92
22.99,21.1,19.2,20.8,22.39,21.58,20.78
67.62,64.3,60.97,61.45,61.94,52.66,43.38
47.76,50.82,53.87,58.22,62.58,62.86,63.14
74.72,74.1,73.48,69.66,65.83,59.89,53.95
70.23,68.13,66.03,67.81,69.59,64.92,60.25
14.93,13.85,12.77,11.96,11.15,8.47,5.79
74.72,74.76,74.79,69.86,64.94,65.76,66.58
78.89,77.08,75.26,69.84,64.43,68.92,73.42
51.19,49.04,46.9,50.25,53.6,59.47,65.34
82.01,83.41,84.81,81.02,77.23,71.45,65.66
67.62,70.28,72.94,70.01,67.07,60.8,54.52
32.35,36.39,40.43,45.85,51.27,51.62,51.97
16.36,15.32,14.29,12.38,10.48,9.6,8.72
34.51,35.28,36.04,42.32,48.6,50.64,52.67
81.12,77.59,74.05,72.68,71.31,68.32,65.34
62.4,63.31,64.22,66.68,69.14,66.59,64.04
43.97,41.88,39.8,39.71,39.62,38.33,37.05
60.39,56.72,53.04,54.21,55.38,54.95,54.52
46.55,48.34,50.14,52.76,55.38,55.49,55.6
74.18,77.57,80.96,80.76,80.57,72.08,63.59
45.85,43.14,40.43,33.74,27.04,28.57,30.11
44.54,47.64,50.75,52.38,54.01,51.46,48.92
69.12,65.41,61.7,58.2,54.71,57.79,60.88
43.97,45.43,46.9,46.36,45.83,37.08,28.33
88.98,88.98,88.98,88.4,87.83,83.36,78.9
67.62,68.53,69.44,64.88,60.32,56.74,53.15
23.56,27.58,31.61,34.66,37.71,41.82,45.93
4.62,4.8,4.97,4.0,3.03,2.98,2.93
33.24,32.42,31.61,32.35,33.09,33.13,33.16
75.61,73.27,70.93,71.82,72.71,72.43,72.15
37.73,36.88,36.04,35.5,34.97,25.82,16.68
31.14,26.92,22.7,24.87,27.04,33.81,40.58
67.62,67.06,66.51,68.67,70.83,64.52,58.21
6.65,6.54,6.43,6.96,7.48,8.74,9.99
34.51,34.06,33.62,32.44,31.27,26.95,22.63
0.22,0.24,0.25,0.27,0.29,0.24,0.19
55.65,53.36,51.07,49.84,48.6,50.48,52.36
18.91,19.06,19.2,18.66,18.12,28.17,38.22
2.29,2.16,2.04,2.15,2.26,2.6,2.93
29.19,27.48,25.76,27.15,28.54,29.8,31.06
53.49,55.07,56.64,60.79,64.94,57.79,50.64
7.67,16.72,25.76,31.74,37.71,30.36,23.01
50.53,51.21,51.89,43.1,34.3,41.61,48.92
22.99,19.89,16.78,19.26,21.75,22.51,23.27
5.13,4.7,4.27,3.95,3.63,3.28,2.93
2.8,2.93,3.06,2.51,1.97,1.97,1.97
12.93,10.82,8.72,9.04,9.36,9.5,9.64
31.14,30.58,30.02,29.28,28.54,27.89,27.24
20.22,23.77,27.32,26.15,24.97,21.64,18.3
20.98,21.44,21.9,27.18,32.45,36.15,39.85
14.93,17.48,20.03,19.08,18.12,12.75,7.38
12.45,18.1,23.75,22.45,21.15,26.57,31.99
29.19,27.48,25.76,25.36,24.97,19.82,14.67
19.48,17.79,16.11,11.42,6.72,7.46,8.21
27.09,25.42,23.75,24.01,24.27,26.8,29.34
3.79,4.03,4.27,4.75,5.22,7.43,9.64
30.63,32.73,34.83,37.22,39.62,36.16,32.69
18.18,14.04,9.9,8.69,7.48,10.68,13.88
41.29,38.66,36.04,29.58,23.12,28.14,33.16
32.35,27.52,22.7,22.22,21.75,29.98,38.22
14.29,18.1,21.9,22.14,22.39,24.28,26.16
48.39,53.15,57.91,59.51,61.11,48.06,35.01
6.43,7.16,7.9,9.19,10.48,11.51,12.54
33.24,29.77,26.3,18.39,10.48,10.58,10.69
3.79,5.26,6.72,10.32,13.92,20.32,26.73
9.14,8.52,7.9,10.0,12.1,9.3,6.49
11.75,17.9,24.04,22.6,21.15,28.32,35.49
36.68,37.6,38.52,40.11,41.69,39.65,37.62
5.13,5.92,6.72,9.66,12.61,11.98,11.36
92.39,88.17,83.95,82.86,81.78,87.08,92.39
4.93,5.03,5.13,5.8,6.46,8.22,9.99
15.98,20.01,24.04,31.83,39.62,38.33,37.05
14.29,13.05,11.81,9.26,6.72,10.08,13.43
28.33,26.76,25.18,28.56,31.94,30.64,29.34
24.67,24.61,24.55,24.41,24.27,26.8,29.34
42.02,40.54,39.06,37.74,36.43,42.31,48.19
12.93,11.8,10.67,8.39,6.11,9.77,13.43
16.36,20.77,25.18,20.76,16.34,14.24,12.13
50.53,45.16,39.8,43.16,46.53,51.64,56.75
29.83,27.19,24.55,22.56,20.57,19.74,18.91
7.67,9.17,10.67,11.64,12.61,10.57,8.53
17.86,15.57,13.28,13.6,13.92,16.83,19.73
8.88,8.8,8.72,13.07,17.42,18.58,19.73
43.97,40.74,37.5,36.24,34.97,34.76,34.56
22.0,26.33,30.66,28.62,26.59,32.71,38.83
29.83,31.5,33.17,34.07,34.97,34.76,34.56
11.17,11.72,12.26,9.09,5.92,9.53,13.14
54.25,52.66,51.07,50.22,49.36,45.19,41.02
22.99,19.89,16.78,17.1,17.42,20.63,23.84
15.98,20.01,24.04,25.54,27.04,26.32,25.59
23.56,20.48,17.41,19.28,21.15,24.2,27.24
22.99,23.77,24.55,23.84,23.12,21.65,20.18
34.0,26.36,18.72,17.74,16.75,16.79,16.84
14.29,11.02,7.74,12.58,17.42,12.81,8.21
55.65,52.12,48.58,49.92,51.27,46.6,41.92
1.18,1.34,1.5,2.05,2.61,1.98,1.34
5.13,4.7,4.27,4.75,5.22,3.54,1.85
16.87,15.34,13.82,9.52,5.22,7.74,10.25
32.35,34.92,37.5,37.94,38.38,35.53,32.69
17.86,14.84,11.81,15.65,19.49,20.64,21.8
57.12,59.04,60.97,58.5,56.02,43.54,31.06
14.93,21.81,28.69,33.88,39.08,40.99,42.9
50.05,43.04,36.04,37.83,39.62,43.9,48.19
9.96,10.32,10.67,17.82,24.97,23.38,21.8
4.62,3.84,3.06,2.96,2.87,5.54,8.21
57.12,52.85,48.58,51.09,53.6,60.3,67.0
12.45,9.15,5.86,9.89,13.92,18.6,23.27
1.18,0.96,0.73,0.76,0.8,0.68,0.57
12.45,18.5,24.55,30.14,35.73,39.32,42.9
9.58,10.12,10.67,12.58,14.49,14.18,13.88
43.27,40.89,38.52,43.26,47.99,41.28,34.56
2.07,1.74,1.4,0.97,0.54,1.02,1.5
31.14,26.92,22.7,31.62,40.54,33.35,26.16
96.24,96.38,96.53,97.58,98.63,98.24,97.84
82.65,78.72,74.79,70.31,65.83,76.09,86.35
91.53,93.14,94.75,92.68,90.61,93.32,96.02
92.96,90.88,88.79,88.31,87.83,89.62,91.41
79.4,82.1,84.81,86.64,88.47,77.23,65.98
98.44,98.78,99.11,98.88,98.66,98.6,98.54
89.88,91.2,92.52,92.31,92.1,88.25,84.4
81.12,71.04,60.97,55.52,50.06,62.14,74.22
90.16,91.96,93.76,88.28,82.8,88.0,93.19
89.75,89.36,88.98,88.58,88.18,78.51,68.84
98.95,99.33,99.71,99.74,99.78,99.57,99.36
87.36,79.42,71.47,73.69,75.92,79.07,82.21
93.54,92.7,91.85,90.02,88.18,90.68,93.19
99.17,98.92,98.66,98.63,98.6,99.06,99.52
92.39,93.62,94.84,92.34,89.84,86.02,82.21
94.72,93.16,91.6,91.26,90.92,92.88,94.84
12.45,13.6,14.74,14.08,13.41,14.68,15.95
94.81,94.36,93.92,92.92,91.91,92.01,92.11
64.31,66.57,68.83,65.39,61.94,77.36,92.78
62.4,63.31,64.22,56.41,48.6,64.07,79.54
54.98,59.88,64.79,56.39,47.99,43.41,38.83
83.57,85.83,88.09,89.57,91.05,87.12,83.2
72.21,69.88,67.56,68.76,69.97,61.96,53.95
73.32,76.36,79.4,79.3,79.2,74.94,70.69
88.98,90.04,91.09,88.38,85.67,84.71,83.74
99.78,99.81,99.84,99.8,99.75,99.72,99.68
99.65,99.72,99.78,99.54,99.3,99.52,99.75
97.04,98.32,99.59,99.64,99.68,97.16,94.65
54.98,65.48,75.99,65.0,54.01,56.4,58.78
46.55,48.01,49.47,53.89,58.31,55.14,51.97
81.6,82.23,82.87,85.46,88.06,87.94,87.81
99.97,99.73,99.49,99.73,99.97,98.68,97.39
95.03,96.75,98.47,96.59,94.71,93.64,92.58
85.07,86.18,87.3,85.29,83.28,83.51,83.74
96.63,96.39,96.15,96.6,97.04,96.29,95.54
91.53,91.2,90.86,90.1,89.33,84.78,80.24
50.05,51.19,52.34,57.14,61.94,59.72,57.51
85.35,85.72,86.09,85.28,84.46,85.96,87.46
71.28,76.54,81.79,79.01,76.24,83.56,90.87
93.16,93.4,93.63,93.39,93.15,93.96,94.78
69.12,68.34,67.56,62.47,57.39,48.62,39.85
99.71,99.65,99.59,99.51,99.43,99.12,98.82
89.88,90.48,91.09,88.06,85.03,81.28,77.53
89.37,85.8,82.23,83.82,85.41,80.16,74.92
30.63,30.64,30.66,27.46,24.27,20.76,17.25
96.31,95.12,93.92,95.12,96.31,96.02,95.74
70.23,68.13,66.03,68.9,71.78,78.57,85.36
78.26,77.83,77.4,73.92,70.45,76.33,82.21
93.35,94.3,95.26,95.16,95.06,96.16,97.26
83.57,83.6,83.64,86.38,89.11,91.52,93.92
79.97,83.23,86.5,90.02,93.54,89.56,85.58
98.54,98.03,97.52,97.17,96.82,96.34,95.86
98.12,97.9,97.68,97.36,97.04,96.77,96.5
88.6,86.28,83.95,82.86,81.78,88.1,94.43
80.36,78.4,76.44,67.66,58.89,54.76,50.64
76.66,75.35,74.05,73.86,73.66,81.8,89.94
93.54,95.45,97.36,97.95,98.54,97.86,97.17
50.53,57.66,64.79,70.12,75.45,68.84,62.22
85.61,85.21,84.81,86.82,88.82,90.8,92.78
99.4,99.26,99.11,99.02,98.92,99.08,99.24
20.22,16.49,12.77,10.8,8.82,12.24,15.66
89.75,91.32,92.9,94.65,96.4,95.72,95.04
97.58,97.3,97.01,95.08,93.15,95.27,97.39
87.36,90.7,94.05,92.87,91.69,84.36,77.02
83.57,84.19,84.81,74.62,64.43,72.55,80.68
65.01,70.72,76.44,71.13,65.83,73.04,80.24
98.73,98.58,98.44,98.16,97.87,97.92,97.96
94.81,94.88,94.94,96.2,97.45,97.53,97.61
57.12,53.63,50.14,63.96,77.77,69.99,62.22
89.24,88.1,86.95,82.36,77.77,85.6,93.44
52.98,60.57,68.16,68.88,69.59,79.9,90.2
95.83,95.51,95.19,90.02,84.84,91.77,98.7
87.14,79.04,70.93,63.16,55.38,53.68,51.97
88.32,89.99,91.66,93.48,95.29,92.92,90.55
85.07,86.18,87.3,84.05,80.8,81.62,82.43
99.24,98.9,98.57,98.44,98.31,98.34,98.38
95.73,93.41,91.09,88.06,85.03,87.62,90.2
83.57,82.26,80.96,86.78,92.61,80.27,67.92
94.72,96.74,98.76,98.46,98.15,98.22,98.28
96.43,95.75,95.07,91.31,87.55,86.46,85.36
81.6,81.49,81.38,70.5,59.62,73.33,87.05
98.85,98.63,98.41,98.24,98.06,98.4,98.73
91.53,91.69,91.85,92.9,93.95,90.42,86.89
9.96,10.32,10.67,10.91,11.15,13.73,16.3
22.0,24.15,26.3,23.2,20.1,34.51,48.92
58.29,60.6,62.91,58.26,53.6,63.91,74.22
73.32,78.48,83.64,82.9,82.17,77.79,73.42
81.6,83.62,85.64,84.8,83.95,83.67,83.39
75.14,64.5,53.87,43.48,33.09,48.11,63.14
71.73,71.89,72.05,73.5,74.94,72.46,69.99
80.83,84.06,87.3,76.12,64.94,71.55,78.17
73.77,72.91,72.05,71.91,71.78,64.64,57.51
59.79,63.42,67.05,66.74,66.43,61.02,55.6
69.63,75.5,81.38,82.92,84.46,85.84,87.21
41.29,37.76,34.22,42.49,50.76,64.83,78.9
40.69,37.16,33.62,31.08,28.54,25.41,22.28
53.49,59.76,66.03,62.17,58.31,49.08,39.85
57.82,60.36,62.91,63.92,64.94,59.23,53.53
33.24,50.4,67.56,61.79,56.02,57.68,59.33
84.53,80.96,77.4,71.91,66.43,66.04,65.66
11.17,11.3,11.43,14.42,17.42,13.84,10.25
85.61,86.06,86.5,79.6,72.71,81.01,89.31
54.98,51.54,48.11,39.36,30.61,35.23,39.85
16.36,18.43,20.5,20.3,20.1,21.19,22.28
50.05,44.05,38.05,38.83,39.62,60.31,81.0
9.96,10.18,10.41,9.1,7.8,9.72,11.65
12.45,12.35,12.26,18.26,24.27,18.85,13.43
34.0,32.01,30.02,26.86,23.69,19.82,15.95
52.56,43.69,34.83,32.72,30.61,34.94,39.27
83.09,81.85,80.61,78.73,76.85,75.54,74.22
81.12,79.26,77.4,81.92,86.43,86.15,85.87
83.57,74.8,66.03,58.65,51.27,68.81,86.35
49.25,51.56,53.87,45.79,37.71,51.16,64.61
17.86,29.14,40.43,40.79,41.15,33.0,24.86
73.77,78.86,83.95,83.06,82.17,82.19,82.21
78.89,77.95,77.01,80.14,83.28,79.1,74.92
92.39,93.22,94.05,94.43,94.81,94.3,93.79
26.58,26.44,26.3,25.0,23.69,22.41,21.13
44.54,42.74,40.94,29.18,17.42,20.34,23.27
50.53,50.8,51.07,59.26,67.45,64.58,61.71
68.55,68.69,68.83,69.4,69.97,67.46,64.96
58.68,66.74,74.79,67.55,60.32,62.64,64.96
45.85,57.0,68.16,70.69,73.22,79.29,85.36
65.71,73.16,80.61,82.14,83.66,75.93,68.2
87.14,88.81,90.48,78.96,67.45,71.98,76.51
25.25,31.88,38.52,37.94,37.36,42.55,47.74
57.12,61.58,66.03,58.65,51.27,44.74,38.22
84.08,84.44,84.81,85.24,85.67,88.78,91.88
81.12,81.55,81.98,81.88,81.78,81.01,80.24
58.68,59.22,59.76,56.32,52.87,48.6,44.33
60.39,62.02,63.64,65.54,67.45,68.46,69.48
18.18,19.1,20.03,20.3,20.57,16.11,11.65
58.29,58.42,58.55,56.28,54.01,49.46,44.91
86.34,80.96,75.58,75.52,75.45,79.18,82.91
70.23,70.85,71.47,61.37,51.27,60.38,69.48
16.36,22.16,27.95,32.83,37.71,39.82,41.92
64.31,64.95,65.58,65.0,64.43,72.55,80.68
20.98,29.52,38.05,46.38,54.71,65.23,75.75
43.27,40.66,38.05,36.51,34.97,29.68,24.38
63.13,65.09,67.05,59.16,51.27,53.12,54.96
47.76,55.7,63.64,62.38,61.11,54.87,48.63
79.59,78.88,78.16,77.5,76.85,83.2,89.56
69.12,69.28,69.44,60.36,51.27,45.92,40.58
72.62,63.64,54.66,55.02,55.38,52.15,48.92
58.29,64.1,69.91,64.76,59.62,60.25,60.88
55.65,58.07,60.49,66.6,72.71,71.92,71.13
61.67,52.26,42.85,33.56,24.27,39.93,55.6
78.89,75.47,72.05,71.01,69.97,59.44,48.92
95.96,96.28,96.59,94.25,91.91,94.33,96.75
23.56,25.9,28.24,33.66,39.08,31.04,23.01
45.3,47.72,50.14,47.63,45.13,54.87,64.61
60.39,61.04,61.7,63.77,65.83,64.71,63.59
78.64,83.46,88.28,87.92,87.55,85.23,82.91
84.53,86.96,89.4,88.62,87.83,88.7,89.56
41.29,41.42,41.55,42.5,43.44,47.9,52.36
93.16,92.12,91.09,89.64,88.18,80.16,72.15
91.24,91.88,92.52,91.04,89.55,93.17,96.79
7.32,5.42,3.53,4.6,5.67,9.1,12.54
76.31,85.04,93.76,93.76,93.76,95.51,97.26
95.03,95.38,95.73,95.64,95.54,96.78,98.03
22.0,14.04,6.08,7.45,8.82,21.69,34.56
66.7,62.3,57.91,62.17,66.43,62.88,59.33
69.63,73.52,77.4,81.68,85.96,80.09,74.22
47.28,47.09,46.9,45.6,44.3,56.89,69.48
4.23,4.12,4.01,4.31,4.62,4.11,3.6
75.61,68.94,62.27,55.13,47.99,57.72,67.44
29.19,36.02,42.85,45.04,47.23,48.08,48.92
70.23,69.53,68.83,69.83,70.83,58.98,47.14
13.47,21.74,30.02,32.16,34.3,36.79,39.27
66.19,64.23,62.27,58.49,54.71,57.79,60.88
46.55,49.44,52.34,51.2,50.06,39.2,28.33
85.07,79.28,73.48,72.4,71.31,72.5,73.68
88.32,87.98,87.65,91.15,94.65,94.84,95.04
1.75,2.05,2.36,2.31,2.26,1.56,0.86
79.59,81.77,83.95,76.28,68.6,73.75,78.9
40.02,41.07,42.12,45.36,48.6,39.18,29.76
72.62,65.03,57.43,58.88,60.32,61.96,63.59
16.87,16.49,16.11,16.43,16.75,14.2,11.65
68.55,63.9,59.25,59.78,60.32,59.26,58.21
88.32,85.6,82.87,69.12,55.38,53.87,52.36
37.73,46.2,54.66,55.71,56.75,60.85,64.96
70.23,71.86,73.48,77.36,81.24,77.06,72.88
84.85,84.77,84.69,90.37,96.05,93.57,91.09
52.09,51.12,50.14,50.7,51.27,67.33,83.39
42.02,49.33,56.64,58.13,59.62,68.45,77.28
51.19,43.3,35.4,35.18,34.97,47.92,60.88
50.53,52.59,54.66,61.63,68.6,69.86,71.13
74.18,68.91,63.64,65.04,66.43,66.72,67.0
78.89,85.61,92.33,91.47,90.61,92.02,93.44
70.23,65.6,60.97,51.33,41.69,60.96,80.24
36.68,36.66,36.64,38.13,39.62,38.62,37.62
86.79,80.55,74.31,76.76,79.2,81.8,84.4
81.12,83.49,85.86,88.0,90.13,92.02,93.92
52.56,60.7,68.83,66.39,63.95,66.27,68.59
35.31,34.47,33.62,43.24,52.87,53.2,53.53
84.08,87.47,90.86,91.28,91.69,92.94,94.18
94.11,93.64,93.16,91.82,90.48,85.58,80.68
44.54,51.54,58.55,57.97,57.39,62.2,67.0
95.03,94.82,94.62,94.12,93.63,95.48,97.33
94.49,94.93,95.38,96.13,96.88,94.64,92.39
12.93,10.22,7.51,6.06,4.62,17.36,30.11
20.98,20.09,19.2,19.35,19.49,18.16,16.84
17.29,23.98,30.66,35.14,39.62,44.27,48.92
38.78,41.2,43.62,40.02,36.43,42.31,48.19
79.4,80.69,81.98,78.08,74.17,64.57,54.96
29.19,25.54,21.9,19.66,17.42,22.33,27.24
2.8,1.67,0.54,0.46,0.38,11.82,23.27
40.02,43.79,47.56,31.95,16.34,17.78,19.22
68.55,73.61,78.67,77.06,75.45,81.87,88.29
1.81,2.67,3.53,10.14,16.75,14.06,11.36
15.57,27.32,39.06,40.93,42.8,44.76,46.72
34.51,36.28,38.05,33.74,29.43,31.6,33.77
35.94,35.99,36.04,33.32,30.61,27.74,24.86
8.47,5.86,3.25,2.36,1.46,19.84,38.22
97.87,97.95,98.03,98.17,98.31,97.82,97.33
77.49,65.68,53.87,50.93,47.99,49.7,51.4
28.33,34.94,41.55,25.18,8.82,27.98,47.14
68.13,75.38,82.62,79.43,76.24,76.17,76.1
8.88,8.39,7.9,10.0,12.1,9.55,7.0
28.33,29.18,30.02,36.16,42.29,43.04,43.79
83.09,81.85,80.61,81.56,82.52,75.94,69.35
18.91,23.12,27.32,26.7,26.08,22.49,18.91
52.56,50.33,48.11,47.32,46.53,62.18,77.82
56.29,60.26,64.22,68.46,72.71,73.82,74.92
9.14,14.58,20.03,13.6,7.17,7.85,8.53
13.47,18.08,22.7,22.54,22.39,16.19,9.99
37.15,42.36,47.56,49.42,51.27,40.52,29.76
74.18,76.42,78.67,71.8,64.94,71.24,77.53
49.25,50.8,52.34,51.55,50.76,44.8,38.83
52.98,55.76,58.55,66.54,74.52,66.02,57.51
27.67,27.5,27.32,30.81,34.3,34.04,33.77
17.29,32.94,48.58,29.28,9.97,41.7,73.42
35.31,44.59,53.87,52.32,50.76,48.35,45.93
69.12,72.56,75.99,77.44,78.89,67.24,55.6
17.86,11.68,5.51,13.33,21.15,29.1,37.05
43.97,30.69,17.41,26.57,35.73,39.19,42.65
69.12,67.82,66.51,46.29,26.08,58.38,90.67
66.7,64.2,61.7,54.12,46.53,40.77,35.01
32.35,20.33,8.31,5.07,1.82,3.41,5.0
90.7,92.02,93.35,94.64,95.92,97.02,98.12
70.9,72.47,74.05,73.86,73.66,73.94,74.22
84.3,83.97,83.64,80.24,76.85,80.12,83.39
20.22,20.36,20.5,22.74,24.97,28.26,31.54
76.66,74.62,72.59,73.76,74.94,68.85,62.76
4.08,4.32,4.55,4.09,3.63,4.79,5.95
31.68,28.43,25.18,16.49,7.8,12.32,16.84
