2014 SVI Single-Parent Household Data and Encoding,2015 SVI Single-Parent Household Data and Encoding,2016 SVI Single-Parent Household Data and Encoding,2017 SVI Single-Parent Household Data and Encoding,2018 SVI Single-Parent Household Data and Encoding,2019 SVI Single-Parent Household Data and Encoding,2020 SVI Single-Parent Household Data and Encoding
72.27,70.81,69.34,70.66,71.98,73.69,75.4
90.54,89.4,88.25,87.54,86.82,86.12,85.42
25.15,26.59,28.02,24.36,20.69,26.6,32.5
94.65,94.28,93.92,93.34,92.77,92.58,92.39
19.96,15.55,11.14,10.26,9.39,11.32,13.24
61.22,60.2,59.18,56.65,54.12,50.63,47.14
74.24,74.14,74.05,75.88,77.71,79.44,81.16
75.49,45.36,15.22,19.54,23.85,19.04,14.23
69.12,68.96,68.8,69.26,69.72,71.82,73.93
56.89,46.86,36.84,33.22,29.61,41.52,53.44
95.29,95.28,95.26,94.42,93.57,91.68,89.78
34.86,32.76,30.66,30.94,31.23,33.04,34.85
15.79,16.79,17.8,16.76,15.73,21.12,26.51
39.8,25.08,10.35,27.76,45.18,24.36,3.53
11.24,11.76,12.29,11.26,10.22,16.54,22.85
46.96,49.78,52.59,52.46,52.34,49.74,47.14
86.12,83.6,81.09,77.12,73.16,75.65,78.13
59.03,57.77,56.51,55.32,54.12,56.61,59.1
2.23,2.66,3.09,3.38,3.66,4.26,4.87
16.78,13.61,10.44,8.54,6.65,5.76,4.87
28.18,29.23,30.28,34.1,37.92,46.64,55.35
23.24,37.95,52.66,51.59,50.53,53.9,57.26
11.49,13.1,14.71,14.79,14.87,11.65,8.43
25.31,28.51,31.71,33.03,34.35,27.18,20.02
17.48,16.51,15.54,37.46,59.38,49.22,39.05
12.48,12.7,12.93,27.1,41.26,34.76,28.26
67.65,66.5,65.36,72.2,79.05,76.49,73.93
37.09,34.16,31.23,25.3,19.36,13.53,7.7
61.0,63.76,66.51,67.42,68.32,73.23,78.13
61.89,57.32,52.75,60.54,68.32,63.71,59.1
87.14,85.66,84.18,85.23,86.28,81.49,76.7
35.37,42.23,49.09,54.24,59.38,52.27,45.16
39.67,32.19,24.71,25.04,25.37,23.26,21.16
37.66,41.24,44.83,33.94,23.05,16.09,9.13
69.69,63.13,56.57,62.44,68.32,60.88,53.44
79.56,66.89,54.22,42.72,31.23,33.92,36.6
35.08,29.42,23.75,22.22,20.69,28.64,36.6
18.82,23.82,28.81,30.02,31.23,26.2,21.16
25.69,34.6,43.52,54.41,65.3,47.9,30.49
57.88,48.72,39.57,39.59,39.61,44.38,49.14
49.19,46.45,43.71,50.73,57.75,51.46,45.16
29.42,31.34,33.27,38.29,43.3,45.22,47.14
90.64,90.72,90.8,90.5,90.19,89.22,88.26
36.61,38.56,40.5,31.78,23.05,25.66,28.26
34.83,35.44,36.04,34.26,32.47,42.96,53.44
30.21,31.18,32.16,37.73,43.3,35.78,28.26
75.64,80.12,84.59,85.43,86.28,74.43,62.57
34.45,35.7,36.96,40.13,43.3,39.95,36.6
17.41,15.63,13.85,11.62,9.39,7.6,5.82
39.89,39.51,39.13,34.37,29.61,24.82,20.02
63.93,65.94,67.94,65.14,62.34,59.8,57.26
52.44,61.98,71.51,73.1,74.69,69.4,64.1
16.71,16.66,16.62,23.11,29.61,21.42,13.24
20.89,23.9,26.9,23.8,20.69,20.36,20.02
59.63,61.3,62.97,64.14,65.3,57.22,49.14
78.26,78.16,78.06,79.0,79.94,80.55,81.16
72.59,69.04,65.49,63.07,60.65,59.88,59.1
27.89,28.74,29.58,45.96,62.34,41.75,21.16
72.75,73.13,73.51,72.32,71.12,67.61,64.1
19.01,30.39,41.77,49.76,57.75,45.13,32.5
40.94,31.04,21.14,14.46,7.77,4.84,1.91
33.21,36.18,39.16,35.2,31.23,28.0,24.76
4.78,4.12,3.47,4.79,6.11,4.82,3.53
59.89,61.28,62.66,66.19,69.72,57.44,45.16
21.74,20.76,19.77,17.32,14.87,14.55,14.23
69.53,55.42,41.32,23.98,6.65,5.76,4.87
16.68,18.39,20.09,25.66,31.23,24.31,17.38
52.82,52.88,52.94,52.64,52.34,51.79,51.24
24.64,20.96,17.29,14.46,11.62,17.24,22.85
17.92,20.8,23.69,25.8,27.92,29.2,30.49
57.78,63.08,68.39,60.36,52.34,41.42,30.49
44.29,38.5,32.7,39.91,47.12,36.82,26.51
60.59,56.31,52.02,45.82,39.61,31.23,22.85
32.16,30.93,29.7,32.03,34.35,36.7,39.05
49.44,43.96,38.49,36.42,34.35,28.6,22.85
49.47,46.13,42.79,44.96,47.12,43.08,39.05
68.23,71.24,74.24,74.46,74.69,56.87,39.05
14.39,11.14,7.9,8.64,9.39,18.83,28.26
86.21,86.04,85.86,86.34,86.82,85.01,83.2
37.5,33.76,30.02,38.57,47.12,39.81,32.5
35.69,31.98,28.27,24.48,20.69,26.6,32.5
44.22,49.95,55.68,60.49,65.3,43.23,21.16
49.89,52.02,54.15,46.88,39.61,32.18,24.76
2.8,2.36,1.91,2.11,2.32,2.43,2.55
64.6,71.21,77.81,71.56,65.3,50.08,34.85
29.19,27.78,26.36,33.81,41.26,23.92,6.59
22.09,32.63,43.17,52.76,62.34,68.87,75.4
28.78,31.74,34.7,30.04,25.37,27.93,30.49
10.95,8.69,6.43,6.27,6.11,6.9,7.7
31.3,36.7,42.09,35.85,29.61,35.48,41.34
75.96,77.43,78.89,81.36,83.83,83.52,83.2
57.08,54.56,52.05,52.19,52.34,55.72,59.1
62.43,65.84,69.25,71.21,73.16,59.16,45.16
13.75,17.78,21.81,30.71,39.61,32.18,24.76
11.14,15.42,19.71,32.44,45.18,31.28,17.38
56.19,50.64,45.08,47.8,50.53,45.93,41.34
34.26,32.78,31.3,28.34,25.37,22.04,18.71
68.1,63.95,59.79,56.06,52.34,58.85,65.37
22.57,23.22,23.88,19.8,15.73,21.12,26.51
93.57,93.41,93.25,92.72,92.2,91.48,90.77
53.23,62.18,71.12,75.09,79.05,71.58,64.1
19.71,23.7,27.7,27.18,26.65,28.57,30.49
52.18,53.44,54.7,57.68,60.65,54.9,49.14
50.94,47.1,43.27,46.14,49.0,47.08,45.16
88.6,89.32,90.04,91.36,92.68,91.72,90.77
83.0,82.32,81.63,81.2,80.77,71.67,62.57
22.25,13.9,5.54,7.46,9.39,7.13,4.87
21.39,28.24,35.08,48.71,62.34,55.74,49.14
33.05,35.31,37.57,41.37,45.18,44.17,43.16
60.68,62.34,63.99,63.17,62.34,58.84,55.35
11.33,14.16,17.0,19.58,22.16,24.34,26.51
64.06,59.4,54.73,58.54,62.34,49.47,36.6
54.38,41.68,28.97,41.54,54.12,61.37,68.62
40.78,37.38,33.97,38.64,43.3,32.23,21.16
45.91,40.54,35.18,39.24,43.3,48.37,53.44
44.67,42.64,40.62,40.94,41.26,33.88,26.51
27.28,20.2,13.12,20.52,27.92,20.58,13.24
31.77,31.77,31.77,32.12,32.47,33.66,34.85
50.59,55.82,61.06,55.79,50.53,41.52,32.5
58.29,58.24,58.2,61.1,63.99,67.07,70.15
71.98,71.01,70.04,74.54,79.05,69.08,59.1
19.29,16.7,14.1,17.4,20.69,18.1,15.5
36.71,35.53,34.35,34.35,34.35,34.6,34.85
25.57,25.47,25.37,23.03,20.69,19.04,17.38
61.06,64.15,67.24,70.2,73.16,67.12,61.08
43.23,41.34,39.45,38.68,37.92,39.63,41.34
59.09,43.92,28.75,32.44,36.13,29.49,22.85
46.86,44.73,42.6,37.53,32.47,42.96,53.44
27.83,32.89,37.95,30.5,23.05,27.78,32.5
11.91,15.49,19.07,26.71,34.35,27.18,20.02
47.85,47.63,47.41,54.87,62.34,43.55,24.76
32.51,33.52,34.54,29.96,25.37,22.04,18.71
20.76,31.18,41.61,31.15,20.69,17.46,14.23
44.92,45.11,45.3,45.24,45.18,26.44,7.7
45.14,52.83,60.52,57.32,54.12,57.6,61.08
23.75,23.32,22.89,16.96,11.02,25.04,39.05
26.74,44.03,61.32,60.35,59.38,42.07,24.76
16.3,15.9,15.5,17.43,19.36,17.43,15.5
14.8,16.73,18.66,15.58,12.51,28.84,45.16
17.83,19.77,21.71,31.49,41.26,29.32,17.38
51.54,45.27,39.0,36.68,34.35,36.7,39.05
8.21,12.96,17.7,14.66,11.62,13.56,15.5
55.11,48.25,41.39,56.68,71.98,68.04,64.1
33.59,42.76,51.93,56.29,60.65,34.54,8.43
96.94,96.62,96.31,95.64,94.97,93.02,91.06
16.81,16.33,15.85,16.46,17.06,28.06,39.05
53.33,69.09,84.85,73.6,62.34,49.47,36.6
20.28,27.51,34.73,34.54,34.35,28.6,22.85
83.7,85.02,86.34,88.26,90.19,84.16,78.13
32.19,44.03,55.87,53.2,50.53,39.4,28.26
77.4,79.1,80.8,73.05,65.3,69.03,72.76
15.22,16.08,16.94,14.28,11.62,16.39,21.16
74.72,63.5,52.28,59.65,67.02,71.86,76.7
76.54,74.65,72.75,76.76,80.77,83.54,86.31
10.98,20.2,29.42,23.24,17.06,17.22,17.38
51.29,54.32,57.34,53.94,50.53,43.56,36.6
11.88,12.56,13.24,14.48,15.73,24.12,32.5
58.07,56.16,54.25,66.65,79.05,77.22,75.4
57.21,47.52,37.82,35.14,32.47,21.88,11.3
47.88,48.5,49.12,34.9,20.69,28.64,36.6
56.77,43.35,29.93,33.03,36.13,42.64,49.14
5.54,4.06,2.58,6.4,10.22,10.18,10.15
72.3,71.8,71.31,71.65,71.98,64.62,57.26
42.53,39.81,37.09,28.89,20.69,28.64,36.6
34.73,33.28,31.84,41.18,50.53,39.4,28.26
36.87,30.82,24.77,27.19,29.61,28.06,26.51
75.14,67.4,59.66,57.82,55.97,54.71,53.44
64.66,44.08,23.5,27.36,31.23,39.18,47.14
75.42,62.2,48.97,49.75,50.53,63.62,76.7
59.5,56.1,52.69,46.15,39.61,33.94,28.26
23.4,28.7,34.0,31.8,29.61,39.38,49.14
55.75,63.39,71.03,67.51,63.99,62.54,61.08
31.07,40.22,49.38,36.61,23.85,14.36,4.87
39.19,46.75,54.31,56.03,57.75,49.54,41.34
57.15,55.78,54.41,50.77,47.12,35.94,24.76
5.73,5.33,4.93,4.46,3.98,4.9,5.82
30.79,46.07,61.35,61.0,60.65,69.94,79.22
23.62,26.76,29.89,24.0,18.12,23.19,28.26
2.67,7.28,11.88,23.12,34.35,28.6,22.85
22.41,23.26,24.1,21.73,19.36,25.93,32.5
67.97,75.3,82.62,87.0,91.37,86.74,82.11
36.99,35.03,33.08,47.71,62.34,60.72,59.1
55.81,52.61,49.41,47.3,45.18,46.16,47.14
43.14,54.87,66.6,65.95,65.3,62.2,59.1
12.58,31.84,51.1,56.72,62.34,65.48,68.62
4.33,8.8,13.28,13.32,13.37,13.8,14.23
61.92,59.79,57.66,46.9,36.13,32.2,28.26
34.22,44.69,55.17,67.97,80.77,80.96,81.16
94.52,95.64,96.75,95.86,94.97,95.18,95.39
58.96,57.09,55.21,42.41,29.61,47.49,65.37
7.74,17.65,27.57,45.78,63.99,70.34,76.7
86.06,81.22,76.38,80.93,85.48,89.46,93.44
30.37,32.49,34.61,29.99,25.37,35.26,45.16
99.2,99.04,98.89,98.87,98.85,98.84,98.82
81.25,79.38,77.52,84.24,90.96,83.18,75.4
20.15,15.38,10.6,8.98,7.35,13.68,20.02
95.77,96.16,96.56,95.89,95.22,97.26,99.3
34.35,34.86,35.37,25.55,15.73,16.56,17.38
99.08,99.18,99.27,98.95,98.63,87.02,75.4
84.43,81.27,78.1,76.97,75.84,86.33,96.82
98.44,97.94,97.45,97.1,96.75,97.16,97.58
99.71,99.57,99.43,99.18,98.92,98.87,98.82
73.58,81.68,89.78,89.26,88.73,87.74,86.76
87.62,87.74,87.87,81.86,75.84,84.88,93.92
85.0,86.12,87.23,82.47,77.71,80.93,84.15
93.98,95.28,96.59,95.78,94.97,95.6,96.24
91.95,89.05,86.15,80.99,75.84,80.63,85.42
57.62,41.8,25.98,16.04,6.11,31.68,57.26
21.01,26.66,32.31,23.11,13.91,35.58,57.26
81.44,88.98,96.53,94.65,92.77,94.08,95.39
63.55,71.7,79.85,84.29,88.73,90.79,92.84
89.81,91.24,92.68,93.12,93.57,94.32,95.07
98.66,98.47,98.28,97.96,97.64,97.4,97.17
99.68,99.79,99.9,99.84,99.78,99.81,99.84
98.54,98.19,97.84,98.14,98.44,98.33,98.22
8.44,13.4,18.37,16.62,14.87,28.11,41.34
18.34,41.9,65.46,65.38,65.3,50.08,34.85
67.43,65.74,64.06,70.88,77.71,82.68,87.65
94.01,92.92,91.82,92.5,93.19,94.29,95.39
99.62,99.24,98.85,97.37,95.89,97.15,98.41
94.59,96.2,97.8,80.9,63.99,51.52,39.05
94.08,93.0,91.91,91.82,91.72,92.82,93.92
68.93,81.63,94.33,96.38,98.44,98.68,98.92
72.17,59.56,46.96,47.04,47.12,50.28,53.44
90.77,91.51,92.26,84.05,75.84,78.5,81.16
97.68,96.96,96.24,93.22,90.19,93.76,97.33
69.75,59.12,48.49,52.23,55.97,53.6,51.24
96.08,92.42,88.76,92.55,96.34,95.51,94.68
89.68,89.49,89.3,87.39,85.48,82.84,80.2
99.65,99.56,99.46,99.46,99.46,99.57,99.68
88.35,87.78,87.2,85.1,83.0,77.31,71.61
83.92,88.33,92.74,93.76,94.78,93.36,91.95
82.84,82.57,82.3,81.54,80.77,79.99,79.22
95.19,89.04,82.9,75.61,68.32,55.74,43.16
90.32,86.74,83.16,77.14,71.12,78.94,86.76
76.41,76.58,76.76,69.55,62.34,62.45,62.57
87.2,90.04,92.87,95.22,97.58,91.18,84.79
96.15,96.6,97.04,97.2,97.36,92.81,88.26
95.42,96.58,97.74,96.64,95.54,89.37,83.2
97.52,97.4,97.29,95.81,94.33,97.14,99.94
74.05,72.82,71.6,61.06,50.53,66.86,83.2
75.04,82.11,89.18,84.12,79.05,80.1,81.16
78.89,70.32,61.76,59.76,57.75,64.68,71.61
73.16,73.88,74.59,64.36,54.12,66.67,79.22
94.24,96.18,98.12,96.92,95.73,92.0,88.26
88.44,90.06,91.69,91.32,90.96,80.55,70.15
76.7,71.45,66.19,55.69,45.18,61.65,78.13
94.49,94.49,94.49,92.34,90.19,89.5,88.8
63.8,60.35,56.89,53.71,50.53,64.88,79.22
99.01,99.09,99.17,99.08,98.98,98.46,97.93
95.7,93.04,90.39,81.18,71.98,84.48,96.98
85.2,80.17,75.14,74.15,73.16,56.1,39.05
95.38,90.05,84.72,59.54,34.35,35.48,36.6
85.93,88.46,90.99,73.48,55.97,64.37,72.76
97.99,98.62,99.24,98.92,98.6,99.02,99.43
98.38,94.67,90.96,93.56,96.15,93.81,91.47
88.79,91.68,94.56,85.68,76.79,74.78,72.76
83.51,72.84,62.18,70.62,79.05,74.6,70.15
40.24,34.74,29.23,22.05,14.87,17.44,20.02
99.49,99.49,99.49,99.58,99.68,99.64,99.59
79.37,63.67,47.98,57.5,67.02,67.15,67.28
61.32,60.03,58.74,68.23,77.71,60.43,43.16
92.33,93.49,94.65,92.42,90.19,92.69,95.19
99.27,99.0,98.73,98.04,97.36,97.6,97.84
67.05,77.54,88.03,86.76,85.48,89.46,93.44
93.19,90.07,86.95,86.22,85.48,74.79,64.1
90.39,88.0,85.61,68.97,52.34,74.76,97.17
98.19,96.78,95.38,88.07,80.77,80.49,80.2
64.95,77.53,90.1,77.04,63.99,48.24,32.5
99.43,99.42,99.4,99.02,98.63,98.1,97.58
15.44,13.06,10.67,15.02,19.36,36.4,53.44
17.67,24.34,31.01,26.58,22.16,24.34,26.51
23.5,19.95,16.4,13.71,11.02,14.2,17.38
67.59,62.91,58.23,51.7,45.18,56.9,68.62
37.54,31.74,25.95,34.62,43.3,42.32,41.34
19.55,29.24,38.94,53.63,68.32,61.83,55.35
53.71,56.66,59.6,63.96,68.32,62.79,57.26
12.51,12.6,12.7,8.98,5.25,13.2,21.16
25.92,27.38,28.84,24.1,19.36,15.86,12.35
42.88,39.84,36.8,34.64,32.47,39.8,47.14
80.23,81.87,83.51,82.14,80.77,74.69,68.62
66.32,70.04,73.77,72.45,71.12,69.2,67.28
53.04,42.9,32.76,30.34,27.92,27.22,26.51
69.18,62.56,55.94,61.48,67.02,56.09,45.16
28.14,18.29,8.44,6.61,4.78,6.24,7.7
54.41,43.38,32.35,36.8,41.26,38.93,36.6
25.37,43.09,60.81,54.9,49.0,37.76,26.51
18.56,42.23,65.9,73.88,81.85,57.18,32.5
54.47,53.4,52.34,51.43,50.53,50.89,51.24
20.25,27.54,34.83,51.58,68.32,41.91,15.5
18.53,12.16,5.79,6.22,6.65,8.98,11.3
51.99,55.7,59.41,54.97,50.53,43.56,36.6
13.66,35.25,56.83,58.74,60.65,36.94,13.24
69.98,66.36,62.75,60.25,57.75,65.84,73.93
74.5,81.25,88.0,87.76,87.52,72.39,57.26
83.13,78.21,73.29,75.04,76.79,70.45,64.1
59.28,57.09,54.89,58.61,62.34,67.55,72.76
86.56,78.73,70.9,62.51,54.12,50.63,47.14
70.36,58.6,46.83,47.92,49.0,35.08,21.16
61.8,55.42,49.03,57.16,65.3,57.22,49.14
8.76,7.92,7.07,10.97,14.87,20.69,26.51
10.16,11.56,12.96,15.54,18.12,31.64,45.16
70.04,50.96,31.87,34.89,37.92,56.66,75.4
22.03,17.62,13.21,9.93,6.65,7.89,9.13
87.81,91.74,95.67,93.94,92.2,91.28,90.36
45.75,46.05,46.35,47.68,49.0,47.08,45.16
19.26,20.44,21.62,15.5,9.39,27.28,45.16
8.79,11.21,13.63,15.34,17.06,32.1,47.14
52.09,51.74,51.38,46.32,41.26,41.3,41.34
56.7,42.63,28.56,37.84,47.12,41.86,36.6
20.18,32.12,44.06,66.9,89.75,82.58,75.4
38.94,34.82,30.69,31.58,32.47,47.52,62.57
17.13,11.28,5.44,4.55,3.66,3.44,3.21
14.04,16.14,18.24,20.2,22.16,25.21,28.26
33.91,39.12,44.32,45.72,47.12,54.84,62.57
70.42,70.64,70.87,59.0,47.12,39.81,32.5
78.32,76.2,74.08,63.21,52.34,66.27,80.2
84.18,84.58,84.97,84.8,84.62,82.89,81.16
73.35,67.88,62.4,66.06,69.72,69.94,70.15
64.41,68.72,73.03,73.1,73.16,73.54,73.93
28.3,32.36,36.42,38.02,39.61,44.38,49.14
32.86,37.38,41.9,58.29,74.69,59.92,45.16
87.65,85.1,82.55,61.08,39.61,49.36,59.1
54.79,68.34,81.88,78.29,74.69,47.92,21.16
47.25,39.57,31.9,44.82,57.75,55.59,53.44
27.79,27.52,27.25,31.69,36.13,26.76,17.38
67.18,63.9,60.62,69.84,79.05,76.49,73.93
56.26,65.24,74.21,78.03,81.85,72.21,62.57
25.63,38.88,52.12,54.04,55.97,64.37,72.76
50.37,64.32,78.26,77.98,77.71,79.44,81.16
21.04,29.13,37.22,52.12,67.02,60.23,53.44
32.47,23.03,13.59,8.43,3.28,19.94,36.6
31.23,36.08,40.94,41.1,41.26,42.21,43.16
89.97,85.78,81.6,80.32,79.05,76.49,73.93
21.87,14.92,7.96,7.66,7.35,12.36,17.38
82.52,73.15,63.77,58.06,52.34,30.02,7.7
93.12,93.96,94.81,95.78,96.75,90.45,84.15
33.52,25.79,18.05,20.55,23.05,40.15,57.26
10.67,13.12,15.57,33.96,52.34,44.47,36.6
63.2,64.71,66.22,75.42,84.62,82.89,81.16
14.68,17.0,19.33,24.47,29.61,25.38,21.16
98.12,97.28,96.43,96.45,96.47,96.15,95.83
20.03,26.64,33.24,31.42,29.61,23.49,17.38
30.75,33.14,35.53,32.57,29.61,28.94,28.26
12.54,24.02,35.5,35.82,36.13,57.13,78.13
20.85,15.71,10.57,8.0,5.44,8.37,11.3
65.01,60.65,56.29,34.4,12.51,7.11,1.72
97.04,96.56,96.08,96.12,96.15,96.74,97.33
41.58,42.0,42.41,48.26,54.12,34.81,15.5
56.86,65.64,74.43,77.6,80.77,67.1,53.44
40.97,37.36,33.75,47.2,60.65,69.39,78.13
75.01,73.28,71.54,70.63,69.72,78.24,86.76
59.73,59.4,59.06,61.53,63.99,57.61,51.24
21.08,33.13,45.18,60.51,75.84,70.6,65.37
57.43,61.27,65.11,55.14,45.18,60.94,76.7
48.04,66.19,84.34,86.76,89.18,51.7,14.23
44.86,46.9,48.93,37.15,25.37,21.38,17.38
72.65,59.32,46.0,51.88,57.75,67.22,76.7
50.88,51.37,51.86,53.92,55.97,40.36,24.76
24.26,18.58,12.89,14.31,15.73,20.24,24.76
34.07,31.09,28.11,36.65,45.18,37.83,30.49
37.31,36.7,36.1,35.22,34.35,37.84,41.34
13.28,20.79,28.3,31.33,34.35,23.35,12.35
24.96,37.42,49.89,60.94,71.98,48.37,24.76
55.43,56.69,57.94,60.14,62.34,58.84,55.35
66.19,64.23,62.27,61.46,60.65,66.13,71.61
88.83,88.78,88.73,78.53,68.32,41.28,14.23
32.76,58.34,83.92,60.02,36.13,23.72,11.3
63.42,62.34,61.25,41.71,22.16,25.21,28.26
90.29,89.72,89.14,90.05,90.96,82.44,73.93
37.19,29.07,20.95,34.98,49.0,35.93,22.85
44.89,41.15,37.41,45.76,54.12,59.74,65.37
19.52,21.92,24.32,24.84,25.37,47.0,68.62
7.07,8.2,9.33,6.49,3.66,4.11,4.55
74.08,70.6,67.11,55.21,43.3,23.92,4.55
66.76,66.92,67.08,69.53,71.98,55.52,39.05
36.07,52.07,68.07,64.36,60.65,40.34,20.02
85.39,73.77,62.15,54.64,47.12,53.11,59.1
64.69,69.07,73.45,65.6,57.75,49.54,41.34
58.87,43.0,27.13,37.12,47.12,58.64,70.15
52.63,45.99,39.35,28.2,17.06,9.8,2.55
41.55,40.21,38.87,32.76,26.65,23.34,20.02
6.69,14.9,23.11,21.9,20.69,56.32,91.95
41.52,49.42,57.31,69.58,81.85,72.21,62.57
88.57,87.98,87.39,87.74,88.09,88.18,88.26
6.27,3.92,1.56,1.51,1.46,23.31,45.16
87.33,91.48,95.64,95.68,95.73,68.54,41.34
95.45,84.28,73.1,66.88,60.65,75.5,90.36
29.07,18.5,7.93,5.36,2.8,1.92,1.05
12.61,15.22,17.83,18.6,19.36,18.37,17.38
0.32,0.35,0.38,1.22,2.07,1.62,1.18
58.26,57.92,57.59,55.86,54.12,66.12,78.13
49.22,44.21,39.19,31.52,23.85,30.22,36.6
37.28,40.39,43.49,46.24,49.0,37.76,26.51
2.64,3.48,4.33,9.12,13.91,7.48,1.05
36.42,53.94,71.47,39.62,7.77,29.5,51.24
17.54,21.71,25.88,24.86,23.85,58.34,92.84
16.87,11.72,6.56,4.92,3.28,8.26,13.24
10.03,38.73,67.43,57.28,47.12,45.14,43.16
38.71,28.61,18.5,15.06,11.62,12.43,13.24
19.45,19.36,19.26,18.69,18.12,14.71,11.3
4.14,2.39,0.64,4.2,7.77,22.18,36.6
89.14,82.44,75.74,70.52,65.3,77.54,89.78
33.01,36.96,40.91,28.32,15.73,8.2,0.67
20.57,12.32,4.08,2.18,0.29,1.0,1.72
65.65,79.21,92.77,94.56,96.34,91.55,86.76
19.64,22.52,25.41,25.39,25.37,30.11,34.85
1.56,4.09,6.62,17.27,27.92,21.71,15.5
77.78,67.35,56.92,61.11,65.3,73.23,81.16
40.56,45.35,50.14,44.03,37.92,45.68,53.44
0.86,0.56,0.25,5.94,11.62,19.94,28.26
5.19,5.11,5.03,4.9,4.78,5.97,7.16
0.57,0.29,0.0,0.0,0.0,0.86,1.72
1.88,1.56,1.24,1.03,0.83,1.08,1.34
31.14,31.16,31.17,15.9,0.64,0.32,0.0
1.69,4.26,6.84,40.76,74.69,58.92,43.16
33.3,34.72,36.13,32.03,27.92,27.22,26.51
1.4,4.47,7.55,6.49,5.44,5.16,4.87
4.3,6.6,8.91,10.71,12.51,11.9,11.3
28.94,16.58,4.23,3.64,3.06,1.91,0.76
5.0,4.95,4.9,2.7,0.51,0.93,1.34
37.22,57.98,78.73,72.02,65.3,42.0,18.71
39.22,29.56,19.9,16.9,13.91,7.24,0.57
37.03,51.94,66.86,60.49,54.12,55.69,57.26
2.74,2.28,1.81,1.42,1.02,4.36,7.7
33.94,29.86,25.79,17.16,8.53,14.27,20.02
55.59,63.04,70.49,56.9,43.3,30.34,17.38
91.66,93.82,95.99,95.02,94.05,76.57,59.1
46.04,24.55,3.06,3.06,3.06,4.26,5.47
6.37,5.2,4.04,2.82,1.59,1.95,2.32
17.03,9.72,2.42,2.51,2.61,5.87,9.13
61.76,58.16,54.57,46.24,37.92,44.58,51.24
4.93,3.77,2.61,2.7,2.8,9.15,15.5
5.06,6.13,7.2,7.86,8.53,6.03,3.53
7.99,4.71,1.43,2.88,4.33,4.9,5.47
54.5,36.72,18.94,23.43,27.92,16.87,5.82
0.83,1.53,2.23,1.78,1.34,1.34,1.34
9.17,16.16,23.15,13.74,4.33,19.59,34.85
0.29,4.88,9.46,26.38,43.3,23.26,3.21
15.54,31.81,48.07,66.78,85.48,44.34,3.21
60.04,55.48,50.91,52.52,54.12,54.74,55.35
11.59,15.18,18.78,24.2,29.61,47.49,65.37
9.04,9.56,10.09,10.86,11.62,9.66,7.7
17.77,8.98,0.19,0.2,0.22,0.55,0.89
2.39,35.51,68.64,41.28,13.91,31.52,49.14
60.81,42.8,24.8,12.86,0.92,2.06,3.21
14.96,12.64,10.32,7.88,5.44,4.99,4.55
64.25,38.78,13.31,37.82,62.34,43.55,24.76
0.99,1.36,1.72,1.83,1.94,1.18,0.41
94.3,82.65,71.0,41.31,11.62,12.43,13.24
38.87,38.7,38.52,36.44,34.35,44.85,55.35
10.09,8.04,5.99,22.8,39.61,41.38,43.16
25.95,29.66,33.37,35.64,37.92,32.21,26.51
14.87,14.81,14.74,20.7,26.65,22.68,18.71
3.12,3.56,4.01,3.4,2.8,4.7,6.59
45.97,36.66,27.35,19.93,12.51,22.5,32.5
3.02,4.65,6.27,11.0,15.73,20.24,24.76
42.63,31.14,19.64,23.78,27.92,19.04,10.15
47.69,35.64,23.59,18.75,13.91,20.21,26.51
57.24,48.79,40.34,29.23,18.12,18.42,18.71
35.75,43.47,51.19,38.92,26.65,18.4,10.15
33.56,27.29,21.01,47.09,73.16,60.15,47.14
95.99,90.56,85.13,88.66,92.2,77.39,62.57
8.34,15.95,23.56,37.95,52.34,58.85,65.37
83.32,81.44,79.56,86.94,94.33,81.48,68.62
17.38,13.44,9.49,11.0,12.51,11.33,10.15
25.53,23.46,21.39,31.33,41.26,49.26,57.26
57.37,59.73,62.08,65.9,69.72,62.54,55.35
78.57,75.85,73.13,72.55,71.98,72.37,72.76
17.32,15.09,12.86,31.69,50.53,27.24,3.95
12.38,15.78,19.17,15.1,11.02,8.24,5.47
3.44,6.1,8.76,10.19,11.62,18.19,24.76
19.2,20.4,21.59,14.68,7.77,8.96,10.15
11.75,9.88,8.02,10.26,12.51,8.69,4.87
18.47,17.39,16.3,16.02,15.73,25.29,34.85
6.56,3.52,0.48,0.52,0.57,20.96,41.34
26.77,45.51,64.25,46.08,27.92,17.81,7.7
0.54,0.93,1.31,1.24,1.18,1.26,1.34
16.17,8.72,1.27,1.14,1.02,1.78,2.55
9.42,7.5,5.57,4.18,2.8,5.97,9.13
91.88,92.88,93.89,94.89,95.89,91.32,86.76
11.17,16.74,22.32,25.12,27.92,29.2,30.49
3.15,4.7,6.24,4.87,3.5,8.86,14.23
3.57,5.03,6.49,4.04,1.59,2.77,3.95
2.9,6.55,10.19,17.78,25.37,30.11,34.85
5.44,4.35,3.25,3.38,3.5,2.82,2.13
0.19,1.34,2.48,5.5,8.53,12.02,15.5
7.2,7.23,7.26,15.56,23.85,47.0,70.15
27.57,27.12,26.68,31.4,36.13,19.34,2.55
27.38,33.2,39.03,55.08,71.12,83.16,95.19
5.7,10.15,14.61,12.0,9.39,16.12,22.85
15.95,23.04,30.12,39.56,49.0,42.8,36.6
1.24,1.06,0.89,0.74,0.6,7.42,14.23
38.65,49.17,59.69,68.7,77.71,65.58,53.44
