2014 SVI Single-Parent Household Data and Encoding,2015 SVI Single-Parent Household Data and Encoding,2016 SVI Single-Parent Household Data and Encoding,2017 SVI Single-Parent Household Data and Encoding,2018 SVI Single-Parent Household Data and Encoding,2019 SVI Single-Parent Household Data and Encoding,2020 SVI Single-Parent Household Data and Encoding
73.0,67.06,61.13,56.74,52.34,48.75,45.16
92.52,93.08,93.63,94.16,94.68,83.72,72.76
15.09,13.56,12.03,11.52,11.02,9.09,7.16
89.21,83.81,78.41,79.59,80.77,83.54,86.31
34.7,57.74,80.77,82.7,84.62,82.41,80.2
80.67,59.4,38.14,45.24,52.34,40.3,28.26
29.58,20.65,11.72,11.37,11.02,11.68,12.35
37.79,41.23,44.67,43.98,43.3,55.29,67.28
48.9,46.58,44.25,42.76,41.26,26.28,11.3
80.83,84.83,88.83,86.33,83.83,77.72,71.61
58.8,63.52,68.23,51.29,34.35,37.84,41.34
23.85,22.58,21.3,14.32,7.35,6.41,5.47
95.67,94.56,93.44,95.04,96.63,93.03,89.43
79.4,81.76,84.11,83.97,83.83,83.52,83.2
81.53,84.1,86.66,89.02,91.37,87.28,83.2
29.96,31.58,33.21,29.93,26.65,29.58,32.5
59.85,66.54,73.23,72.6,71.98,67.27,62.57
90.13,89.89,89.65,86.74,83.83,78.88,73.93
86.88,84.6,82.33,71.49,60.65,69.94,79.22
92.07,93.24,94.4,94.68,94.97,93.68,92.39
76.66,68.68,60.71,60.68,60.65,61.61,62.57
99.46,99.22,98.98,98.38,97.77,97.68,97.58
75.52,70.63,65.74,75.18,84.62,91.36,98.09
19.9,32.4,44.89,61.97,79.05,57.82,36.6
86.79,88.2,89.62,88.22,86.82,90.13,93.44
68.86,61.22,53.58,53.85,54.12,43.31,32.5
68.29,58.93,49.57,45.42,41.26,47.35,53.44
42.09,28.86,15.63,12.92,10.22,17.49,24.76
14.58,18.26,21.94,22.05,22.16,30.6,39.05
63.26,65.38,67.49,71.09,74.69,70.98,67.28
32.66,30.04,27.41,39.88,52.34,39.42,26.51
53.96,45.64,37.31,52.82,68.32,74.26,80.2
92.17,93.4,94.62,95.48,96.34,93.35,90.36
69.34,65.49,61.64,60.51,59.38,57.36,55.35
95.89,96.48,97.07,94.4,91.72,95.16,98.6
69.91,68.8,67.69,70.43,73.16,59.16,45.16
8.47,6.06,3.66,3.23,2.8,3.84,4.87
68.48,67.94,67.4,60.76,54.12,69.14,84.15
94.05,92.57,91.09,88.96,86.82,91.1,95.39
47.95,34.18,20.41,41.37,62.34,62.45,62.57
51.26,65.49,79.72,72.51,65.3,66.29,67.28
20.6,27.78,34.96,37.29,39.61,45.42,51.24
82.17,75.52,68.86,67.08,65.3,77.05,88.8
98.31,91.86,85.42,63.34,41.26,24.21,7.16
74.18,70.68,67.18,59.76,52.34,41.42,30.49
70.81,68.61,66.41,74.7,83.0,67.12,51.24
73.51,74.15,74.79,75.79,76.79,81.1,85.42
22.92,19.0,15.09,16.6,18.12,25.31,32.5
11.37,13.93,16.49,15.2,13.91,14.07,14.23
84.91,86.54,88.16,91.1,94.05,96.14,98.22
95.64,95.9,96.15,96.96,97.77,97.38,96.98
66.7,73.56,80.42,86.8,93.19,88.2,83.2
9.49,5.81,2.13,6.18,10.22,13.8,17.38
32.79,18.98,5.16,48.44,91.72,87.46,83.2
5.16,4.54,3.92,3.95,3.98,18.24,32.5
84.4,85.99,87.58,88.66,89.75,90.61,91.47
6.75,7.71,8.66,13.39,18.12,16.18,14.23
99.36,99.0,98.63,98.33,98.03,98.52,99.01
84.11,65.61,47.12,51.54,55.97,34.6,13.24
77.94,82.62,87.3,89.51,91.72,85.47,79.22
72.24,60.94,49.63,50.08,50.53,51.98,53.44
48.93,50.26,51.58,61.78,71.98,76.09,80.2
50.56,60.04,69.53,52.83,36.13,49.35,62.57
