2014 SVI Aged 17 or Younger Data and Encoding,2015 SVI Aged 17 or Younger Data and Encoding,2016 SVI Aged 17 or Younger Data and Encoding,2017 SVI Aged 17 or Younger Data and Encoding,2018 SVI Aged 17 or Younger Data and Encoding,2019 SVI Aged 17 or Younger Data and Encoding,2020 SVI Aged 17 or Younger Data and Encoding
85.32,84.22,83.13,79.21,75.29,72.58,69.86
45.97,45.36,44.76,44.0,43.23,42.0,40.77
33.27,34.72,36.17,34.72,33.27,33.22,33.16
33.68,32.28,30.88,29.67,28.46,28.74,29.03
67.14,65.9,64.66,64.36,64.06,64.47,64.89
30.44,33.32,36.2,32.94,29.67,41.68,53.69
60.24,60.88,61.51,58.64,55.78,53.99,52.2
44.41,43.95,43.49,43.36,43.23,43.6,43.98
34.35,34.51,34.67,31.56,28.46,30.16,31.86
19.96,22.84,25.72,25.61,25.5,21.62,17.73
72.75,72.54,72.33,73.81,75.29,74.82,74.35
31.9,29.8,27.7,26.2,24.71,24.59,24.47
59.41,55.34,51.26,48.84,46.42,44.42,42.43
40.27,38.63,36.99,35.13,33.27,31.69,30.11
64.5,63.83,63.16,61.16,59.15,57.18,55.22
65.11,66.33,67.56,67.91,68.26,69.06,69.86
36.01,36.32,36.64,35.84,35.05,34.1,33.16
42.44,43.81,45.18,39.68,34.19,33.02,31.86
10.16,9.44,8.72,7.05,5.38,5.25,5.12
39.99,41.31,42.63,42.93,43.23,43.6,43.98
55.91,55.02,54.12,52.82,51.51,51.86,52.2
48.65,49.02,49.38,51.21,53.04,53.36,53.69
67.94,66.88,65.81,64.94,64.06,63.22,62.38
85.42,84.37,83.32,80.36,77.4,77.0,76.61
79.91,79.67,79.43,79.35,79.27,78.91,78.55
53.26,54.1,54.95,53.23,51.51,51.86,52.2
42.66,44.2,45.75,47.4,49.06,51.38,53.69
45.02,43.46,41.9,40.26,38.62,39.7,40.77
36.1,35.84,35.59,36.53,37.47,37.1,36.73
70.65,72.59,74.53,77.35,80.17,82.36,84.56
40.5,42.36,44.22,45.32,46.42,47.24,48.06
59.34,59.22,59.09,52.76,46.42,43.6,40.77
64.85,64.28,63.71,63.88,64.06,64.47,64.89
34.57,33.07,31.58,31.24,30.91,31.38,31.86
67.78,67.81,67.84,65.95,64.06,63.82,63.59
38.75,38.64,38.52,37.4,36.29,35.28,34.28
56.0,57.19,58.39,58.77,59.15,59.44,59.74
34.22,36.04,37.85,41.44,45.02,46.54,48.06
25.85,25.49,25.12,23.37,21.62,21.63,21.64
43.71,41.8,39.89,40.84,41.8,42.12,42.43
37.44,38.14,38.84,38.16,37.47,36.6,35.74
61.25,61.73,62.21,60.68,59.15,57.18,55.22
60.78,60.32,59.85,57.82,55.78,53.99,52.2
10.79,8.92,7.04,7.45,7.86,7.62,7.38
52.34,50.94,49.54,47.98,46.42,46.1,45.77
56.86,57.12,57.37,57.26,57.15,61.02,64.89
26.55,28.94,31.33,32.3,33.27,32.56,31.86
76.73,77.97,79.21,80.54,81.88,83.22,84.56
72.11,71.22,70.33,69.3,68.26,68.5,68.75
71.51,67.1,62.69,59.92,57.15,50.57,43.98
71.76,66.06,60.36,63.74,67.11,67.93,68.75
59.18,59.1,59.03,59.09,59.15,60.16,61.17
57.31,53.68,50.05,45.92,41.8,39.26,36.73
40.43,34.81,29.19,24.28,19.36,20.5,21.64
15.25,17.75,20.25,19.39,18.53,17.02,15.5
47.6,45.9,44.19,43.0,41.8,39.26,36.73
81.18,81.86,82.55,81.36,80.17,78.39,76.61
56.96,56.74,56.51,56.83,57.15,56.87,56.59
78.03,77.08,76.12,74.37,72.62,70.14,67.66
24.04,21.62,19.2,18.06,16.91,17.86,18.81
47.47,46.38,45.3,41.38,37.47,37.1,36.73
36.07,35.7,35.34,34.3,33.27,32.2,31.13
28.53,29.2,29.86,30.38,30.91,32.6,34.28
42.12,43.6,45.08,47.07,49.06,49.93,50.8
67.56,65.28,63.01,55.28,47.56,42.74,37.91
85.58,73.75,61.92,69.66,77.4,75.11,72.82
29.8,29.75,29.7,30.3,30.91,29.54,28.17
0.29,0.32,0.35,0.64,0.92,0.84,0.76
2.64,2.48,2.32,3.39,4.46,7.02,9.58
82.01,81.79,81.57,80.87,80.17,79.36,78.55
99.78,99.8,99.81,99.72,99.62,99.62,99.62
88.86,75.3,61.73,51.76,41.8,30.76,19.73
0.0,0.0,0.0,0.0,0.0,0.0,0.0
