FIPS,2014 EPL_NOHSDP,2015 EPL_NOHSDP,2016 EPL_NOHSDP,2017 EPL_NOHSDP,2018 EPL_NOHSDP,2019 EPL_NOHSDP,2020 EPL_NOHSDP
01087,72.68,75.54,78.41,78.46,78.51,77.78,77.05
01089,24.67,24.42,24.16,25.12,26.07,26.94,27.82
01091,60.24,63.02,65.81,68.46,71.12,70.32,69.51
01093,91.82,86.38,80.93,83.35,85.77,85.72,85.68
01095,86.41,85.78,85.16,83.41,81.66,79.96,78.26
01097,57.27,57.31,57.34,58.28,59.22,59.54,59.87
01099,81.63,77.84,74.05,72.76,71.47,74.44,77.4
01101,56.83,57.88,58.93,60.66,62.4,61.14,59.87
01103,70.42,71.32,72.21,72.67,73.13,74.18,75.24
01105,97.45,94.4,91.34,90.74,90.13,91.29,92.46
01107,81.63,79.04,76.44,79.69,82.94,81.45,79.95
01109,77.49,79.04,80.58,80.85,81.12,70.14,59.17
01111,92.49,90.76,89.02,88.57,88.12,85.61,83.1
01113,72.68,72.22,71.76,72.45,73.13,71.48,69.83
01115,68.29,67.99,67.69,67.14,66.6,67.04,67.47
01117,16.75,17.61,18.47,18.39,18.31,16.81,15.31
01119,86.41,83.49,80.58,74.93,69.28,69.56,69.83
01121,78.48,79.9,81.31,81.22,81.12,82.29,83.45
01123,76.19,79.1,82.01,82.57,83.13,84.21,85.3
01125,46.29,45.16,44.03,45.16,46.29,45.63,44.97
01127,86.41,85.78,85.16,83.41,81.66,82.74,83.83
01129,69.82,75.76,81.69,82.6,83.51,75.36,67.22
01131,81.63,81.28,80.93,86.76,92.58,91.61,90.64
01133,93.66,92.88,92.1,91.12,90.13,91.29,92.46
02013,78.89,71.28,63.67,60.98,58.29,60.83,63.37
02016,54.25,51.22,48.2,45.75,43.3,35.08,26.86
02020,9.55,8.94,8.34,8.16,7.99,8.8,9.61
02050,76.57,76.89,77.2,78.43,79.66,78.53,77.4
02060,17.54,14.66,11.78,8.63,5.48,8.15,10.82
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,19.36,10.02,0.67,0.38,0.1,0.19,0.29
02070,59.85,56.18,52.5,52.94,53.39,58.66,63.94
02090,6.21,5.24,4.27,4.75,5.22,6.18,7.13
