FIPS,2014 EPL_POV,2015 EPL_POV,2016 EPL_POV,2017 EPL_POV,2018 EPL_POV,2019 EPL_POV,2020 EPL_POV
04007,82.39,81.15,79.91,83.17,86.43,82.12,77.82
04009,79.59,82.02,84.46,83.76,83.06,77.6,72.15
04011,40.02,37.71,35.4,33.0,30.61,31.65,32.69
04012,64.31,72.0,79.69,82.55,85.41,86.0,86.6
04013,56.29,55.82,55.36,52.36,49.36,42.74,36.12
04015,72.62,72.33,72.05,70.1,68.15,65.64,63.14
04017,96.72,96.44,96.15,96.1,96.05,95.16,94.27
04019,68.13,69.53,70.93,70.26,69.59,65.24,60.88
04021,54.25,54.8,55.36,50.6,45.83,43.42,41.02
04023,88.25,85.24,82.23,86.04,89.84,90.75,91.66
04025,50.05,46.83,43.62,43.96,44.3,44.6,44.91
04027,76.31,76.66,77.01,78.1,79.2,80.56,81.92
05001,59.79,66.64,73.48,76.18,78.89,73.87,68.84
05003,72.21,73.5,74.79,77.24,79.68,83.74,87.81
05005,42.02,40.03,38.05,41.18,44.3,49.63,54.96
05007,22.0,22.6,23.21,20.66,18.12,17.21,16.3
05009,54.98,58.34,61.7,56.23,50.76,50.22,49.68
05011,95.64,95.62,95.61,91.84,88.06,82.94,77.82
05013,53.49,62.48,71.47,63.42,55.38,51.56,47.74
05015,61.25,61.48,61.7,56.49,51.27,52.4,53.53
05017,97.68,97.26,96.85,96.72,96.59,97.23,97.87
05019,86.34,87.07,87.81,82.98,78.15,81.53,84.91
05021,75.14,79.14,83.13,84.94,86.75,85.58,84.4
05023,48.39,48.48,48.58,48.59,48.6,52.49,56.37
05025,66.19,70.73,75.26,75.75,76.24,79.08,81.92
05027,92.68,91.26,89.84,91.05,92.26,92.1,91.95
05029,83.57,82.26,80.96,76.13,71.31,79.18,87.05
05031,78.89,74.4,69.91,71.14,72.36,69.17,65.98
05033,66.7,68.07,69.44,63.42,57.39,65.69,74.0
05035,90.99,90.2,89.4,87.54,85.67,85.42,85.17
05037,70.23,72.27,74.31,68.84,63.38,71.14,78.9
05039,39.29,41.46,43.62,45.08,46.53,54.12,61.71
05041,96.85,97.14,97.42,96.96,96.5,96.68,96.85
05043,95.45,94.97,94.49,88.88,83.28,85.78,88.29
05045,43.27,47.8,52.34,58.14,63.95,63.77,63.59
05047,72.62,76.16,79.69,82.27,84.84,87.08,89.31
05049,76.06,81.22,86.37,87.96,89.55,92.02,94.49
05051,81.12,79.26,77.4,75.31,73.22,70.57,67.92
05053,18.91,26.04,33.17,40.58,47.99,38.16,28.33
05055,60.39,61.65,62.91,61.61,60.32,64.58,68.84
05057,91.91,92.54,93.16,91.88,90.61,86.18,81.76
05059,39.29,48.92,58.55,63.58,68.6,65.54,62.48
05061,77.27,75.38,73.48,74.46,75.45,80.66,85.87
05063,85.07,78.27,71.47,69.27,67.07,66.53,65.98
05065,66.19,74.41,82.62,74.23,65.83,73.88,81.92
