FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH
04007,75.96,71.5,67.05,60.0,52.94,59.25,65.56
04009,49.32,49.04,48.77,50.1,51.42,50.98,50.54
04011,18.08,13.91,9.74,9.14,8.53,6.82,5.12
04012,67.53,72.94,78.35,72.68,67.02,65.56,64.1
04013,62.97,62.26,61.54,59.71,57.88,54.21,50.54
04015,38.2,41.78,45.37,43.81,42.25,41.64,41.02
04017,86.85,86.47,86.09,87.74,89.4,86.06,82.72
04019,82.23,82.72,83.22,82.62,82.01,79.37,76.73
04021,23.62,24.96,26.3,26.64,26.97,27.25,27.53
04023,57.15,51.26,45.37,43.1,40.82,48.67,56.52
04025,34.8,29.1,23.4,21.56,19.71,22.73,25.75
04027,49.32,51.36,53.39,53.9,54.41,48.61,42.81
05001,74.12,79.83,85.55,88.64,91.72,86.14,80.55
05003,51.29,53.87,56.45,69.96,83.48,76.48,69.48
05005,24.99,22.68,20.38,18.74,17.1,25.61,34.12
05007,8.44,8.58,8.72,9.9,11.08,10.68,10.28
05009,52.98,51.66,50.33,49.4,48.46,44.74,41.02
05011,84.59,89.0,93.41,90.44,87.46,85.46,83.45
05013,57.15,45.94,34.73,42.37,50.02,51.12,52.23
05015,36.52,46.48,56.45,49.35,42.25,48.59,54.93
05017,98.22,98.0,97.77,98.16,98.54,98.03,97.52
05019,44.51,51.26,58.01,63.15,68.29,68.88,69.48
05021,36.52,52.93,69.34,76.94,84.53,74.32,64.1
05023,8.44,8.15,7.86,7.84,7.83,10.2,12.57
05025,15.79,23.54,31.3,36.78,42.25,45.74,49.24
05027,75.17,66.59,58.01,50.13,42.25,34.89,27.53
05029,54.6,58.07,61.54,64.91,68.29,75.26,82.24
05031,61.76,66.79,71.82,73.4,74.98,71.78,68.59
05033,20.73,19.14,17.54,18.62,19.71,22.73,25.75
05035,93.54,92.9,92.26,92.77,93.28,93.4,93.51
05037,78.83,78.11,77.4,72.84,68.29,66.92,65.56
05039,97.17,96.3,95.42,94.74,94.05,92.79,91.53
05041,95.16,96.08,97.01,97.71,98.41,98.12,97.84
05043,51.29,41.3,31.3,47.78,64.25,72.87,81.48
05045,32.73,33.73,34.73,34.27,33.81,33.97,34.12
05047,24.99,24.98,24.96,34.66,44.35,48.99,53.63
05049,22.03,29.14,36.26,33.19,30.12,30.34,30.55
05051,68.64,71.69,74.75,75.3,75.84,75.58,75.33
05053,8.44,6.53,4.62,5.08,5.54,8.46,11.39
05055,19.33,15.97,12.61,20.54,28.46,26.22,23.97
05057,67.53,69.01,70.49,70.25,70.01,76.12,82.24
05059,38.2,36.47,34.73,43.08,51.42,52.52,53.63
05061,75.96,78.96,81.95,81.1,80.26,50.06,19.86
05063,40.18,41.02,41.87,33.75,25.63,29.87,34.12
05065,29.74,39.26,48.77,42.24,35.72,49.91,64.1
05067,82.84,80.6,78.35,67.3,56.26,53.4,50.54
05069,69.79,77.02,84.24,87.82,91.4,89.2,87.01
05071,47.63,51.29,54.95,45.34,35.72,39.97,44.21
05073,91.66,91.5,91.34,88.82,86.31,86.66,87.01
05075,44.51,48.22,51.93,51.68,51.42,50.33,49.24
05077,99.04,98.63,98.22,98.46,98.69,98.94,99.2
05079,91.09,87.66,84.24,84.38,84.53,61.94,39.34
05081,55.78,55.36,54.95,68.21,81.47,75.48,69.48
