FIPS,2014 EPL_AGE17,2015 EPL_AGE17,2016 EPL_AGE17,2017 EPL_AGE17,2018 EPL_AGE17,2019 EPL_AGE17,2020 EPL_AGE17
01001,85.32,84.22,83.13,79.21,75.29,72.58,69.86
01003,45.97,45.36,44.76,44.0,43.23,42.0,40.77
01005,33.27,34.72,36.17,34.72,33.27,33.22,33.16
01007,33.68,32.28,30.88,29.67,28.46,28.74,29.03
01009,67.14,65.9,64.66,64.36,64.06,64.47,64.89
01011,30.44,33.32,36.2,32.94,29.67,41.68,53.69
01013,60.24,60.88,61.51,58.64,55.78,53.99,52.2
01015,44.41,43.95,43.49,43.36,43.23,43.6,43.98
01017,34.35,34.51,34.67,31.56,28.46,30.16,31.86
01019,19.96,22.84,25.72,25.61,25.5,21.62,17.73
01021,72.75,72.54,72.33,73.81,75.29,74.82,74.35
01023,31.9,29.8,27.7,26.2,24.71,24.59,24.47
01025,59.41,55.34,51.26,48.84,46.42,44.42,42.43
01027,40.27,38.63,36.99,35.13,33.27,31.69,30.11
01029,64.5,63.83,63.16,61.16,59.15,57.18,55.22
01031,65.11,66.33,67.56,67.91,68.26,69.06,69.86
01033,36.01,36.32,36.64,35.84,35.05,34.1,33.16
01035,42.44,43.81,45.18,39.68,34.19,33.02,31.86
01037,10.16,9.44,8.72,7.05,5.38,5.25,5.12
01039,39.99,41.31,42.63,42.93,43.23,43.6,43.98
01041,55.91,55.02,54.12,52.82,51.51,51.86,52.2
01043,48.65,49.02,49.38,51.21,53.04,53.36,53.69
01045,67.94,66.88,65.81,64.94,64.06,63.22,62.38
01047,85.42,84.37,83.32,80.36,77.4,77.0,76.61
01049,79.91,79.67,79.43,79.35,79.27,78.91,78.55
01051,53.26,54.1,54.95,53.23,51.51,51.86,52.2
01053,42.66,44.2,45.75,47.4,49.06,51.38,53.69
01055,45.02,43.46,41.9,40.26,38.62,39.7,40.77
01057,36.1,35.84,35.59,36.53,37.47,37.1,36.73
01059,70.65,72.59,74.53,77.35,80.17,82.36,84.56
01061,40.5,42.36,44.22,45.32,46.42,47.24,48.06
01063,59.34,59.22,59.09,52.76,46.42,43.6,40.77
01065,64.85,64.28,63.71,63.88,64.06,64.47,64.89
01067,34.57,33.07,31.58,31.24,30.91,31.38,31.86
01069,67.78,67.81,67.84,65.95,64.06,63.82,63.59
01071,38.75,38.64,38.52,37.4,36.29,35.28,34.28
01073,56.0,57.19,58.39,58.77,59.15,59.44,59.74
01075,34.22,36.04,37.85,41.44,45.02,46.54,48.06
01077,25.85,25.49,25.12,23.37,21.62,21.63,21.64
01079,43.71,41.8,39.89,40.84,41.8,42.12,42.43
01081,37.44,38.14,38.84,38.16,37.47,36.6,35.74
01083,61.25,61.73,62.21,60.68,59.15,57.18,55.22
01085,60.78,60.32,59.85,57.82,55.78,53.99,52.2
01087,10.79,8.92,7.04,7.45,7.86,7.62,7.38
01089,52.34,50.94,49.54,47.98,46.42,46.1,45.77
01091,56.86,57.12,57.37,57.26,57.15,61.02,64.89
01093,26.55,28.94,31.33,32.3,33.27,32.56,31.86
01095,76.73,77.97,79.21,80.54,81.88,83.22,84.56
01097,72.11,71.22,70.33,69.3,68.26,68.5,68.75
01099,71.51,67.1,62.69,59.92,57.15,50.57,43.98
01101,71.76,66.06,60.36,63.74,67.11,67.93,68.75
01103,59.18,59.1,59.03,59.09,59.15,60.16,61.17
01105,57.31,53.68,50.05,45.92,41.8,39.26,36.73
01107,40.43,34.81,29.19,24.28,19.36,20.5,21.64
01109,15.25,17.75,20.25,19.39,18.53,17.02,15.5
01111,47.6,45.9,44.19,43.0,41.8,39.26,36.73
01113,81.18,81.86,82.55,81.36,80.17,78.39,76.61
01115,56.96,56.74,56.51,56.83,57.15,56.87,56.59
01117,78.03,77.08,76.12,74.37,72.62,70.14,67.66
01119,24.04,21.62,19.2,18.06,16.91,17.86,18.81
01121,47.47,46.38,45.3,41.38,37.47,37.1,36.73
01123,36.07,35.7,35.34,34.3,33.27,32.2,31.13
01125,28.53,29.2,29.86,30.38,30.91,32.6,34.28
01127,42.12,43.6,45.08,47.07,49.06,49.93,50.8
01129,67.56,65.28,63.01,55.28,47.56,42.74,37.91
01131,85.58,73.75,61.92,69.66,77.4,75.11,72.82
01133,29.8,29.75,29.7,30.3,30.91,29.54,28.17
02013,0.29,0.32,0.35,0.64,0.92,0.84,0.76
02016,2.64,2.48,2.32,3.39,4.46,7.02,9.58
02020,82.01,81.79,81.57,80.87,80.17,79.36,78.55
02050,99.78,99.8,99.81,99.72,99.62,99.62,99.62
02060,88.86,75.3,61.73,51.76,41.8,30.76,19.73
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,25.25,15.98,6.72,3.47,0.22,0.18,0.13
02070,98.66,98.47,98.28,97.96,97.64,97.94,98.25
02090,77.49,77.25,77.01,76.15,75.29,75.95,76.61
02100,13.34,10.94,8.53,28.04,47.56,73.42,99.27
02105,6.21,8.16,10.12,6.11,2.1,1.39,0.67
02110,48.84,47.39,45.94,42.28,38.62,39.06,39.5
02122,57.59,57.22,56.86,56.32,55.78,55.5,55.22
02130,56.26,53.74,51.23,50.14,49.06,46.52,43.98
02150,92.33,91.63,90.93,90.13,89.33,87.44,85.55
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,98.92,98.32,97.71,95.18,92.65,90.34,88.03
02170,93.57,93.2,92.84,92.9,92.96,92.6,92.23
02180,99.33,99.38,99.43,99.42,99.4,99.43,99.46
02185,77.55,81.66,85.77,86.98,88.19,89.9,91.6
02188,99.62,99.62,99.62,99.57,99.52,99.57,99.62
02195,18.72,41.31,63.9,57.71,51.51,29.1,6.68
02198,76.6,75.54,74.47,71.98,69.5,65.33,61.17
02220,52.12,51.12,50.11,48.84,47.56,42.74,37.91
02230,13.53,7.06,0.6,3.53,6.46,3.8,1.15
02240,90.54,90.76,90.99,91.82,92.65,92.28,91.92
02275,2.96,14.59,26.23,23.1,19.96,26.56,33.16
02282,45.21,45.72,46.23,69.44,92.65,76.2,59.74
02290,94.46,94.36,94.27,94.36,94.46,94.8,95.13
04001,97.26,96.82,96.37,95.42,94.46,93.52,92.58
04003,49.06,47.68,46.29,45.66,45.02,42.9,40.77
04005,45.88,42.44,39.0,36.14,33.27,30.72,28.17
04007,23.62,23.42,23.21,23.96,24.71,23.75,22.79
04009,93.41,93.66,93.92,93.65,93.38,92.98,92.58
04011,94.81,94.94,95.07,94.86,94.65,94.32,93.98
04012,4.78,4.89,5.0,4.4,3.79,3.82,3.85
04013,84.69,83.3,81.92,80.23,78.54,75.68,72.82
04015,13.72,12.08,10.44,9.15,7.86,7.27,6.68
04017,94.91,94.52,94.14,93.76,93.38,92.49,91.6
04019,42.88,41.32,39.76,38.02,36.29,34.08,31.86
04021,84.05,78.88,73.7,68.88,64.06,60.32,56.59
04023,95.92,95.65,95.38,94.82,94.27,93.82,93.38
04025,6.65,5.96,5.28,5.08,4.87,4.52,4.17
04027,90.32,89.58,88.83,87.68,86.53,86.04,85.55
05001,57.98,58.04,58.1,58.62,59.15,60.16,61.17
05003,63.93,63.5,63.07,62.99,62.91,61.33,59.74
05005,6.05,6.1,6.14,6.44,6.75,7.34,7.92
05007,91.72,91.9,92.07,91.79,91.5,91.23,90.96
05009,50.46,47.57,44.67,50.22,55.78,57.08,58.37
05011,56.16,59.78,63.39,65.82,68.26,72.97,77.69
05013,8.05,12.29,16.52,18.7,20.89,17.46,14.04
05015,42.5,43.17,43.84,44.43,45.02,46.08,47.14
05017,53.3,54.33,55.36,54.93,54.5,52.09,49.68
05019,14.36,15.14,15.92,15.16,14.39,15.22,16.04
05021,29.61,30.37,31.14,38.08,45.02,42.9,40.77
05023,15.82,16.74,17.67,15.56,13.44,14.74,16.04
05025,67.75,62.2,56.64,54.84,53.04,54.81,56.59
05027,37.76,36.26,34.77,34.48,34.19,32.66,31.13
05029,57.72,57.58,57.43,57.29,57.15,58.44,59.74
05031,77.91,79.14,80.36,80.71,81.06,81.47,81.89
05033,84.85,83.76,82.68,81.87,81.06,80.77,80.49
05035,94.27,94.36,94.46,94.08,93.7,93.77,93.83
05037,75.68,77.12,78.57,75.59,72.62,72.72,72.82
05039,63.1,62.7,62.3,59.04,55.78,46.84,37.91
05041,85.45,85.86,86.28,86.71,87.14,87.82,88.51
05043,47.98,48.01,48.04,44.02,39.99,41.98,43.98
05045,68.58,67.84,67.11,66.46,65.81,64.7,63.59
05047,63.74,65.54,67.34,66.58,65.81,63.49,61.17
05049,19.33,20.47,21.62,24.02,26.42,29.14,31.86
05051,25.21,26.56,27.92,26.71,25.5,25.54,25.59
05053,63.51,62.89,62.27,59.71,57.15,56.18,55.22
05055,78.22,77.71,77.2,78.24,79.27,79.34,79.41
05057,87.58,88.52,89.46,89.06,88.67,87.62,86.57
05059,39.64,36.72,33.81,32.36,30.91,34.41,37.91
05061,88.44,88.03,87.62,87.74,87.87,88.86,89.85
05063,67.72,69.01,70.3,70.76,71.22,73.42,75.62
05065,9.3,9.65,10.0,9.65,9.3,8.61,7.92
05067,20.82,21.56,22.29,22.91,23.53,23.7,23.87
