FIPS,2014 EPL_CROWD,2015 EPL_CROWD,2016 EPL_CROWD,2017 EPL_CROWD,2018 EPL_CROWD,2019 EPL_CROWD,2020 EPL_CROWD
04013,90.51,90.4,90.29,90.61,90.93,90.31,89.69
04015,79.15,82.82,86.5,86.5,86.5,84.29,82.08
04017,98.63,98.46,98.28,98.25,98.22,98.14,98.06
04019,87.84,87.73,87.62,87.06,86.5,85.26,84.02
04021,84.69,85.24,85.8,85.65,85.51,85.93,86.35
04023,94.33,94.66,95.0,93.68,92.36,92.74,93.13
04025,78.83,75.28,71.73,67.43,63.13,59.84,56.56
04027,96.4,96.08,95.77,96.22,96.66,97.28,97.9
05001,4.68,11.46,18.24,25.92,33.59,48.0,62.41
05003,40.21,43.18,46.16,39.88,33.59,32.71,31.83
05005,22.48,29.1,35.72,48.1,60.49,56.96,53.44
05007,74.59,74.82,75.04,79.26,83.48,85.95,88.42
05009,70.55,69.69,68.83,65.98,63.13,53.38,43.63
05011,95.45,92.72,90.0,86.74,83.48,74.15,64.83
05013,0.0,9.88,19.77,20.9,22.03,12.02,2.01
05015,71.82,81.16,90.51,92.16,93.82,93.12,92.43
05017,84.78,73.43,62.08,56.94,51.8,58.32,64.83
05019,18.18,39.62,61.06,60.78,60.49,68.01,75.53
05021,57.66,60.7,63.74,52.15,40.56,34.08,27.59
05023,44.32,45.8,47.28,33.08,18.88,37.72,56.56
05025,13.18,16.5,19.83,20.93,22.03,14.47,6.91
05027,58.8,55.84,52.88,71.0,89.11,91.69,94.27
05029,83.19,79.05,74.91,67.7,60.49,52.06,43.63
05031,60.71,62.35,63.99,67.32,70.65,62.04,53.44
05033,84.37,85.29,86.21,81.21,76.22,75.1,73.97
05035,93.16,90.76,88.35,85.92,83.48,78.72,73.97
05037,17.29,26.86,36.42,45.7,54.98,74.93,94.88
05039,6.37,8.94,11.52,7.37,3.22,2.62,2.01
05041,52.72,36.65,20.57,25.1,29.64,38.53,47.42
05043,70.71,46.32,21.94,29.48,37.03,50.93,64.83
05045,46.77,52.9,59.03,53.6,48.17,47.8,47.42
05047,36.87,53.08,69.28,73.66,78.03,75.2,72.37
05049,79.97,87.18,94.4,89.96,85.51,89.89,94.27
05051,73.77,71.35,68.93,56.75,44.57,58.47,72.37
05053,31.49,39.4,47.31,43.94,40.56,45.44,50.32
05055,20.38,29.44,38.49,49.49,60.49,65.35,70.21
05057,76.7,76.22,75.74,75.98,76.22,76.7,77.18
05059,23.37,26.35,29.32,51.83,74.34,70.89,67.44
05061,79.02,76.25,73.48,68.3,63.13,75.77,88.42
05063,69.53,72.65,75.77,69.45,63.13,73.11,83.1
05065,67.72,70.01,72.3,54.66,37.03,28.5,19.96
05067,64.82,66.4,67.97,64.23,60.49,33.0,5.51
05069,35.18,45.12,55.05,55.01,54.98,57.28,59.58
05071,85.04,87.73,90.42,88.46,86.5,84.29,82.08
05073,6.3,9.62,12.93,30.55,48.17,40.0,31.83
05075,48.2,47.48,46.77,38.2,29.64,41.54,53.44
05077,8.85,15.8,22.76,31.66,40.56,59.66,78.77
05079,84.02,84.86,85.71,86.41,87.11,53.54,19.96
05081,16.68,17.27,17.86,15.04,12.23,29.83,47.42
05083,50.24,51.45,52.66,61.65,70.65,62.04,53.44
05085,62.5,65.88,69.25,60.53,51.8,43.9,36.0
05087,65.46,69.54,73.61,73.97,74.34,76.55,78.77
05089,76.19,59.2,42.22,39.62,37.03,42.22,47.42
05091,71.92,62.53,53.14,68.85,84.56,85.02,85.49
