FIPS,2014 EPL_UNEMP,2015 EPL_UNEMP,2016 EPL_UNEMP,2017 EPL_UNEMP,2018 EPL_UNEMP,2019 EPL_UNEMP,2020 EPL_UNEMP
01081,50.72,45.18,39.64,46.54,53.44,49.52,45.61
01083,50.72,57.69,64.66,68.49,72.32,63.08,53.85
01085,97.13,95.68,94.24,95.3,96.37,96.48,96.59
01087,98.76,98.26,97.77,97.44,97.1,97.12,97.14
01089,64.02,60.5,56.99,55.9,54.81,48.25,41.69
01091,77.3,87.1,96.91,94.89,92.87,86.79,80.71
01093,80.58,70.68,60.78,56.25,51.72,62.32,72.92
01095,63.01,59.26,55.52,49.28,43.03,34.23,25.43
01097,78.13,75.91,73.7,67.88,62.07,62.43,62.79
01099,98.76,99.22,99.68,99.57,99.46,99.22,98.98
01101,56.45,63.4,70.36,75.04,79.71,77.6,75.49
01103,75.68,75.65,75.61,60.26,44.9,46.16,47.42
01105,98.28,95.43,92.58,94.95,97.32,97.48,97.64
01107,97.13,95.68,94.24,94.7,95.16,93.06,90.96
01109,67.34,74.96,82.59,83.0,83.41,66.48,49.55
01111,80.58,73.29,66.0,53.83,41.66,37.44,33.23
01113,85.9,82.98,80.07,80.78,81.5,72.14,62.79
01115,63.01,53.34,43.68,45.3,46.91,51.39,55.86
01117,25.76,23.16,20.57,22.56,24.55,25.88,27.21
01119,97.13,97.58,98.03,97.56,97.1,92.86,88.61
01121,94.62,94.08,93.54,91.02,88.5,85.52,82.53
01123,70.77,77.06,83.35,89.06,94.78,96.02,97.26
01125,48.2,50.38,52.56,58.16,63.76,66.96,70.15
01127,89.37,89.8,90.23,89.36,88.5,86.16,83.83
01129,99.04,98.72,98.41,92.58,86.75,83.34,79.92
01131,99.55,99.54,99.52,99.17,98.82,98.8,98.79
01133,69.02,71.36,73.7,76.7,79.71,69.71,59.71
02013,2.55,4.06,5.57,11.9,18.22,21.0,23.77
02016,4.27,2.68,1.08,2.98,4.87,17.76,30.65
02020,33.43,35.68,37.92,44.82,51.72,53.79,55.86
02050,97.74,98.57,99.4,99.52,99.65,99.68,99.71
02060,19.33,26.78,34.22,59.21,84.2,55.71,27.21
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,4.27,2.77,1.27,6.86,12.45,18.94,25.43
02070,96.82,93.84,90.86,93.87,96.88,97.32,97.77
02090,48.2,59.92,71.63,72.55,73.47,78.0,82.53
02100,25.76,19.37,12.99,16.76,20.54,56.74,92.93
02105,92.23,89.15,86.06,90.84,95.61,96.32,97.04
02110,20.25,21.97,23.69,39.25,54.81,46.96,39.12
02122,61.99,67.84,73.7,77.6,81.5,85.06,88.61
02130,51.74,56.26,60.78,64.54,68.31,65.55,62.79
02150,17.77,14.52,11.27,28.09,44.9,58.91,72.92
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,83.25,87.92,92.58,95.78,98.98,99.38,99.78
02170,69.91,76.98,84.05,88.11,92.17,93.78,95.39
02180,98.06,98.44,98.82,99.09,99.36,99.56,99.75
02185,70.77,77.76,84.75,87.12,89.49,92.34,95.19
02188,99.71,99.71,99.71,99.71,99.71,99.6,99.49
02195,21.11,28.21,35.31,32.28,29.24,33.44,37.65
02198,90.61,93.49,96.37,96.74,97.1,96.08,95.07
02220,13.31,16.43,19.55,25.38,31.21,45.46,59.71
02230,19.33,33.78,48.23,59.58,70.92,83.28,95.64
02240,50.72,65.4,80.07,87.09,94.11,95.35,96.59
02275,23.78,39.65,55.52,53.62,51.72,60.94,70.15
02282,48.2,51.22,54.25,57.28,60.32,75.24,90.17
02290,99.33,99.24,99.14,99.44,99.75,99.54,99.33
04001,99.27,98.76,98.25,97.6,96.94,95.71,94.49
04003,60.74,66.82,72.91,74.37,75.83,77.88,79.92
04005,65.46,66.8,68.13,73.54,78.95,84.13,89.31
04007,84.37,89.08,93.79,93.95,94.11,84.15,74.19
04009,89.88,93.58,97.29,94.52,91.75,86.23,80.71
04011,54.09,64.85,75.61,73.96,72.32,42.6,12.89
04012,84.97,86.48,88.0,85.7,83.41,87.74,92.08
04013,56.45,53.01,49.57,49.82,50.06,51.96,53.85
04015,93.47,93.02,92.58,90.76,88.95,87.7,86.44
04017,99.08,99.14,99.2,98.8,98.41,97.84,97.26
04019,75.68,77.1,78.51,79.11,79.71,79.82,79.92
04021,81.76,80.92,80.07,80.78,81.5,82.01,82.53
04023,82.87,82.73,82.59,84.0,85.41,87.79,90.17
04025,76.5,74.06,71.63,70.66,69.68,67.92,66.17
04027,90.61,92.6,94.59,94.03,93.47,92.36,91.25
05001,42.73,60.13,77.52,70.64,63.76,55.59,47.42
05003,83.92,84.34,84.75,78.54,72.32,57.0,41.69
05005,58.8,49.87,40.94,35.09,29.24,44.47,59.71
05007,15.31,12.62,9.93,9.71,9.49,10.34,11.2
05009,60.74,65.55,70.36,50.78,31.21,36.45,41.69
05011,37.76,64.0,90.23,86.82,83.41,73.91,64.42
05013,40.08,44.82,49.57,54.94,60.32,74.46,88.61
05015,38.81,38.36,37.92,37.13,36.34,39.02,41.69
05017,83.92,86.55,89.18,91.02,92.87,94.96,97.04
05019,71.89,68.27,64.66,37.07,9.49,16.63,23.77
05021,79.05,65.81,52.56,47.11,41.66,53.92,66.17
05023,83.92,77.77,71.63,53.99,36.34,45.1,53.85
05025,70.77,73.19,75.61,62.83,50.06,33.16,16.26
05027,63.01,71.16,79.31,86.71,94.11,85.5,76.89
05029,54.09,54.81,55.52,56.1,56.69,70.26,83.83
05031,48.2,45.3,42.41,48.61,54.81,60.49,66.17
05033,51.74,52.99,54.25,48.64,43.03,45.22,47.42
05035,86.66,82.09,77.52,84.64,91.75,92.88,94.02
05037,58.8,59.14,59.47,56.46,53.44,67.55,81.67
05039,35.5,44.88,54.25,47.03,39.81,60.74,81.67
05041,94.94,95.1,95.26,95.32,95.38,73.55,51.72
05043,93.7,94.58,95.45,75.13,54.81,33.85,12.89
05045,32.22,33.76,35.31,35.83,36.34,30.06,23.77
05047,79.82,77.18,74.53,43.49,12.45,36.08,59.71
05049,54.09,55.54,56.99,62.65,68.31,61.08,53.85
05051,68.04,72.78,77.52,76.16,74.81,74.5,74.19
05053,63.01,64.5,66.0,70.4,74.81,46.65,18.49
05055,64.02,66.07,68.13,70.8,73.47,79.67,85.87
05057,67.34,68.36,69.37,59.72,50.06,57.24,64.42
05059,44.57,47.07,49.57,64.26,78.95,70.87,62.79
05061,61.99,60.06,58.13,61.79,65.45,71.74,78.04
05063,43.52,45.88,48.23,44.02,39.81,38.73,37.65
05065,72.78,77.26,81.73,86.47,91.21,94.03,96.85
