FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
29219,22.1,26.5,24.01,24.2,29.38,26.9,34.98
29221,25.28,30.5,26.7,30.68,31.31,28.12,49.3
29223,19.34,21.5,24.1,19.56,24.7,23.54,31.4
29225,12.93,11.48,17.2,23.4,16.0,14.13,22.0
29227,7.2,7.9,9.0,10.4,9.3,9.58,10.85
29229,11.7,9.7,11.6,15.23,11.8,10.5,17.65
29510,18.05,33.9,20.15,67.1,32.25,29.85,30.94
30001,14.32,11.6,11.6,13.99,12.6,12.2,22.97
30003,10.8,10.5,12.62,11.9,14.15,14.8,19.79
30005,9.1,9.4,12.1,12.57,12.2,10.7,17.55
30007,7.9,8.9,10.3,10.8,12.93,11.3,21.2
30009,11.9,15.5,13.09,15.6,15.9,17.08,20.57
30011,9.44,9.37,8.65,10.68,8.99,9.72,12.3
30013,9.7,13.7,12.2,15.4,11.7,18.1,20.6
30015,9.5,10.4,12.36,13.0,12.1,12.97,15.0
30017,11.9,11.5,8.87,13.9,9.35,13.0,17.4
30019,12.5,12.8,15.6,15.7,9.43,9.3,20.0
30021,8.4,7.6,8.6,9.8,8.9,9.7,16.4
30023,21.9,23.7,28.2,15.23,24.3,16.08,42.9
30025,7.84,8.48,7.9,9.71,8.54,8.4,13.04
30027,8.95,9.24,13.4,14.3,10.98,13.3,15.69
30029,13.23,14.16,17.1,13.87,13.0,16.18,20.16
30031,6.6,7.2,6.5,9.1,8.8,12.63,19.65
30033,6.7,9.37,8.4,9.1,8.6,8.9,11.5
30035,15.9,16.3,16.3,11.85,19.7,16.18,16.55
30037,9.85,9.7,12.16,11.8,11.2,11.6,15.0
30039,10.7,11.7,14.2,14.3,13.7,14.1,19.3
30041,9.5,9.9,12.1,12.32,16.6,10.7,20.1
30043,13.5,12.9,13.7,16.4,17.4,15.5,26.3
30045,9.47,8.9,12.0,10.9,10.4,14.0,17.53
30047,12.0,15.1,15.2,14.09,18.3,14.7,20.8
30049,11.39,13.08,13.56,14.25,12.6,13.9,16.1
30051,9.5,10.3,12.26,11.4,14.35,10.7,14.5
30053,12.65,13.3,14.8,15.7,13.5,15.47,23.4
30055,7.7,10.03,9.6,11.55,9.8,10.1,16.0
30057,10.7,11.0,11.62,12.75,14.4,13.9,17.6
30059,9.2,11.17,10.7,12.13,13.15,11.4,18.3
30061,12.18,17.0,15.5,13.96,22.6,18.4,29.4
30063,13.2,15.1,13.91,14.36,16.8,16.01,23.12
30065,9.5,9.22,11.2,11.4,11.5,13.75,14.3
30067,9.37,17.2,11.1,12.6,20.7,18.0,18.47
30069,7.5,8.2,9.4,11.05,9.7,10.0,13.73
30071,8.3,8.8,10.32,10.84,7.9,8.1,13.42
30073,11.53,10.5,11.2,12.0,14.79,13.87,17.1
30075,8.8,9.0,10.3,12.44,10.5,10.9,14.0
30077,14.82,18.8,17.42,15.05,23.1,25.2,28.4
30079,7.8,8.6,8.91,10.95,9.3,10.1,13.4
30081,14.2,11.8,13.6,15.0,16.24,12.8,26.35
