FIPS,2014 EPL_CROWD,2015 EPL_CROWD,2016 EPL_CROWD,2017 EPL_CROWD,2018 EPL_CROWD,2019 EPL_CROWD,2020 EPL_CROWD,2021 EPL_CROWD,2022 EPL_CROWD
02105,68.58,78.48,88.38,85.18,81.98,85.2,88.42,76.01,63.6
02110,93.66,92.16,90.67,90.14,89.62,81.8,73.97,74.67,75.37
02122,88.03,87.87,87.71,89.06,90.42,91.78,93.13,91.48,89.82
02130,81.73,85.76,89.78,89.7,89.62,90.56,91.5,89.0,86.51
02150,98.28,98.09,97.9,98.15,98.41,98.44,98.47,98.88,99.3
02158,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02164,99.2,98.8,98.41,97.93,97.45,97.96,98.47,99.11,99.75
02170,94.59,94.28,93.98,93.17,92.36,92.74,93.13,93.42,93.7
02180,99.87,99.87,99.87,99.86,99.84,99.84,99.84,99.87,99.9
02185,99.84,99.87,99.9,99.88,99.87,99.88,99.9,99.86,99.81
02188,99.97,99.97,99.97,99.97,99.97,99.96,99.94,99.94,99.94
02195,43.3,57.38,71.47,73.84,76.22,64.83,53.44,46.38,39.33
02198,97.04,96.1,95.16,95.1,95.03,95.21,95.39,93.84,92.3
02220,78.51,80.55,82.59,75.61,68.64,61.04,53.44,40.54,27.65
02230,87.58,80.91,74.24,78.86,83.48,83.75,84.02,81.16,78.3
02240,98.22,97.93,97.64,98.06,98.47,97.28,96.09,95.77,95.45
02275,27.7,42.28,56.86,55.92,54.98,45.49,36.0,33.99,31.98
02282,94.43,95.18,95.92,96.18,96.43,95.78,95.13,94.22,93.32
02290,99.65,99.68,99.71,99.71,99.71,99.74,99.78,99.72,99.65
04001,99.68,99.66,99.65,99.57,99.49,99.58,99.68,99.56,99.43
04003,77.91,77.18,76.44,65.71,54.98,58.7,62.41,65.46,68.5
04005,97.42,97.24,97.07,96.72,96.37,96.29,96.21,96.48,96.75
04007,86.28,86.71,87.14,87.5,87.87,87.11,86.35,88.08,89.82
04009,95.32,96.08,96.85,95.99,95.13,94.4,93.67,94.32,94.97
04011,98.03,96.18,94.33,89.92,85.51,89.59,93.67,90.84,88.01
04012,95.7,95.16,94.62,93.79,92.96,93.62,94.27,96.29,98.31
04013,90.51,90.4,90.29,90.61,90.93,90.31,89.69,89.76,89.82
04015,79.15,82.82,86.5,86.5,86.5,84.29,82.08,80.19,78.3
04017,98.63,98.46,98.28,98.25,98.22,98.14,98.06,98.22,98.38
04019,87.84,87.73,87.62,87.06,86.5,85.26,84.02,83.56,83.11
04021,84.69,85.24,85.8,85.65,85.51,85.93,86.35,87.18,88.01
04023,94.33,94.66,95.0,93.68,92.36,92.74,93.13,94.22,95.32
04025,78.83,75.28,71.73,67.43,63.13,59.84,56.56,60.08,63.6
04027,96.4,96.08,95.77,96.22,96.66,97.28,97.9,98.32,98.73
05001,4.68,11.46,18.24,25.92,33.59,48.0,62.41,66.3,70.19
05003,40.21,43.18,46.16,39.88,33.59,32.71,31.83,31.9,31.98
05005,22.48,29.1,35.72,48.1,60.49,56.96,53.44,55.52,57.59
05007,74.59,74.82,75.04,79.26,83.48,85.95,88.42,86.64,84.86
05009,70.55,69.69,68.83,65.98,63.13,53.38,43.63,27.78,11.93
05011,95.45,92.72,90.0,86.74,83.48,74.15,64.83,66.66,68.5
