FIPS,2014 EPL_UNEMP,2015 EPL_UNEMP,2016 EPL_UNEMP,2017 EPL_UNEMP,2018 EPL_UNEMP,2019 EPL_UNEMP,2020 EPL_UNEMP,2021 EPL_UNEMP,2022 EPL_UNEMP
06105,88.98,86.52,84.05,85.67,87.29,90.11,92.93,90.45,87.97
06107,91.05,89.52,88.0,89.88,91.75,93.57,95.39,94.92,94.46
06109,95.13,93.68,92.23,81.58,70.92,77.38,83.83,87.98,92.14
06111,61.99,60.73,59.47,58.08,56.69,55.27,53.85,57.72,61.6
06113,64.02,64.34,64.66,65.82,66.97,64.88,62.79,62.2,61.6
06115,97.74,96.42,95.1,90.6,86.11,84.32,82.53,85.25,87.97
08001,60.74,50.19,39.64,35.42,31.21,32.22,33.23,40.3,47.38
08003,74.91,74.3,73.7,82.46,91.21,85.96,80.71,52.32,23.93
08005,47.06,42.49,37.92,34.56,31.21,35.16,39.12,43.25,47.38
08007,59.82,54.02,48.23,51.52,54.81,46.23,37.65,44.72,51.8
08009,8.63,10.27,11.91,9.84,7.77,5.6,3.44,4.17,4.9
08011,69.02,66.84,64.66,70.24,75.83,57.48,39.12,52.48,65.83
08013,33.43,33.2,32.98,35.68,38.38,40.03,41.69,42.18,42.67
08014,23.78,21.66,19.55,19.5,19.46,21.62,23.77,21.97,20.17
08015,24.86,18.92,12.99,11.67,10.35,9.17,7.99,40.92,73.85
08017,22.03,48.28,74.53,76.74,78.95,41.54,4.14,5.73,7.32
08019,37.76,28.32,18.88,11.6,4.33,18.78,33.23,41.38,49.54
08021,59.82,73.08,86.34,91.36,96.37,95.78,95.19,90.68,86.16
08023,94.94,93.58,92.23,94.11,95.99,95.01,94.02,87.72,81.42
08025,99.94,99.9,99.87,99.54,99.2,98.48,97.77,91.96,86.16
08027,87.68,88.43,89.18,78.08,66.97,50.1,33.23,43.58,53.93
08029,84.37,81.44,78.51,82.63,86.75,83.73,80.71,61.69,42.67
08031,43.52,36.85,30.18,27.36,24.55,31.1,37.65,43.6,49.54
08033,47.06,29.17,11.27,6.33,1.4,15.01,28.61,23.62,18.64
08035,13.59,12.43,11.27,11.86,12.45,17.2,21.96,22.94,23.93
08037,15.31,11.43,7.55,6.64,5.73,17.17,28.61,35.64,42.67
08039,38.81,35.89,32.98,21.24,9.49,7.18,4.87,7.13,9.39
08041,60.74,59.44,58.13,60.1,62.07,65.39,68.71,69.05,69.39
08043,59.82,62.91,66.0,62.27,58.54,59.98,61.43,56.61,51.8
08045,41.39,41.16,40.94,35.09,29.24,29.94,30.65,25.41,20.17
08047,21.11,17.37,13.63,10.36,7.1,6.36,5.63,6.48,7.32
08049,19.33,27.32,35.31,40.11,44.9,48.31,51.72,49.55,47.38
08051,55.21,54.73,54.25,54.53,54.81,45.1,35.39,31.46,27.52
08053,11.11,18.5,25.88,23.88,21.88,38.87,55.86,30.86,5.85
08055,93.47,94.19,94.91,60.51,26.11,17.05,7.99,43.59,79.19
08057,1.02,1.78,2.55,4.14,5.73,50.68,95.64,93.72,91.79
08059,34.54,30.86,27.19,23.86,20.54,25.6,30.65,31.8,32.96
08061,6.08,10.9,15.73,13.48,11.24,14.34,17.44,8.72,0.0
08063,28.84,26.93,25.02,32.42,39.81,32.62,25.43,18.84,12.25
08065,28.84,33.38,37.92,43.99,50.06,36.92,23.77,17.14,10.5
08067,23.78,24.83,25.88,26.0,26.11,27.36,28.61,24.39,20.17
08069,40.08,39.0,37.92,39.79,41.66,47.76,53.85,50.62,47.38
08071,57.59,60.6,63.61,72.06,80.51,84.26,88.0,87.98,87.97
08073,44.57,30.67,16.78,14.62,12.45,13.21,13.97,11.68,9.39
08075,82.87,67.02,51.16,38.64,26.11,40.98,55.86,38.02,20.17
08077,59.82,66.76,73.7,77.6,81.5,81.1,80.71,71.16,61.6
08079,0.29,2.02,3.76,3.54,3.31,33.05,62.79,57.3,51.8
08081,19.33,19.44,19.55,22.83,26.11,38.92,51.72,57.79,63.86
08083,64.02,54.52,45.02,44.03,43.03,41.08,39.12,40.9,42.67
08085,67.34,70.12,72.91,73.19,73.47,65.7,57.92,49.15,40.38
08087,22.03,26.8,31.58,31.4,31.21,33.3,35.39,32.32,29.24
08089,77.3,81.34,85.39,85.75,86.11,77.41,68.71,70.61,72.51
08091,72.78,58.23,43.68,41.74,39.81,37.6,35.39,36.96,38.53
08093,31.01,24.28,17.54,33.15,48.76,58.74,68.71,50.84,32.96
08095,24.86,15.42,5.99,4.82,3.66,2.6,1.53,2.46,3.4
08097,43.52,37.55,31.58,30.41,29.24,24.64,20.05,13.68,7.32
08099,67.34,77.67,88.0,83.86,79.71,65.72,51.72,47.2,42.67
08101,78.13,80.36,82.59,84.35,86.11,83.41,80.71,76.61,72.51
08103,10.54,14.04,17.54,31.22,44.9,55.54,66.17,70.8,75.44
08105,55.21,67.64,80.07,86.12,92.17,93.33,94.49,84.17,73.85
08107,26.81,21.27,15.73,14.09,12.45,20.53,28.61,22.24,15.88
08109,80.58,71.32,62.05,67.18,72.32,83.76,95.19,95.8,96.4
08111,98.66,92.5,86.34,48.34,10.35,36.57,62.79,75.05,87.31
08113,21.11,19.32,17.54,13.07,8.6,11.84,15.09,22.17,29.24
08115,45.62,57.99,70.36,70.02,69.68,71.93,74.19,48.14,22.08
08117,21.11,19.32,17.54,17.88,18.22,17.24,16.26,22.75,29.24
08119,58.8,57.16,55.52,59.64,63.76,46.18,28.61,29.88,31.15
08121,19.33,16.48,13.63,11.56,9.49,8.04,6.59,16.13,25.68
08123,40.08,39.0,37.92,35.46,32.99,43.42,53.85,53.89,53.93
08125,3.85,3.98,4.11,6.36,8.6,20.92,33.23,51.31,69.39
09110,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09120,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09130,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09140,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09150,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09160,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09170,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09180,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
09190,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
10001,64.02,65.01,66.0,61.35,56.69,64.81,72.92,73.39,73.85
10003,48.2,49.68,51.16,57.46,63.76,67.64,71.51,67.68,63.86
10005,56.45,55.35,54.25,47.03,39.81,43.62,47.42,51.72,56.03
11001,73.96,73.83,73.7,75.8,77.9,80.22,82.53,84.0,85.46
12001,51.74,52.15,52.56,56.44,60.32,56.02,51.72,54.79,57.87
12003,66.35,57.96,49.57,49.82,50.06,51.96,53.85,53.89,53.93
12005,66.35,62.91,59.47,59.0,58.54,48.83,39.12,37.1,35.09
12007,93.98,90.99,88.0,72.34,56.69,57.31,57.92,64.37,70.82
12009,84.37,81.84,79.31,70.69,62.07,57.96,53.85,53.89,53.93
12011,79.82,76.76,73.7,71.01,68.31,68.51,68.71,69.77,70.82
12013,69.02,77.2,85.39,78.86,72.32,51.48,30.65,29.94,29.24
12015,86.66,86.02,85.39,81.32,77.26,71.71,66.17,67.78,69.39
12017,93.0,92.62,92.23,89.76,87.29,87.64,88.0,87.08,86.16
12019,81.76,78.68,75.61,77.28,78.95,69.33,59.71,50.04,40.38
12021,59.82,51.75,43.68,39.28,34.87,36.99,39.12,39.75,40.38
12023,97.55,95.06,92.58,92.38,92.17,92.12,92.08,88.06,84.03
12027,74.91,72.14,69.37,55.52,41.66,66.87,92.08,94.08,96.09
12029,49.38,38.88,28.37,39.22,50.06,40.36,30.65,44.26,57.87
12031,78.13,75.52,72.91,70.61,68.31,63.12,57.92,53.73,49.54
12033,76.5,72.93,69.37,68.17,66.97,71.23,75.49,76.1,76.71
12035,71.89,66.33,60.78,55.42,50.06,40.36,30.65,30.9,31.15
12037,79.05,78.78,78.51,78.73,78.95,83.27,87.59,90.84,94.08
12039,89.37,85.55,81.73,81.61,81.5,64.46,47.42,43.9,40.38
12041,94.43,88.51,82.59,71.46,60.32,47.86,35.39,27.02,18.64
12043,92.23,94.11,95.99,95.72,95.45,96.1,96.75,80.31,63.86
12045,87.68,83.1,78.51,78.2,77.9,60.88,43.86,42.12,40.38
12047,97.68,97.26,96.85,97.6,98.34,96.99,95.64,95.26,94.88
12049,90.29,90.76,91.24,74.89,58.54,73.92,89.31,91.34,93.38
