FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH,2021 EPL_NOVEH,2022 EPL_NOVEH
05071,47.63,51.29,54.95,45.34,35.72,39.97,44.21,45.32,46.42
05073,91.66,91.5,91.34,88.82,86.31,86.66,87.01,81.81,76.61
05075,44.51,48.22,51.93,51.68,51.42,50.33,49.24,50.5,51.77
05077,99.04,98.63,98.22,98.46,98.69,98.94,99.2,99.22,99.24
05079,91.09,87.66,84.24,84.38,84.53,61.94,39.34,39.36,39.39
05081,55.78,55.36,54.95,68.21,81.47,75.48,69.48,55.34,41.2
05083,60.17,54.47,48.77,40.39,32.0,35.67,39.34,42.88,46.42
05085,32.73,36.3,39.86,32.03,24.2,27.38,30.55,35.88,41.2
05087,20.73,19.9,19.07,31.71,44.35,36.72,29.09,21.61,14.13
05089,31.36,39.35,47.34,53.88,60.43,59.28,58.12,43.46,28.79
05091,85.23,78.53,71.82,74.88,77.94,80.33,82.72,85.09,87.46
05093,87.71,85.74,83.76,86.8,89.84,89.0,88.16,90.74,93.32
05095,98.82,98.22,97.61,97.14,96.66,96.45,96.24,97.5,98.76
05097,19.33,34.83,50.33,49.4,48.46,29.37,10.28,22.9,35.51
05099,91.09,85.9,80.71,68.48,56.26,47.0,37.75,36.63,35.51
05101,20.73,14.72,8.72,14.93,21.14,19.29,17.44,11.3,5.15
05103,89.78,88.49,87.2,88.3,89.4,91.76,94.11,95.48,96.85
05105,32.73,28.84,24.96,39.68,54.41,59.98,65.56,63.2,60.83
05107,97.42,97.92,98.41,98.65,98.89,98.8,98.7,98.35,98.0
05109,32.73,37.3,41.87,39.51,37.15,34.8,32.46,36.83,41.2
05111,78.83,77.72,76.6,72.45,68.29,69.52,70.75,78.64,86.54
05113,29.74,36.66,43.58,52.78,61.99,49.87,37.75,43.22,48.68
05115,38.2,40.03,41.87,44.32,46.77,43.9,41.02,37.35,33.69
05117,52.98,55.5,58.01,61.13,64.25,40.14,16.04,25.78,35.51
05119,67.53,69.01,70.49,71.36,72.24,73.06,73.87,75.24,76.61
05121,78.83,71.54,64.25,58.6,52.94,43.53,34.12,46.86,59.59
05123,93.82,93.96,94.11,95.51,96.91,97.34,97.77,97.55,97.33
05125,17.13,16.68,16.24,18.69,21.14,25.85,30.55,25.62,20.68
05127,65.97,75.1,84.24,83.86,83.48,83.1,82.72,86.04,89.37
05129,57.15,51.26,45.37,58.24,71.12,73.23,75.33,77.4,79.48
05131,68.64,71.69,74.75,69.5,64.25,64.18,64.1,63.98,63.86
05133,40.18,35.74,31.3,28.46,25.63,32.48,39.34,38.42,37.51
05135,55.78,48.82,41.87,33.04,24.2,38.92,53.63,46.51,39.39
05137,49.32,45.6,41.87,33.75,25.63,36.64,47.64,63.22,78.81
05139,52.98,52.46,51.93,42.87,33.81,28.89,23.97,35.2,46.42
05141,34.8,40.08,45.37,48.4,51.42,55.42,59.42,62.2,64.97
05143,49.32,49.82,50.33,52.37,54.41,51.02,47.64,41.58,35.51
05145,40.18,40.02,39.86,48.06,56.26,60.18,64.1,63.98,63.86
05147,97.71,96.96,96.21,94.62,93.03,91.57,90.1,92.4,94.69
05149,42.38,38.56,34.73,34.27,33.81,33.14,32.46,44.68,56.89
06001,90.29,90.1,89.91,89.42,88.92,88.54,88.16,88.76,89.37
06003,2.32,11.35,20.38,37.4,54.41,34.64,14.86,15.9,16.93
06005,15.79,16.02,16.24,31.5,46.77,57.68,68.59,59.44,50.3
06007,67.53,67.29,67.05,69.08,71.12,68.34,65.56,63.2,60.83
06009,19.33,19.2,19.07,12.31,5.54,3.91,2.29,3.44,4.58
