FIPS,2014 EPL_DISABL,2015 EPL_DISABL,2016 EPL_DISABL,2017 EPL_DISABL,2018 EPL_DISABL,2019 EPL_DISABL,2020 EPL_DISABL,2021 EPL_DISABL,2022 EPL_DISABL
02105,75.33,65.46,55.59,52.82,50.05,58.58,67.12,73.81,80.5
02110,5.76,5.94,6.11,11.58,17.06,16.13,15.21,14.16,13.11
02122,44.03,40.56,37.09,39.26,41.42,44.96,48.5,48.27,48.04
02130,23.72,29.47,35.21,38.32,41.42,42.05,42.68,38.63,34.58
02150,23.02,20.46,17.89,21.0,24.1,14.32,4.55,4.01,3.47
02158,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02164,53.68,33.53,13.37,23.78,34.19,43.99,53.79,42.28,30.77
02170,16.71,18.21,19.71,23.48,27.25,31.57,35.9,34.26,32.61
02180,11.46,11.3,11.14,8.8,6.46,4.94,3.41,4.38,5.35
02185,4.52,4.78,5.03,6.0,6.97,8.04,9.1,10.82,12.54
02188,7.45,7.88,8.31,7.64,6.97,5.5,4.04,5.44,6.84
02195,22.32,27.84,33.37,53.86,74.34,80.6,86.86,81.29,75.72
02198,47.85,56.11,64.37,76.26,88.16,90.3,92.43,89.71,86.99
02220,9.71,15.42,21.14,20.47,19.8,22.52,25.24,30.26,35.28
02230,0.22,1.6,2.99,7.42,11.84,26.84,41.85,39.24,36.62
02240,44.73,43.42,42.12,53.17,64.22,71.68,79.15,77.72,76.3
02275,97.39,86.39,75.39,72.6,69.82,64.15,58.47,75.35,92.24
02282,1.02,1.48,1.94,2.28,2.61,1.92,1.24,2.86,4.49
02290,62.56,59.08,55.59,50.04,44.48,49.14,53.79,60.6,67.42
04001,46.74,44.91,43.08,42.79,42.5,40.42,38.35,35.91,33.47
04003,66.92,65.64,64.37,64.3,64.22,65.67,67.12,67.64,68.15
04005,14.45,14.96,15.47,16.57,17.67,20.62,23.58,23.1,22.62
04007,81.31,86.12,90.93,90.79,90.64,88.59,86.54,86.58,86.61
04009,36.01,33.13,30.25,28.01,25.76,29.98,34.21,29.05,23.89
04011,33.4,30.93,28.46,27.11,25.76,22.6,19.45,20.21,20.97
04012,72.62,81.31,90.0,90.78,91.56,94.74,97.93,95.22,92.52
04013,9.11,10.38,11.65,12.04,12.42,13.23,14.04,14.18,14.32
04015,80.01,84.69,89.37,90.46,91.56,91.14,90.71,90.58,90.45
04017,71.76,71.22,70.68,70.25,69.82,73.04,76.26,72.2,68.15
04019,36.01,39.54,43.08,45.12,47.15,46.68,46.21,44.56,42.92
04021,27.19,32.57,37.95,42.55,47.15,51.04,54.93,53.97,53.01
04023,6.24,11.68,17.13,19.16,21.2,28.2,35.2,29.54,23.89
04025,74.59,74.54,74.5,73.66,72.81,72.34,71.87,70.81,69.74
04027,18.94,17.54,16.14,17.27,18.4,20.4,22.41,23.15,23.89
05001,86.44,90.12,93.79,94.82,95.86,92.29,88.73,86.97,85.21
05003,90.19,91.07,91.95,92.49,93.03,92.06,91.09,91.41,91.73
05005,93.7,91.54,89.37,88.28,87.2,90.38,93.57,95.44,97.3
05007,5.76,5.04,4.33,4.56,4.78,6.13,7.48,6.64,5.79
05009,87.81,86.0,84.18,80.28,76.38,80.22,84.05,82.6,81.16
05011,87.33,90.56,93.79,90.98,88.16,87.19,86.22,83.69,81.16
05013,98.79,99.03,99.27,97.79,96.31,93.08,89.85,92.8,95.74
05015,70.49,68.27,66.06,59.14,52.21,45.9,39.59,36.1,32.61
05017,97.1,96.7,96.31,96.08,95.86,96.45,97.04,96.32,95.61
05019,76.5,77.0,77.49,79.21,80.93,86.5,92.08,89.07,86.06
05021,96.21,95.56,94.91,94.46,94.01,92.88,91.76,87.46,83.17
05023,81.31,77.14,72.97,70.96,68.96,75.98,83.0,86.33,89.66
05025,92.68,92.56,92.45,88.28,84.11,83.03,81.95,86.28,90.61
