FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
02188,13.18,6.0,6.9,7.9,15.85,16.42,9.3
02195,13.18,13.28,15.32,16.02,15.85,16.42,18.63
02198,13.18,13.28,15.32,16.02,15.85,16.42,18.63
02220,13.18,14.8,15.7,15.9,15.85,16.6,18.63
02230,13.18,13.28,15.32,16.02,15.85,16.42,18.63
02240,13.18,13.28,12.6,13.5,15.85,12.5,16.0
02275,13.18,13.28,15.32,16.02,15.85,16.42,18.63
02282,13.18,13.28,15.32,15.0,15.85,16.42,19.1
02290,11.3,13.28,15.8,15.0,15.3,16.7,18.63
04001,10.8,19.12,21.72,12.6,21.02,20.7,29.6
04003,16.7,19.12,20.9,22.6,21.02,20.7,29.6
04005,12.6,17.6,21.72,20.97,21.02,17.7,28.3
04007,17.13,19.12,21.72,20.97,21.02,20.7,29.6
04009,17.3,19.12,21.72,22.3,24.3,24.6,28.6
04011,16.4,21.1,21.72,20.97,18.3,20.7,28.0
04012,17.13,19.12,29.4,29.5,21.02,21.7,29.6
04013,17.0,19.12,21.72,20.97,21.02,20.7,35.3
04015,27.1,19.12,27.4,20.97,21.02,24.4,28.1
04017,17.13,16.4,27.5,20.97,21.02,23.0,29.6
04019,17.13,19.12,23.8,24.4,21.02,20.7,29.6
04021,9.7,19.12,14.5,20.97,21.02,20.7,23.9
04023,17.13,19.12,11.9,20.97,21.02,14.2,26.1
04025,26.6,25.7,21.72,20.97,25.5,20.7,38.5
04027,17.13,14.8,18.4,14.4,16.0,19.3,29.6
05001,11.96,12.64,14.12,14.3,12.3,13.4,17.36
05003,10.6,12.64,14.12,12.3,16.5,14.4,19.9
05005,20.2,12.64,14.12,14.72,19.9,14.24,17.36
05007,11.96,12.64,14.12,12.9,14.4,11.7,17.36
05009,11.96,12.64,15.8,14.72,14.4,14.24,18.8
05011,6.6,12.64,14.12,14.72,9.0,9.2,17.36
05013,11.96,10.5,12.7,12.8,12.2,12.6,17.36
05015,15.9,19.7,14.12,14.72,14.4,22.5,17.36
05017,11.96,10.6,14.12,14.72,9.7,10.0,14.4
05019,6.7,7.7,8.7,14.72,7.5,7.7,9.7
05021,11.96,22.5,17.2,14.72,16.7,14.24,22.6
05023,10.4,12.64,13.3,14.9,14.4,14.0,17.36
05025,8.1,8.8,14.12,10.1,14.4,10.6,12.8
05027,11.96,11.6,11.6,14.72,14.4,11.6,15.2
05029,13.4,12.64,14.12,14.72,14.4,14.24,17.36
05031,11.96,13.2,14.12,14.72,12.3,11.1,17.36
05033,11.96,12.64,19.9,20.7,22.3,16.3,17.36
05035,9.2,12.64,12.0,18.8,17.6,14.24,18.8
05037,11.96,13.5,14.12,16.2,14.4,14.24,17.36
05039,11.96,12.64,8.2,8.9,8.5,14.24,17.36
05041,6.2,6.7,7.7,8.2,7.9,8.6,11.0
05043,11.3,12.64,13.8,15.5,14.4,14.24,17.1
05045,12.3,10.4,13.2,13.6,14.4,14.24,16.8
05047,11.96,12.64,21.4,14.72,14.4,17.1,17.36
05049,14.1,12.64,18.1,14.72,14.4,21.2,17.36
05051,25.1,12.64,14.12,14.72,14.4,23.8,17.36
05053,12.4,12.64,14.12,15.2,13.8,14.24,16.6
05055,11.96,12.64,18.0,15.1,17.4,13.6,20.9
05057,7.0,12.64,14.12,14.72,11.0,10.1,17.36
05059,11.96,11.4,13.4,19.8,12.3,14.24,17.36
