FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
04009,17.3,19.8,22.4,22.3,24.3,24.6,28.6
04011,16.4,21.1,24.77,26.14,18.3,25.94,28.0
04012,19.67,16.68,29.4,29.5,18.54,21.7,31.68
04013,17.0,19.38,21.12,23.51,21.9,20.74,35.3
04015,27.1,15.86,27.4,21.59,23.08,24.4,28.1
04017,13.02,16.4,27.5,14.69,21.51,23.0,26.91
04019,14.86,19.41,23.8,24.4,22.15,20.09,27.87
04021,9.7,19.66,14.5,23.52,23.46,22.29,23.9
04023,16.7,21.32,11.9,23.51,22.62,14.2,26.1
04025,26.6,25.7,25.7,25.56,25.5,21.19,38.5
04027,17.72,14.8,18.4,14.4,16.0,19.3,32.16
05001,10.57,8.03,11.61,14.3,12.3,13.4,13.16
05003,10.6,11.69,12.33,12.3,16.5,14.4,19.9
05005,20.2,16.49,16.7,19.01,19.9,17.78,19.28
05007,15.37,16.01,13.51,12.9,15.9,11.7,17.09
05009,14.82,16.81,15.8,18.87,17.78,19.17,18.8
05011,6.6,9.8,12.49,12.97,9.0,9.2,16.61
05013,8.21,10.5,12.7,12.8,12.2,12.6,15.05
05015,15.9,19.7,14.54,15.95,16.02,22.5,20.7
05017,8.05,10.6,10.11,12.15,9.7,10.0,14.4
05019,6.7,7.7,8.7,14.05,7.5,7.7,9.7
05021,18.98,22.5,17.2,19.24,16.7,15.02,22.6
05023,10.4,11.63,13.3,14.9,14.57,14.0,17.29
05025,8.1,8.8,11.32,10.1,11.61,10.6,12.8
05027,9.53,11.6,11.6,10.51,10.19,11.6,15.2
05029,13.4,10.92,13.43,13.85,13.71,16.59,16.39
05031,14.01,13.2,17.52,16.75,12.3,11.1,20.3
05033,13.7,18.41,19.9,20.7,22.3,16.3,16.37
05035,9.2,14.54,12.0,18.8,17.6,14.42,18.8
05037,12.51,13.5,15.68,16.2,16.75,16.59,16.59
05039,10.44,9.59,8.2,8.9,8.5,11.75,13.65
05041,6.2,6.7,7.7,8.2,7.9,8.6,11.0
05043,11.3,8.99,13.8,15.5,10.9,10.62,17.1
05045,12.3,10.4,13.2,13.6,15.46,16.91,16.8
05047,13.29,15.56,21.4,18.16,19.69,17.1,17.02
05049,14.1,17.88,18.1,20.04,19.14,21.2,21.14
05051,25.1,11.94,14.4,16.82,14.42,23.8,15.41
05053,12.4,10.77,12.44,15.2,13.8,15.12,16.6
05055,15.47,17.03,18.0,15.1,17.4,13.6,20.9
05057,7.0,12.16,11.08,11.46,11.0,10.1,14.08
05059,14.34,11.4,13.4,19.8,12.3,15.87,12.95
05061,10.26,15.57,11.93,14.56,8.8,8.5,11.5
05063,11.1,11.9,15.74,18.25,16.03,12.4,15.8
05065,16.0,22.8,18.35,24.2,19.8,17.43,20.86
05067,10.9,13.3,15.7,13.5,13.7,14.8,18.5
05069,12.16,10.9,10.1,15.07,15.5,13.98,14.11
05071,12.76,14.4,16.42,18.7,18.87,17.26,20.4
05073,8.95,10.1,11.19,8.6,8.2,10.31,10.9
05075,13.19,14.56,13.3,15.9,15.2,15.6,25.3
05077,8.4,7.09,10.4,13.4,11.4,9.79,13.77
05079,9.59,8.78,10.82,19.8,11.76,10.76,13.76
05081,10.3,13.63,12.6,16.1,12.51,11.03,15.9
05083,16.5,16.0,17.38,19.9,24.6,19.7,18.99
05085,15.1,10.72,19.7,14.8,17.2,18.1,15.32
05087,8.3,16.66,12.0,10.2,11.0,10.6,13.3
05089,15.68,16.09,15.97,19.81,19.03,17.3,20.3
05091,7.9,7.2,10.79,8.1,10.68,9.4,13.2
05093,14.09,16.27,17.8,19.88,15.3,16.74,25.62
05095,9.75,7.3,11.26,13.14,12.75,9.4,14.4
05097,10.8,11.7,13.3,15.1,13.79,15.26,17.28
05099,7.3,10.71,9.6,9.1,8.7,10.32,11.5
05101,12.68,15.2,17.2,14.24,18.8,20.5,24.5
05103,8.19,9.92,12.2,11.64,10.43,11.97,13.17
05105,15.84,11.8,14.53,15.2,12.9,18.84,16.18
05107,9.82,7.3,9.3,13.02,8.6,8.3,13.03
05109,12.3,15.9,11.12,16.1,18.4,10.88,21.2
05111,16.0,18.1,20.0,16.84,19.5,20.0,17.74
05113,12.4,15.7,15.32,15.9,15.3,14.9,26.4
05115,13.56,9.8,13.9,11.8,17.05,17.32,15.6
05117,12.19,9.23,15.21,14.37,15.29,14.06,13.3
05119,13.8,12.3,14.6,14.69,20.0,19.8,16.03
05121,12.3,14.1,16.97,15.9,17.04,15.38,21.5
05123,10.05,6.8,12.81,9.1,14.76,12.46,12.0
05125,13.6,11.9,16.8,16.25,17.2,19.59,15.25
05127,15.1,15.06,18.44,18.56,17.27,19.4,22.73
05129,12.0,14.8,15.32,15.8,16.88,15.7,18.8
05131,15.98,16.4,19.7,20.74,16.6,13.7,22.7
05133,9.0,16.89,11.0,13.2,13.95,12.86,16.09
05135,17.2,16.99,20.7,24.3,18.0,19.4,29.2
05137,13.95,11.4,15.16,17.67,14.0,14.95,17.1
05139,8.46,9.8,12.03,14.1,15.0,15.4,15.2
05141,12.43,12.7,12.7,13.59,13.1,15.45,16.8
05143,13.4,17.36,8.3,17.94,16.74,7.8,8.9
05145,11.85,11.05,15.4,14.98,15.24,15.4,19.6
05147,11.35,10.45,13.5,15.4,14.7,13.4,19.4
05149,16.32,13.11,14.3,16.0,16.2,13.4,17.36
06001,10.4,12.3,10.2,10.57,11.7,15.0,19.3
06003,17.1,22.37,21.3,24.13,21.9,24.0,24.71
06005,29.0,23.1,20.06,17.85,24.9,31.7,21.54
06007,20.92,23.16,17.94,31.0,18.44,16.02,35.3
06009,27.02,21.4,21.3,19.5,21.6,25.5,22.07
06011,17.98,19.17,21.67,32.62,13.51,15.2,23.26
