FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
04009,17.3,14.8,17.19,22.3,24.3,24.6,28.6
04011,16.4,21.1,17.19,18.59,18.3,17.8,28.0
04012,13.72,14.8,29.4,29.5,17.7,21.7,23.4
04013,17.0,14.8,17.19,18.59,17.7,17.8,35.3
04015,27.1,14.8,27.4,18.59,17.7,24.4,28.1
04017,13.72,16.4,27.5,18.59,17.7,23.0,23.4
04019,13.72,14.8,23.8,24.4,17.7,17.8,23.4
04021,9.7,14.8,14.5,18.59,17.7,17.8,23.9
04023,13.72,14.8,11.9,18.59,17.7,14.2,26.1
04025,26.6,25.7,17.19,18.59,25.5,17.8,38.5
04027,13.72,14.8,18.4,14.4,16.0,19.3,23.4
05001,13.72,14.8,17.19,14.3,12.3,13.4,23.4
05003,10.6,14.8,17.19,12.3,16.5,14.4,19.9
05005,20.2,14.8,17.19,18.59,19.9,17.8,23.4
05007,13.72,14.8,17.19,12.9,17.7,11.7,23.4
05009,13.72,14.8,15.8,18.59,17.7,17.8,18.8
05011,6.6,14.8,17.19,18.59,9.0,9.2,23.4
05013,13.72,10.5,12.7,12.8,12.2,12.6,23.4
05015,15.9,19.7,17.19,18.59,17.7,22.5,23.4
05017,13.72,10.6,17.19,18.59,9.7,10.0,14.4
05019,6.7,7.7,8.7,18.59,7.5,7.7,9.7
05021,13.72,22.5,17.2,18.59,16.7,17.8,22.6
05023,10.4,14.8,13.3,14.9,17.7,14.0,23.4
05025,8.1,8.8,17.19,10.1,17.7,10.6,12.8
05027,13.72,11.6,11.6,18.59,17.7,11.6,15.2
05029,13.4,14.8,17.19,18.59,17.7,17.8,23.4
05031,13.72,13.2,17.19,18.59,12.3,11.1,23.4
05033,13.72,14.8,19.9,20.7,22.3,16.3,23.4
05035,9.2,14.8,12.0,18.8,17.6,17.8,18.8
05037,13.72,13.5,17.19,16.2,17.7,17.8,23.4
05039,13.72,14.8,8.2,8.9,8.5,17.8,23.4
05041,6.2,6.7,7.7,8.2,7.9,8.6,11.0
05043,11.3,14.8,13.8,15.5,17.7,17.8,17.1
05045,12.3,10.4,13.2,13.6,17.7,17.8,16.8
05047,13.72,14.8,21.4,18.59,17.7,17.1,23.4
05049,14.1,14.8,18.1,18.59,17.7,21.2,23.4
05051,25.1,14.8,17.19,18.59,17.7,23.8,23.4
05053,12.4,14.8,17.19,15.2,13.8,17.8,16.6
05055,13.72,14.8,18.0,15.1,17.4,13.6,20.9
05057,7.0,14.8,17.19,18.59,11.0,10.1,23.4
05059,13.72,11.4,13.4,19.8,12.3,17.8,23.4
05061,13.72,14.8,17.19,18.59,8.8,8.5,11.5
05063,11.1,11.9,17.19,18.59,17.7,12.4,15.8
05065,16.0,22.8,17.19,24.2,19.8,17.8,23.4
05067,10.9,13.3,15.7,13.5,13.7,14.8,18.5
05069,13.72,10.9,10.1,18.59,17.7,17.8,23.4
05071,13.72,14.4,17.19,18.7,17.7,17.8,20.4
05073,13.72,14.8,17.19,8.6,8.2,17.8,10.9
05075,13.72,14.8,13.3,15.9,15.2,15.6,25.3
05077,8.4,14.8,10.4,13.4,11.4,17.8,23.4
05079,13.72,14.8,17.19,19.8,17.7,17.8,23.4
