FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
02220,-9.0,14.8,15.7,15.9,-9.0,16.6,-9.0
02230,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02240,-9.0,-9.0,12.6,13.5,-9.0,12.5,16.0
02275,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02282,-9.0,-9.0,-9.0,15.0,-9.0,-9.0,19.1
02290,11.3,-9.0,15.8,15.0,15.3,16.7,-9.0
04001,10.8,-9.0,-9.0,12.6,-9.0,-9.0,-9.0
04003,16.7,-9.0,20.9,22.6,-9.0,-9.0,-9.0
04005,12.6,17.6,-9.0,-9.0,-9.0,17.7,28.3
04007,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
04009,17.3,-9.0,-9.0,22.3,24.3,24.6,28.6
04011,16.4,21.1,-9.0,-9.0,18.3,-9.0,28.0
04012,-9.0,-9.0,29.4,29.5,-9.0,21.7,-9.0
04013,17.0,-9.0,-9.0,-9.0,-9.0,-9.0,35.3
04015,27.1,-9.0,27.4,-9.0,-9.0,24.4,28.1
04017,-9.0,16.4,27.5,-9.0,-9.0,23.0,-9.0
04019,-9.0,-9.0,23.8,24.4,-9.0,-9.0,-9.0
04021,9.7,-9.0,14.5,-9.0,-9.0,-9.0,23.9
04023,-9.0,-9.0,11.9,-9.0,-9.0,14.2,26.1
04025,26.6,25.7,-9.0,-9.0,25.5,-9.0,38.5
04027,-9.0,14.8,18.4,14.4,16.0,19.3,-9.0
05001,-9.0,-9.0,-9.0,14.3,12.3,13.4,-9.0
05003,10.6,-9.0,-9.0,12.3,16.5,14.4,19.9
05005,20.2,-9.0,-9.0,-9.0,19.9,-9.0,-9.0
05007,-9.0,-9.0,-9.0,12.9,-9.0,11.7,-9.0
05009,-9.0,-9.0,15.8,-9.0,-9.0,-9.0,18.8
05011,6.6,-9.0,-9.0,-9.0,9.0,9.2,-9.0
05013,-9.0,10.5,12.7,12.8,12.2,12.6,-9.0
05015,15.9,19.7,-9.0,-9.0,-9.0,22.5,-9.0
05017,-9.0,10.6,-9.0,-9.0,9.7,10.0,14.4
05019,6.7,7.7,8.7,-9.0,7.5,7.7,9.7
05021,-9.0,22.5,17.2,-9.0,16.7,-9.0,22.6
05023,10.4,-9.0,13.3,14.9,-9.0,14.0,-9.0
05025,8.1,8.8,-9.0,10.1,-9.0,10.6,12.8
05027,-9.0,11.6,11.6,-9.0,-9.0,11.6,15.2
05029,13.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
05031,-9.0,13.2,-9.0,-9.0,12.3,11.1,-9.0
05033,-9.0,-9.0,19.9,20.7,22.3,16.3,-9.0
