FIPS,2014 EPL_SNGPNT,2015 EPL_SNGPNT,2016 EPL_SNGPNT,2017 EPL_SNGPNT,2018 EPL_SNGPNT,2019 EPL_SNGPNT,2020 EPL_SNGPNT
01105,98.95,95.59,92.23,90.7,89.18,79.67,70.15
01107,92.2,77.2,62.21,55.6,49.0,67.21,85.42
01109,85.77,83.44,81.12,76.55,71.98,74.34,76.7
01111,70.01,65.98,61.95,56.24,50.53,55.8,61.08
01113,95.8,93.36,90.93,90.06,89.18,92.28,95.39
01115,42.5,32.92,23.34,27.9,32.47,34.53,36.6
01117,23.81,20.71,17.61,17.34,17.06,23.78,30.49
01119,89.24,84.12,78.99,73.01,67.02,78.4,89.78
01121,90.48,87.36,84.24,82.51,80.77,83.76,86.76
01123,76.95,80.61,84.27,80.53,76.79,84.59,92.39
01125,70.77,74.35,77.94,80.89,83.83,86.04,88.26
01127,70.39,66.66,62.94,50.43,37.92,44.58,51.24
01129,11.72,34.44,57.15,48.38,39.61,46.52,53.44
01131,68.67,55.58,42.5,38.42,34.35,63.9,93.44
01133,33.68,34.78,35.88,35.12,34.35,51.48,68.62
02013,97.39,96.48,95.57,96.26,96.94,87.54,78.13
02016,70.96,68.51,66.06,71.89,77.71,55.1,32.5
02020,82.65,80.18,77.71,75.44,73.16,64.26,55.35
02050,98.89,98.92,98.95,99.0,99.04,93.92,88.8
02060,90.83,86.93,83.03,77.5,71.98,39.28,6.59
02063,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02066,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02068,0.48,0.82,1.15,1.24,1.34,2.28,3.21
02070,90.93,94.67,98.41,98.9,99.4,99.11,98.82
02090,53.49,51.46,49.44,56.72,63.99,62.54,61.08
02100,37.47,19.26,1.05,2.92,4.78,3.66,2.55
02105,13.31,29.45,45.59,44.44,43.3,23.62,3.95
02110,73.38,64.45,55.52,34.72,13.91,26.48,39.05
02122,48.46,52.34,56.22,50.7,45.18,43.26,41.34
02130,47.41,57.34,67.27,72.03,76.79,70.45,64.1
02150,96.21,94.41,92.61,93.33,94.05,74.7,55.35
02158,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02164,99.24,99.4,99.55,98.87,98.19,92.92,87.65
02170,60.11,54.33,48.55,48.78,49.0,52.18,55.35
