FIPS,2010 MR
01001,11.02
01003,14.26
01005,0.78
01007,15.38
01009,17.45
01011,0.0
01013,0.0
01015,17.71
01017,4.93
01019,19.14
01021,25.2
01023,4.75
01025,6.9
01027,0.0
01029,20.21
01031,3.31
01033,11.87
01035,0.0
01037,10.99
01039,7.32
01041,0.0
01043,27.75
01045,4.7
01047,9.05
01049,15.13
01051,11.02
01053,26.1
01055,11.49
01057,21.53
01059,23.85
01061,8.68
01063,0.0
01065,9.75
01067,0.0
01069,12.8
01071,12.64
01073,9.11
01075,0.0
01077,11.87
01079,20.45
01081,5.69
01083,16.91
01085,0.0
01087,0.0
01089,10.45
01091,3.76
01093,27.07
01095,15.71
01097,10.9
01099,8.07
01101,7.85
01103,15.06
01105,12.63
01107,5.9
01109,2.62
01111,10.82
01113,2.84
01115,17.94
01117,13.33
01119,0.0
01121,12.24
01123,4.18
01125,13.87
01127,50.73
01129,8.39
01131,0.0
01133,39.24
02013,0.0
02016,0.0
02020,13.02
02050,0.0
02060,0.0
02063,8.09
02066,6.44
02068,0.0
02070,0.0
02090,10.25
02100,0.0
02105,0.0
02110,0.0
02122,5.39
02130,0.0
02150,0.0
02158,0.0
02164,0.0
02170,11.24
02180,0.0
02185,0.0
02188,0.0
02195,0.0
02198,0.0
02220,0.0
02230,0.0
02240,6.12
02275,0.0
02282,0.0
02290,2.69
04001,11.21
04003,18.27
04005,13.39
04007,18.66
04009,17.82
04011,9.02
04012,15.35
04013,15.95
04015,33.97
04017,17.68
04019,20.91
04021,13.57
04023,19.59
04025,21.8
04027,11.75
05001,5.2
05003,0.0
05005,0.0
05007,14.01
05009,0.0
05011,0.0
05013,0.0
05015,3.5
05017,0.0
05019,2.26
05021,0.0
05023,8.26
05025,0.0
05027,0.0
05029,15.04
05031,13.48
05033,20.99
05035,5.02
05037,0.0
05039,0.0
05041,0.0
05043,0.0
05045,14.13
05047,0.0
05049,0.19
05051,29.16
05053,4.79
05055,6.74
05057,0.0
05059,11.32
05061,0.0
05063,4.07
05065,0.0
05067,5.78
05069,7.96
05071,4.05
05073,0.0
05075,5.51
05077,0.0
05079,0.0
05081,1.18
05083,7.84
05085,23.41
05087,0.0
05089,0.0
05091,4.72
05093,20.68
05095,0.0
05097,10.14
05099,0.0
05101,0.0
05103,0.0
05105,19.22
05107,0.0
05109,0.0
05111,8.99
05113,4.39
05115,16.19
05117,7.8
05119,14.37
05121,2.25
05123,0.0
05125,15.77
05127,11.8
05129,0.0
05131,11.13
05133,0.0
05135,0.75
05137,0.0
05139,0.0
05141,7.58
05143,6.89
05145,11.34
05147,0.0
05149,18.1
06001,8.74
06003,0.0
06005,28.88
06007,38.64
06009,26.33
06011,0.0
06013,8.87
06015,25.97
06017,23.75
06019,11.18
06021,28.98
06023,35.66
06025,5.73
06027,15.44
06029,16.67
06031,9.15
06033,55.67
06035,34.39
06037,7.13
06039,13.26
06041,13.87
06043,18.65
06045,21.63
06047,11.34
06049,26.7
06051,15.87
06053,10.36
06055,12.46
06057,14.18
06059,10.4
06061,7.75
06063,29.15
06065,11.65
06067,15.22
06069,11.65
06071,6.58
06073,11.86
06075,21.11
06077,18.82
06079,14.83
06081,7.66
06083,11.32
06085,7.47
06087,17.91
06089,27.65
