FIPS,2012 MR
01001,3.7
01003,17.82
01005,0.0
01007,9.09
01009,29.4
01011,4.41
01013,0.0
01015,14.52
01017,7.87
01019,17.54
01021,7.92
01023,3.02
01025,6.84
01027,12.1
01029,14.85
01031,2.51
01033,18.49
01035,0.0
01037,13.02
01039,5.9
01041,0.0
01043,14.92
01045,4.3
01047,2.9
01049,22.51
01051,7.63
01053,10.35
01055,19.6
01057,16.78
01059,18.31
01061,9.26
01063,3.9
01065,0.0
01067,3.22
01069,9.67
01071,24.52
01073,10.91
01075,8.39
01077,21.19
01079,18.67
01081,6.79
01083,16.58
01085,0.0
01087,6.1
01089,8.16
01091,2.39
01093,18.01
01095,14.77
01097,14.25
01099,7.04
01101,7.39
01103,16.61
01105,0.0
01107,0.0
01109,3.22
01111,11.71
01113,4.13
01115,11.73
01117,18.91
01119,0.0
01121,12.23
01123,8.28
01125,15.61
01127,34.73
01129,0.0
01131,2.49
01133,24.82
02013,0.0
02016,0.0
02020,20.76
02050,9.33
02060,0.0
02063,16.85
02066,10.6
02068,0.0
02070,0.0
02090,9.97
02100,0.0
02105,0.0
02110,0.0
02122,21.09
02130,0.0
02150,10.54
02158,4.66
02164,0.0
02170,25.55
02180,1.55
02185,0.0
02188,0.0
02195,0.0
02198,0.0
02220,0.0
02230,0.0
02240,0.0
02275,0.0
02282,0.0
02290,0.0
04001,12.55
04003,18.17
04005,8.09
04007,20.7
04009,15.12
04011,0.0
04012,0.0
04013,15.98
04015,32.46
04017,18.68
04019,21.56
04021,11.62
04023,19.87
04025,31.04
04027,16.5
05001,0.0
05003,2.38
05005,1.81
05007,12.92
05009,6.21
05011,0.0
05013,0.0
05015,12.45
05017,0.72
05019,8.36
05021,34.77
05023,6.32
05025,0.0
05027,1.18
05029,4.21
05031,10.03
05033,16.44
05035,4.73
05037,3.03
05039,6.36
05041,0.0
05043,0.0
05045,12.64
05047,19.61
05049,10.4
05051,24.77
05053,9.09
05055,29.6
05057,7.72
05059,16.35
05061,16.85
05063,4.55
05065,3.33
05067,5.04
05069,4.23
05071,16.87
05073,0.0
05075,15.64
05077,0.0
05079,0.0
05081,20.19
05083,19.75
05085,5.62
05087,14.13
05089,0.91
05091,6.03
05093,15.08
05095,0.0
05097,16.83
05099,2.98
05101,9.94
05103,2.37
05105,0.0
05107,0.0
05109,9.39
05111,7.38
05113,20.99
05115,8.46
05117,0.0
05119,12.08
05121,31.51
05123,0.0
05125,15.2
05127,21.53
05129,0.0
05131,22.78
05133,30.12
05135,13.13
05137,2.11
05139,1.95
05141,0.0
05143,7.57
05145,4.74
05147,0.0
05149,13.12
06001,8.62
06003,0.0
06005,27.0
06007,32.05
06009,15.63
06011,22.85
06013,11.39
06015,22.03
06017,19.38
06019,8.33
06021,27.45
06023,35.6
06025,11.3
06027,14.94
06029,18.57
06031,11.4
06033,35.95
06035,17.93
06037,6.85
06039,16.42
06041,14.45
06043,16.69
06045,26.27
06047,14.11
06049,23.9
06051,11.91
06053,10.08
06055,11.51
06057,25.43
06059,10.36
06061,10.51
06063,19.03
06065,12.61
06067,14.21
06069,12.02
06071,6.1
06073,13.35
06075,16.47
06077,14.94
06079,13.83
06081,7.71
06083,9.74
06085,7.73
06087,19.87
06089,29.12
06091,0.0
06093,25.05
06095,6.89
06097,13.42
06099,13.99
06101,12.63
06103,18.93
06105,27.48
06107,6.2
06109,22.22
06111,13.52
06113,10.78
06115,16.12
08001,20.89
08003,4.01
08005,14.61
08007,24.05
08009,0.0
08011,0.0
08013,11.46
08014,14.46
08015,5.69
08017,0.0
08019,14.0
08021,30.07
08023,22.29
08025,9.52
08027,11.19
08029,17.59
08031,19.87
08033,0.0
08035,10.06
08037,5.24
08039,13.39
08041,15.5
08043,12.19
08045,10.27
08047,13.16
08049,11.14
08051,6.81
08053,0.0
08055,11.97
08057,12.37
08059,14.85
08061,0.0
08063,0.0
08065,0.0
08067,19.08
08069,13.53
08071,10.53
08073,8.24
08075,3.02
08077,17.59
08079,0.0
08081,9.43
08083,0.0
08085,10.5
08087,10.5
08089,7.46
08091,0.0
08093,10.58
08095,0.0
08097,7.52
08099,0.0
08101,22.38
08103,10.29
08105,8.02
08107,11.28
08109,0.0
08111,0.0
08113,4.32
08115,0.0
08117,8.19
08119,13.47
08121,0.0
08123,10.62
08125,0.0
09110,16.5
09120,16.12
09130,15.73
09140,16.54
09150,17.96
09160,17.37
09170,16.22
09180,15.73
09190,15.7
10001,19.09
10003,14.83
10005,13.77
11001,12.18
12001,9.15
12003,16.6
12005,11.05
12007,13.6
12009,21.01
12011,12.89
12013,4.91
12015,14.43
12017,29.42
12019,18.01
12021,12.03
12023,25.01
12027,14.76
12029,39.98
12031,18.87
12033,10.9
12035,12.2
12037,0.0
12039,1.9
12041,25.32
12043,15.48
12045,3.68
12047,0.0
12049,13.78
12051,15.08
12053,17.88
12055,12.23
12057,14.87
12059,15.79
12061,14.94
12063,7.42
12065,15.36
12067,29.45
12069,9.89
12071,10.38
12073,4.58
12075,39.98
12077,0.0
12079,16.22
12081,14.38
12083,15.22
12085,12.77
12086,5.21
12087,14.7
12089,24.12
12091,11.05
12093,27.87
12095,11.23
12097,12.53
12099,14.15
12101,23.81
12103,25.07
12105,13.63
12107,13.63
12109,9.89
12111,14.09
12113,11.99
12115,18.65
12117,11.14
12119,18.31
12121,12.5
12123,39.98
12125,16.09
12127,17.31
12129,1.53
12131,17.37
12133,14.21
13001,1.57
13003,0.0
13005,0.0
13007,0.0
13009,0.0
13011,20.53
13013,15.68
13015,15.89
13017,0.0
13019,0.0
13021,6.39
13023,0.0
13025,11.99
13027,5.98
13029,4.66
13031,2.05
13033,7.09
13035,14.98
13037,2.54
13039,18.85
13043,0.0
13045,14.34
13047,30.75
13049,19.86
13051,9.41
13053,2.77
13055,19.07
13057,10.84
13059,11.64
13061,0.0
13063,11.66
13065,0.0
13067,11.59
13069,0.95
13071,0.0
13073,12.16
13075,0.0
13077,12.98
13079,2.13
13081,0.99
13083,21.45
13085,11.62
13087,0.0
13089,7.07
13091,0.0
13093,0.34
13095,12.7
13097,7.46
13099,2.2
13101,0.0
13103,6.0
13105,9.1
13107,1.01
13109,0.0
13111,18.15
13113,14.85
13115,15.6
13117,7.98
13119,26.09
13121,9.72
13123,17.27
13125,0.0
13127,13.58
13129,17.37
13131,1.62
13133,3.13
13135,5.94
13137,20.46
13139,12.94
13141,0.0
