FIPS,2011 MR
01001,5.95
01003,12.85
01005,1.36
01007,8.1
01009,23.31
01011,6.08
01013,24.9
01015,11.88
01017,16.47
01019,12.28
01021,7.35
01023,0.0
01025,3.21
01027,0.0
01029,0.0
01031,13.72
01033,12.93
01035,42.0
01037,7.67
01039,25.84
01041,16.55
01043,12.42
01045,4.69
01047,2.45
01049,15.41
01051,8.04
01053,42.0
01055,14.38
01057,33.33
01059,21.04
01061,10.65
01063,0.0
01065,2.79
01067,0.0
01069,12.7
01071,13.57
01073,12.9
01075,20.1
01077,12.93
01079,16.22
01081,13.09
01083,11.71
01085,10.24
01087,10.08
01089,8.82
01091,0.0
01093,35.96
01095,14.61
01097,11.63
01099,25.02
01101,8.08
01103,13.34
01105,0.0
01107,8.9
01109,8.41
01111,12.28
01113,6.8
01115,21.33
01117,13.64
01119,0.0
01121,9.37
01123,9.1
01125,11.16
01127,55.5
01129,0.0
01131,7.67
01133,33.96
02013,0.0
02016,0.0
02020,17.59
02050,0.0
02060,0.0
02063,12.75
02066,11.14
02068,0.0
02070,0.0
02090,10.08
02100,0.0
02105,0.0
02110,0.0
02122,8.5
02130,0.0
02150,0.0
02158,0.0
02164,0.0
02170,20.66
02180,0.0
02185,0.0
02188,0.0
02195,0.0
02198,0.0
02220,0.0
02230,0.0
02240,9.14
02275,0.0
02282,0.0
02290,3.84
04001,14.61
04003,9.75
04005,16.36
04007,17.54
04009,14.82
04011,11.44
04012,16.19
04013,16.16
04015,28.17
04017,15.83
04019,19.5
04021,11.49
04023,0.0
04025,27.84
04027,11.45
05001,2.46
05003,1.34
05005,0.0
05007,12.3
05009,3.42
05011,0.45
05013,0.0
05015,10.23
05017,0.0
05019,0.0
05021,26.0
05023,7.13
05025,0.09
05027,0.37
05029,9.36
05031,13.22
05033,30.67
05035,6.58
05037,7.55
05039,0.0
05041,0.0
05043,0.0
05045,12.03
05047,22.42
05049,0.0
05051,21.62
05053,6.13
05055,19.61
05057,4.69
05059,8.83
05061,10.07
05063,2.73
05065,0.0
05067,9.14
05069,3.57
05071,19.23
05073,1.87
05075,10.89
05077,0.0
05079,0.0
05081,11.53
05083,16.72
05085,8.74
05087,18.75
05089,0.0
05091,6.28
05093,9.15
05095,2.41
05097,10.13
05099,0.0
05101,12.12
05103,0.0
05105,0.0
05107,0.0
05109,0.0
05111,11.19
05113,15.07
05115,16.04
05117,6.28
05119,10.61
05121,15.12
05123,3.29
05125,13.7
05127,18.56
05129,5.08
05131,14.16
05133,15.07
05135,3.78
05137,0.0
05139,1.11
05141,9.36
05143,9.16
05145,7.66
05147,6.05
05149,11.75
06001,10.98
06003,0.0
06005,26.35
06007,38.14
06009,33.29
06011,28.91
06013,11.44
06015,29.51
06017,19.34
06019,9.54
06021,31.95
06023,42.3
06025,12.99
06027,13.34
06029,17.73
06031,9.1
06033,52.86
06035,38.01
06037,6.92
06039,15.69
06041,8.23
06043,17.52
06045,19.42
06047,13.08
06049,27.91
06051,10.67
06053,11.14
06055,13.04
06057,14.2
06059,10.44
06061,7.28
06063,31.6
06065,11.34
06067,14.83
06069,12.58
06071,5.37
06073,13.22
06075,23.87
06077,19.25
06079,15.44
06081,9.08
06083,9.84
06085,7.96
06087,21.19
06089,29.81
06091,28.0
06093,26.96
06095,13.93
06097,10.24
06099,15.81
06101,14.75
06103,20.44
06105,27.79
06107,7.57
06109,25.48
06111,13.35
06113,9.9
06115,22.33
08001,20.6
08003,19.33
08005,14.02
08007,18.43
08009,0.0
08011,1.66
08013,13.36
08014,15.16
08015,9.47
08017,0.0
08019,4.51
08021,43.38
08023,22.21
08025,0.0
08027,0.0
08029,22.44
08031,26.29
08033,0.0
08035,9.58
08037,8.47
08039,9.78
08041,15.54
08043,12.09
