FIPS,2020 MR
01001,6.38
01003,27.48
01005,7.36
01007,19.89
01009,19.01
01011,12.46
01013,12.39
01015,25.56
01017,18.1
01019,25.26
01021,7.77
01023,0.0
01025,9.16
01027,9.59
01029,27.09
01031,19.12
01033,33.89
01035,27.56
01037,0.0
01039,25.3
01041,12.76
01043,18.93
01045,15.2
01047,0.0
01049,25.12
01051,12.17
01053,27.56
01055,19.54
01057,30.79
01059,22.83
01061,23.22
01063,0.0
01065,10.2
01067,9.35
01069,15.01
01071,23.66
01073,40.74
01075,21.79
01077,40.19
01079,27.58
01081,11.99
01083,27.05
01085,0.0
01087,0.0
01089,26.09
01091,3.2
01093,22.62
01095,17.53
01097,23.02
01099,18.96
01101,13.35
01103,21.69
01105,8.21
01107,12.8
01109,13.38
01111,21.49
01113,24.04
01115,30.86
01117,20.32
01119,0.0
01121,19.19
01123,10.48
01125,20.4
01127,41.18
01129,0.0
01131,3.05
01133,30.06
02013,0.0
02016,0.0
02020,31.0
02050,11.33
02060,0.0
02063,18.86
02066,9.93
02068,8.09
02070,11.78
02090,11.5
02100,0.0
02105,0.0
02110,0.0
02122,23.56
02130,0.0
02150,23.56
02158,0.0
02164,11.78
02170,20.87
02180,0.0
02185,0.0
02188,0.0
02195,0.0
02198,0.0
02220,0.0
02230,0.0
02240,0.0
02275,0.0
02282,0.0
02290,0.0
04001,27.83
04003,35.31
04005,29.48
04007,29.46
04009,25.5
04011,29.55
04012,46.55
04013,35.29
04015,25.78
04017,35.68
04019,38.92
04021,23.92
04023,38.45
04025,37.88
04027,25.25
05001,12.8
05003,5.06
05005,11.54
05007,15.24
05009,11.58
05011,0.0
05013,0.0
05015,15.01
05017,3.26
05019,0.0
05021,21.34
05023,17.01
05025,0.0
05027,1.77
05029,20.62
05031,20.07
05033,20.5
05035,17.1
05037,11.48
05039,6.33
05041,8.92
05043,4.77
05045,14.97
05047,21.62
05049,14.3
05051,40.08
05053,17.87
05055,14.23
05057,0.0
05059,20.14
05061,0.0
05063,15.17
05065,12.86
05067,15.54
05069,21.41
05071,15.55
05073,0.0
05075,13.8
05077,0.0
05079,11.4
05081,0.0
05083,19.97
05085,17.59
05087,15.88
05089,11.58
05091,5.19
05093,24.96
05095,0.0
05097,12.04
05099,0.0
05101,9.16
05103,0.0
05105,26.28
05107,2.56
05109,0.0
05111,21.03
05113,8.42
05115,13.07
05117,12.21
05119,27.48
05121,7.11
05123,0.0
05125,22.59
05127,19.2
05129,0.0
05131,22.73
05133,0.0
05135,10.54
05137,10.42
05139,0.44
05141,13.15
05143,6.17
05145,19.05
05147,7.82
05149,22.01
06001,19.25
06003,18.79
06005,19.64
06007,32.9
06009,20.27
06011,35.77
06013,20.31
06015,27.3
06017,20.22
06019,17.08
06021,42.43
06023,30.38
06025,35.5
06027,21.3
06029,40.05
06031,14.41
06033,71.34
06035,20.28
06037,20.33
06039,13.95
06041,21.37
