FIPS,2022 MR
01001,26.73
01003,30.43
01005,9.94
01007,33.43
01009,25.21
01011,17.85
01013,33.76
01015,48.36
01017,14.16
01019,28.43
01021,30.51
01023,17.2
01025,30.97
01027,13.81
01029,0.0
01031,24.72
01033,22.4
01035,40.53
01037,20.98
01039,29.25
01041,24.32
01043,34.19
01045,20.18
01047,46.24
01049,26.39
01051,11.17
01053,51.82
01055,30.07
01057,44.26
01059,34.45
01061,26.53
01063,0.0
01065,17.34
01067,13.82
01069,21.28
01071,20.8
01073,57.26
01075,34.79
01077,32.33
01079,27.7
01081,11.62
01083,9.02
01085,30.01
01087,16.85
01089,27.26
01091,19.09
01093,47.56
01095,29.17
01097,29.17
01099,40.93
01101,19.0
01103,33.81
01105,31.88
01107,12.57
01109,19.33
01111,19.39
01113,25.62
01115,44.71
01117,27.38
01119,0.0
01121,14.87
01123,15.43
01125,18.58
01127,69.94
01129,30.42
01131,34.01
01133,41.57
02013,0.0
02016,0.0
02020,44.58
02050,13.4
02060,0.0
02063,24.54
02066,16.71
02068,0.0
02070,0.0
02090,24.12
02100,27.61
02105,11.04
02110,44.18
02122,28.01
02130,0.0
02150,14.0
02158,13.4
02164,0.0
02170,25.59
02180,13.4
02185,13.4
02188,13.4
02195,0.0
02198,0.0
02220,0.0
02230,27.61
02240,16.61
02275,0.0
02282,0.0
02290,14.81
04001,48.91
04003,36.61
04005,26.38
04007,51.93
04009,49.0
04011,46.04
04012,90.88
04013,36.71
04015,33.51
04017,43.26
04019,43.59
04021,23.48
04023,40.1
04025,29.65
04027,20.69
05001,0.0
05003,13.92
05005,14.17
05007,14.53
05009,11.15
05011,0.0
05013,0.0
05015,14.78
05017,5.58
05019,0.0
05021,25.49
05023,21.73
05025,9.04
05027,1.64
05029,21.7
05031,15.04
05033,27.83
05035,25.5
05037,16.43
05039,0.0
05041,6.44
05043,6.9
05045,16.45
05047,28.25
05049,25.03
05051,37.97
05053,19.19
05055,7.52
05057,2.88
05059,12.67
05061,3.86
05063,14.86
05065,16.35
05067,13.71
05069,23.35
05071,14.12
05073,0.0
05075,0.0
05077,17.98
05079,11.68
05081,10.03
05083,16.0
05085,17.28
05087,16.61
05089,14.86
05091,11.5
05093,30.85
05095,3.69
05097,0.0
05099,0.0
05101,0.0
05103,0.0
05105,26.96
05107,9.77
05109,0.0
05111,23.8
05113,5.11
05115,8.96
05117,11.07
05119,34.57
05121,18.81
05123,12.72
05125,18.84
05127,0.0
05129,0.0
05131,28.67
05133,5.11
05135,15.86
05137,11.83
05139,7.75
05141,13.77
05143,16.79
05145,27.01
05147,0.0
05149,15.94
06001,20.32
06003,27.3
06005,27.53
06007,53.54
06009,29.81
06011,48.13
06013,21.87
06015,107.08
06017,24.92
06019,21.97
06021,38.82
06023,67.4
06025,17.35
06027,30.21
06029,53.6
06031,20.26
06033,89.45
06035,63.54
06037,25.1
06039,18.72
06041,24.61
06043,28.18
06045,72.4
06047,24.48
06049,44.41
06051,20.01
06053,20.79
06055,26.06
06057,33.24
06059,25.67
06061,21.06
06063,40.71
06065,35.37
06067,35.48
06069,23.68
06071,23.48
06073,30.43
06075,58.76
06077,22.19
06079,32.62
06081,15.5
06083,29.06
06085,19.4
06087,35.18
06089,36.48
06091,0.0
06093,52.68
06095,29.86
06097,24.86
06099,32.83
06101,38.58
06103,44.45
06105,54.68
06107,21.57
06109,36.68
06111,29.67
06113,20.26
06115,46.26
08001,37.15
08003,46.23
08005,27.6
08007,39.32
08009,0.0
08011,5.82
08013,19.24
08014,17.08
08015,29.23
08017,0.0
08019,33.15
08021,75.1
08023,53.31
08025,22.3
08027,0.0
08029,31.69
08031,41.92
08033,0.0
08035,11.44
08037,34.26
08039,29.8
08041,50.37
08043,42.32
08045,19.27
08047,0.0
08049,69.76
08051,19.01
08053,0.0
08055,32.91
08057,0.0
08059,29.68
08061,0.0
08063,0.0
08065,29.78
08067,33.56
08069,17.99
08071,23.42
08073,19.3
08075,5.12
08077,24.58
08079,0.0
08081,20.37
08083,24.63
08085,38.8
08087,19.52
08089,23.3
08091,0.0
08093,34.65
08095,0.0
08097,20.95
08099,0.0
08101,46.6
08103,19.27
08105,38.14
08107,27.08
08109,18.39
08111,0.0
08113,9.7
08115,0.0
08117,40.32
08119,33.45
08121,0.0
08123,21.42
08125,0.0
09110,41.26
09120,37.24
09130,32.74
09140,40.25
09150,40.93
09160,46.27
09170,37.87
09180,32.74
09190,34.22
10001,50.82
10003,56.3
10005,50.79
11001,67.13
12001,22.18
12003,53.95
12005,33.49
12007,35.01
12009,28.86
12011,33.85
12013,31.75
12015,28.62
12017,46.76
12019,31.78
12021,29.4
12023,26.42
12027,30.5
12029,33.57
12031,51.06
12033,74.8
12035,33.94
12037,34.11
12039,29.95
12041,30.35
12043,32.35
12045,33.8
12047,30.82
12049,32.72
12051,24.19
12053,47.85
12055,29.35
12057,37.67
12059,33.03
12061,29.88
12063,28.82
12065,26.48
12067,32.79
12069,34.38
12071,38.66
12073,16.81
12075,37.56
12077,29.76
12079,31.33
12081,36.12
12083,52.72
12085,23.46
12086,14.14
12087,44.06
12089,38.82
12091,54.05
12093,49.49
12095,25.88
12097,26.98
12099,32.66
12101,54.86
12103,56.15
12105,29.97
12107,32.12
12109,20.53
12111,29.83
12113,35.31
12115,27.9
12117,28.82
12119,25.52
12121,35.23
12123,31.04
12125,34.39
12127,55.08
12129,34.11
12131,37.21
12133,35.35
13001,42.66
