FIPS,2015 MR
01001,3.3
01003,21.11
01005,0.0
01007,12.2
01009,19.07
01011,3.31
01013,4.74
01015,17.3
01017,7.72
01019,19.7
01021,6.58
01023,5.93
01025,7.04
01027,0.0
01029,15.58
01031,4.71
01033,16.73
01035,12.19
01037,6.55
01039,11.13
01041,4.43
01043,19.51
01045,5.55
01047,0.0
01049,26.71
01051,4.39
01053,19.85
01055,21.35
01057,15.05
01059,8.58
01061,6.95
01063,0.0
01065,3.31
01067,4.16
01069,12.48
01071,24.36
01073,24.83
01075,8.16
01077,25.87
01079,15.74
01081,10.83
01083,21.69
01085,2.21
01087,5.03
01089,11.61
01091,0.0
01093,10.01
01095,25.34
01097,16.61
01099,12.0
01101,6.62
01103,21.75
01105,0.0
01107,7.07
01109,3.87
01111,0.0
01113,3.81
01115,22.97
01117,19.64
01119,1.77
01121,13.67
01123,0.0
01125,13.24
01127,16.85
01129,14.92
01131,0.0
01133,0.0
02013,0.0
02016,0.0
02020,19.75
02050,0.0
02060,0.0
02063,15.29
02066,9.71
02068,0.0
02070,0.0
02090,10.04
02100,0.0
02105,0.0
02110,0.0
02122,27.56
02130,0.0
02150,13.78
02158,0.0
02164,0.0
02170,13.85
02180,0.0
02185,0.0
02188,0.0
02195,0.0
02198,0.0
02220,0.0
02230,0.0
02240,8.4
02275,0.0
02282,0.0
02290,3.59
04001,16.02
04003,26.89
04005,18.69
04007,37.62
04009,23.12
04011,21.24
04012,18.49
04013,16.96
04015,30.28
04017,13.85
04019,22.97
04021,14.27
04023,24.93
04025,25.2
04027,15.18
05001,6.28
05003,1.77
05005,24.36
05007,14.82
05009,0.0
05011,0.0
05013,0.0
05015,3.7
05017,0.88
05019,2.56
05021,66.19
05023,12.96
05025,6.68
05027,0.0
05029,11.41
05031,13.42
05033,19.45
05035,8.2
05037,3.48
05039,5.74
05041,0.0
05043,3.42
05045,8.23
05047,11.7
05049,18.34
05051,26.76
05053,12.45
05055,22.63
05057,0.0
05059,12.78
05061,0.0
05063,14.13
05065,19.24
05067,10.39
05069,13.97
05071,3.9
05073,0.0
05075,15.48
05077,0.0
05079,6.98
05081,1.4
05083,10.42
05085,12.84
05087,0.0
05089,0.0
05091,5.58
05093,11.84
05095,0.0
05097,0.0
05099,0.0
05101,0.0
05103,0.0
05105,14.59
05107,0.0
05109,0.0
05111,9.1
05113,4.03
05115,6.43
05117,10.18
05119,11.46
05121,34.77
05123,0.0
05125,11.92
05127,10.31
05129,6.16
05131,15.65
05133,0.0
05135,20.91
05137,15.37
05139,0.0
05141,10.09
05143,8.87
05145,17.69
05147,6.97
05149,11.6
06001,12.21
06003,0.0
06005,15.66
06007,28.84
06009,22.31
06011,25.82
06013,9.59
06015,26.29
06017,21.14
06019,14.46
06021,30.61
06023,30.21
06025,22.75
06027,15.94
06029,24.14
06031,9.94
06033,49.54
06035,12.43
06037,7.2
06039,16.13
06041,6.89
06043,22.74
06045,18.25
06047,14.9
06049,18.6
06051,17.44
06053,10.6
06055,13.34
06057,19.22
06059,12.02
06061,11.72
06063,14.82
06065,14.27
06067,18.85
06069,13.11
06071,4.79
06073,12.7
06075,22.66
06077,15.98
06079,18.48
06081,9.02
06083,15.96
06085,7.35
06087,18.24
06089,16.71
06091,0.0
06093,32.14
06095,13.3
06097,15.93
06099,18.95
06101,10.37
06103,22.26
06105,24.33
06107,9.79
06109,40.96
06111,13.99
06113,14.55
06115,16.11
08001,17.5
08003,16.54
08005,16.32
08007,20.71
08009,0.0
08011,26.25
08013,12.52
08014,14.77
08015,15.75
08017,0.0
08019,5.13
08021,32.03
08023,0.0
08025,0.0
08027,28.73
08029,22.22
08031,17.14
08033,0.0
08035,6.51
08037,5.72
08039,11.12
08041,21.65
08043,23.41
08045,9.19
08047,0.0
08049,0.0
08051,12.25
08053,0.0
08055,27.77
08057,0.0
08059,15.38
08061,0.0
08063,0.0
08065,10.59
08067,18.29
08069,14.99
08071,78.25
08073,0.0
08075,3.44
08077,22.22
08079,0.0
08081,8.92
08083,8.15
08085,11.18
08087,10.39
08089,26.74
08091,0.0
08093,14.61
08095,0.0
08097,13.31
08099,4.37
08101,28.73
08103,0.0
08105,17.58
08107,4.69
08109,14.38
08111,0.0
08113,0.0
08115,0.0
08117,6.58
08119,14.51
08121,0.0
08123,13.68
08125,0.0
09110,24.64
09120,20.77
09130,24.34
09140,22.28
09150,27.35
09160,25.31
09170,23.01
09180,24.34
09190,19.26
10001,21.9
10003,20.47
10005,21.33
11001,18.59
12001,10.77
12003,15.58
12005,16.52
12007,16.14
12009,27.28
12011,14.76
12013,0.0
12015,8.66
12017,19.14
12019,22.55
12021,15.11
12023,16.09
12027,21.03
12029,14.92
12031,18.51
12033,18.97
12035,13.28
12037,2.46
12039,1.4
12041,14.02
12043,16.44
12045,5.51
12047,10.73
12049,20.13
12051,16.74
12053,17.37
12055,11.06
12057,13.05
12059,7.6
12061,14.2
12063,5.07
12065,0.0
12067,14.12
12069,14.73
12071,14.53
12073,5.59
12075,14.92
12077,0.0
12079,8.46
12081,40.73
12083,14.86
12085,16.64
12086,7.54
12087,25.81
12089,18.51
12091,23.15
12093,25.34
12095,15.14
12097,12.96
12099,22.42
12101,22.69
12103,20.0
12105,14.77
12107,15.09
12109,10.15
12111,17.08
12113,16.16
12115,23.67
12117,14.69
12119,13.46
12121,13.41
12123,9.37
12125,14.33
12127,18.92
12129,1.86
12131,13.0
12133,10.79
13001,5.16
13003,0.0
13005,0.0
13007,0.12
13009,4.7
13011,19.3
13013,15.94
13015,20.44
13017,0.13
13019,0.0
13021,10.41
13023,3.78
13025,18.51
13027,4.16
13029,4.88
13031,1.22
13033,9.06
13035,15.21
13037,0.0
13039,18.51
13043,0.0
13045,16.59
13047,18.17
13049,18.51
13051,9.76
13053,0.0
13055,19.57
13057,21.62
13059,9.68
13061,0.69
13063,9.49
13065,0.0
13067,14.84
13069,0.03
13071,2.2
13073,12.5
13075,2.73
13077,11.56
13079,0.0
13081,0.0
13083,22.77
13085,17.75
13087,0.47
13089,10.75
13091,1.26
13093,0.0
13095,0.03
13097,12.79
13099,0.0
13101,5.36
13103,4.84
13105,8.35
13107,2.71
13109,0.0
13111,15.2
13113,13.55
13115,12.43
13117,16.48
13119,23.16
13121,14.45
13123,18.45
13125,0.0
13127,18.51
13129,17.56
13131,2.48
13133,6.03
13135,11.39
13137,14.99
13139,11.88
13141,0.0
13143,34.66
13145,11.53
13147,19.06
13149,0.0
13151,12.4
13153,11.33
13155,0.07
13157,25.25
13159,12.54
13161,0.07
13163,6.27
13165,0.0
13167,2.36
13169,8.5
13171,18.54
13173,0.0
13175,1.07
13177,0.0
13179,4.88
13181,4.17
13183,4.88
13185,4.02
13187,10.96
13189,0.0
13191,9.42
13193,3.02
13195,17.15
13197,0.0
13199,13.76
13201,0.0
13205,0.77
13207,11.04
13209,0.0
13211,13.91
13213,17.44
13215,7.48
13217,11.38
13219,18.09
13221,8.62
13223,15.76
13225,3.78
13227,21.03
13229,9.26
