FIPS,2017 MR
01001,4.91
01003,12.7
01005,1.02
01007,15.84
01009,31.03
01011,0.0
01013,17.3
01015,27.02
01017,14.19
01019,26.72
01021,8.47
01023,0.0
01025,3.77
01027,20.86
01029,24.1
01031,3.99
01033,5.94
01035,34.72
01037,14.99
01039,18.01
01041,7.47
01043,22.96
01045,5.59
01047,0.0
01049,36.3
01051,8.55
01053,34.72
01055,34.06
01057,17.01
01059,0.0
01061,11.51
01063,0.0
01065,6.54
01067,4.57
01069,14.38
01071,24.47
01073,31.55
01075,8.64
01077,11.89
01079,10.62
01081,9.28
01083,16.68
01085,5.98
01087,5.13
01089,21.33
01091,0.0
01093,8.54
01095,12.56
01097,11.84
01099,17.18
01101,6.18
01103,16.83
01105,0.0
01107,6.77
01109,2.4
01111,22.24
01113,5.08
01115,31.75
01117,14.98
01119,0.0
01121,16.24
01123,14.34
01125,16.84
01127,17.17
01129,6.14
01131,0.0
01133,0.0
02013,8.53
02016,8.53
02020,24.12
02050,7.39
02060,0.0
02063,14.99
02066,11.25
02068,0.0
02070,0.0
02090,14.04
02100,0.0
02105,0.0
02110,37.39
02122,17.06
02130,0.0
02150,17.06
02158,0.0
02164,8.53
02170,18.77
02180,0.0
02185,0.0
02188,0.0
02195,9.35
02198,0.0
02220,0.0
02230,0.0
02240,8.81
02275,0.0
02282,0.0
02290,0.0
04001,16.49
04003,22.44
04005,19.18
04007,37.38
04009,22.47
04011,22.06
04012,17.54
04013,22.5
04015,25.1
04017,14.68
04019,24.15
04021,13.71
04023,23.3
04025,24.54
04027,13.01
05001,6.08
05003,0.0
05005,26.6
05007,11.64
05009,14.05
05011,0.0
05013,0.0
05015,14.69
05017,0.0
05019,6.55
05021,16.93
05023,14.29
05025,0.0
05027,0.0
05029,17.38
05031,12.14
05033,15.87
05035,26.67
05037,12.86
05039,0.0
05041,0.0
05043,1.21
05045,12.13
05047,9.45
05049,16.76
05051,35.48
05053,16.23
05055,14.53
05057,0.0
05059,32.76
05061,0.0
05063,11.09
05065,15.48
05067,0.0
05069,21.7
05071,4.73
05073,0.0
05075,9.44
05077,8.89
05079,7.23
05081,3.9
05083,6.52
05085,13.61
05087,0.0
05089,20.31
05091,6.9
05093,18.21
05095,0.0
05097,11.55
05099,0.0
05101,1.58
05103,0.0
05105,22.63
05107,0.0
05109,0.0
05111,12.94
05113,6.03
05115,5.92
05117,0.0
05119,17.77
05121,10.11
05123,11.85
05125,25.14
05127,0.0
05129,0.0
05131,12.49
05133,4.77
05135,9.32
05137,13.63
05139,0.0
05141,10.56
05143,7.76
05145,16.45
05147,6.86
05149,14.21
06001,7.64
06003,0.0
06005,12.58
06007,20.06
06009,13.68
06011,21.58
06013,10.02
06015,21.81
06017,16.93
06019,12.43
06021,28.69
06023,32.17
06025,11.49
06027,14.0
06029,25.64
06031,9.99
06033,43.58
06035,15.42
06037,9.02
06039,12.11
06041,14.56
06043,15.24
06045,29.54
06047,12.47
06049,16.35
