FIPS,2019 MR
01001,5.72
01003,12.09
01005,9.67
01007,14.34
01009,17.29
01011,17.27
01013,3.14
01015,17.6
01017,7.04
01019,17.05
01021,9.6
01023,0.47
01025,4.32
01027,3.78
01029,0.0
01031,12.64
01033,11.86
01035,0.0
01037,0.0
01039,17.45
01041,6.36
01043,16.71
01045,9.17
01047,3.83
01049,30.76
01051,12.31
01053,38.22
01055,18.58
01057,12.54
01059,14.49
01061,17.58
01063,0.0
01065,0.0
01067,0.0
01069,9.44
01071,26.18
01073,29.31
01075,0.0
01077,11.86
01079,13.24
01081,6.69
01083,16.85
01085,0.0
01087,14.16
01089,21.18
01091,0.77
01093,11.99
01095,20.67
01097,12.1
01099,12.58
01101,4.86
01103,12.53
01105,5.71
01107,4.99
01109,10.0
01111,10.66
01113,32.78
01115,23.46
01117,15.62
01119,0.0
01121,11.34
01123,7.39
01125,12.42
01127,25.19
01129,0.0
01131,0.0
01133,18.38
02013,0.0
02016,0.0
02020,18.06
02050,9.07
02060,0.0
02063,13.58
02066,7.78
02068,0.0
02070,0.0
02090,19.62
02100,0.0
02105,0.0
02110,0.0
02122,18.74
02130,0.0
02150,9.37
02158,9.07
02164,0.0
02170,17.54
02180,9.07
02185,9.07
02188,9.07
02195,0.0
02198,0.0
02220,0.0
02230,0.0
02240,0.0
02275,0.0
02282,0.0
02290,9.17
04001,18.83
04003,21.44
04005,16.73
04007,31.47
04009,25.75
04011,17.49
04012,22.03
04013,27.27
04015,23.09
04017,22.54
04019,28.84
04021,17.93
04023,25.14
04025,37.01
04027,20.11
05001,8.86
05003,3.82
05005,2.24
05007,10.03
05009,13.41
05011,5.25
05013,0.0
05015,15.8
05017,0.0
05019,0.0
05021,0.0
05023,14.76
05025,10.41
05027,2.15
05029,10.3
05031,8.58
05033,10.52
05035,11.09
05037,6.55
05039,9.01
05041,4.15
05043,5.35
05045,14.28
05047,9.57
05049,0.0
05051,20.12
05053,21.24
05055,0.0
05057,0.34
05059,14.79
05061,0.0
05063,7.51
05065,0.0
05067,8.65
05069,14.96
05071,8.42
05073,0.0
05075,4.12
05077,1.11
05079,11.91
05081,0.11
05083,5.33
05085,20.46
05087,10.35
05089,8.94
05091,4.31
05093,16.92
05095,2.21
05097,4.02
05099,0.87
05101,11.41
05103,3.0
05105,16.63
05107,0.0
05109,1.01
05111,14.01
05113,0.0
05115,8.23
05117,0.0
05119,20.16
05121,0.0
05123,1.11
05125,28.59
05127,3.16
05129,9.05
05131,8.61
05133,0.0
05135,0.0
05137,7.53
05139,2.6
05141,13.11
05143,5.85
05145,15.24
05147,0.0
05149,0.0
06001,14.96
06003,24.36
06005,32.7
06007,25.09
06009,26.14
06011,35.4
06013,14.22
06015,23.41
06017,16.59
06019,13.31
06021,48.84
06023,26.56
06025,16.55
06027,15.15
06029,29.1
06031,16.35
06033,73.0
06035,39.25
06037,12.62
06039,19.07
06041,16.61
06043,18.1
06045,48.42
06047,16.21
06049,22.68
06051,18.45
06053,14.74
06055,12.34
06057,16.04
06059,12.85
06061,15.82
06063,19.92
06065,18.62
06067,20.68
06069,15.04
06071,11.56
06073,14.47
06075,45.6
06077,16.27
06079,18.37
06081,12.91
06083,18.14
06085,11.2
06087,19.76
06089,19.99
06091,0.0
06093,22.35
06095,17.2
06097,20.23
06099,15.07
06101,17.82
06103,32.45
06105,29.95
06107,8.79
06109,22.03
06111,16.08
06113,12.24
06115,15.25
08001,17.2
08003,17.52
08005,16.3
08007,22.11
08009,0.0
08011,0.0
08013,14.1
08014,14.19
08015,14.16
08017,0.0
08019,8.89
08021,32.38
08023,20.36
08025,0.0
08027,0.0
08029,35.3
08031,23.65
08033,0.0
08035,9.11
08037,10.72
08039,12.98
08041,26.51
08043,19.73
08045,16.65
08047,10.19
08049,0.0
08051,15.7
08053,0.0
08055,16.04
08057,0.0
08059,16.47
08061,0.0
08063,0.0
08065,11.89
08067,12.13
08069,14.57
08071,8.76
08073,0.0
08075,3.7
08077,18.81
08079,0.0
08081,18.17
08083,14.34
08085,18.04
08087,10.77
08089,8.76
08091,7.81
08093,15.61
08095,0.0
08097,15.78
08099,0.0
08101,35.03
08103,23.72
08105,11.05
08107,11.84
08109,7.8
08111,5.29
08113,0.0
08115,0.0
08117,8.17
08119,17.36
08121,0.0
08123,15.1
08125,0.53
09110,33.92
09120,27.02
09130,27.12
09140,30.9
09150,32.74
09160,38.67
09170,29.74
09180,27.12
09190,23.14
10001,35.4
10003,47.61
10005,44.83
11001,44.07
12001,10.78
12003,20.2
12005,32.05
12007,18.67
12009,51.0
12011,25.96
12013,32.05
12015,11.12
12017,32.07
12019,26.45
12021,21.3
12023,18.13
12027,26.32
12029,0.0
12031,41.03
12033,28.9
12035,26.94
12037,20.96
12039,11.71
12041,11.82
12043,23.3
12045,32.05
12047,9.06
12049,23.85
12051,23.47
12053,28.36
12055,22.59
12057,19.02
12059,23.2
12061,19.38
12063,19.61
12065,7.57
12067,5.91
12069,27.78
12071,28.16
12073,9.88
12075,18.37
12077,19.45
12079,7.35
12081,30.75
12083,30.64
12085,23.6
12086,11.04
12087,37.72
12089,16.93
12091,25.62
12093,23.71
12095,20.17
12097,19.16
12099,30.6
12101,35.38
12103,40.92
12105,20.56
12107,18.79
12109,11.71
12111,21.93
12113,17.9
12115,23.75
12117,16.32
12119,15.1
12121,11.23
12123,2.96
12125,16.95
12127,33.62
12129,9.88
12131,20.25
12133,26.15
13001,4.6
13003,4.79
13005,6.57
13007,6.86
13009,0.0
13011,28.21
13013,18.02
13015,19.49
13017,0.13
13019,3.58
13021,7.83
13023,0.0
13025,8.13
13027,7.9
13029,5.78
13031,0.56
13033,6.77
13035,10.37
13037,0.0
13039,10.33
13043,0.0
13045,26.67
13047,17.76
13049,0.0
13051,13.13
13053,15.01
13055,22.22
13057,11.98
13059,15.58
13061,0.0
13063,6.84
13065,9.58
13067,14.47
13069,4.06
13071,9.42
13073,13.4
13075,6.33
13077,11.45
13079,6.71
13081,4.4
13083,27.25
13085,9.86
13087,4.65
13089,13.43
13091,0.79
13093,0.0
13095,22.74
13097,17.77
13099,2.36
13101,0.0
13103,7.72
13105,19.11
13107,0.0
13109,0.28
13111,15.26
13113,16.61
13115,17.26
13117,12.28
13119,42.83
13121,14.57
13123,10.42
13125,0.0
13127,14.07
13129,14.26
13131,7.26
13133,0.0
13135,8.54
13137,29.87
13139,15.16
13141,0.11
13143,13.63
13145,8.66
13147,33.01
13149,19.06
13151,12.36
13153,12.67
13155,1.9
13157,16.44
13159,6.21
13161,2.21
13163,0.0
13165,0.0
13167,0.0
13169,1.96
13171,10.34
13173,0.0
13175,0.11
13177,14.21
13179,9.16
13181,10.97
13183,11.62
13185,4.86
13187,13.42
13189,8.54
13191,14.07
13193,3.8
13195,26.97
13197,0.0
13199,9.67
13201,2.36
13205,10.38
13207,7.24
13209,0.0
13211,9.71
13213,12.73
13215,12.26
13217,12.53
13219,14.24
13221,14.2
13223,14.23
13225,6.34
13227,0.0
13229,7.63
13231,9.67
13233,12.92
13235,3.17
13237,0.65
13239,0.0
13241,34.44
13243,0.0
13245,20.74
13247,13.6
13249,0.0
13251,2.26
13253,4.72
13255,10.99
13257,39.64
13259,7.97
13261,3.39
13263,7.19
13265,3.58
13267,3.51
13269,0.0
13271,0.26
13273,5.68
13275,8.77
13277,5.87
13279,0.01
13281,26.72
13283,0.02
13285,11.37
13287,1.51
13289,0.0
13291,22.38
13293,7.26
13295,18.64
13297,21.14
13299,8.54
13301,0.0
13303,0.0
13305,10.28
13307,0.0
13309,0.0
13311,20.21
13313,18.16
13315,0.0
13317,7.45
13319,0.0
13321,10.65
15001,8.44
15003,18.78
15005,0.0
15007,19.37
15009,16.72
16001,16.4
16003,2.37
16005,33.03
16007,2.86
16009,14.6
16011,11.48
16013,3.18
16015,8.2
16017,13.73
16019,24.36
16021,13.14
16023,0.0
16025,0.0
16027,8.7
16029,0.0
16031,10.37
16033,0.0
16035,3.38
16037,0.0
16039,8.34
16041,11.66
16043,4.53
16045,6.73
16047,8.44
16049,2.66
16051,6.73
16053,11.25
16055,14.48
16057,7.08
16059,0.0
16061,0.0
16063,0.0
16065,0.0
16067,5.63
16069,2.34
16071,13.87
16073,0.0
16075,4.35
16077,0.0
16079,9.01
16081,12.18
16083,25.32
16085,2.73
16087,0.0
17001,0.0
17003,12.15
17005,33.07
17007,24.45
17009,0.0
17011,25.61
17013,0.0
17015,20.01
17017,0.0
17019,23.84
17021,22.04
17023,12.96
17025,24.52
17027,25.46
17029,14.31
17031,26.39
17033,12.97
17035,18.87
17037,16.21
17039,21.06
17041,20.03
17043,14.19
17045,0.0
17047,0.0
17049,24.11
17051,29.61
17053,0.0
17055,25.99
17057,10.44
17059,10.65
17061,7.34
17063,31.34
17065,0.0
17067,0.0
17069,0.0
17071,2.09
17073,19.56
17075,14.06
17077,25.8
17079,20.12
17081,14.56
17083,22.02
17085,13.99
17087,31.0
17089,14.84
17091,24.58
17093,10.85
17095,16.3
17097,12.92
17099,27.61
17101,5.25
17103,21.19
17105,20.32
17107,14.9
17109,3.48
17111,13.65
17113,18.07
17115,24.04
17117,22.52
17119,40.69
17121,32.25
17123,26.03
17125,0.0
17127,21.4
17129,6.68
17131,7.18
17133,35.9
17135,27.67
17137,7.67
17139,22.9
17141,19.75
17143,27.35
17145,13.52
17147,21.75
17149,3.82
17151,19.35
17153,20.37
17155,27.61
17157,23.55
17159,11.14
17161,17.62
17163,28.88
17165,46.83
17167,20.03
17169,0.0
17171,0.0
17173,23.43
17175,26.33
17177,22.47
17179,14.42
17181,25.6
17183,31.68
17185,5.25
17187,6.96
17189,0.0
17191,11.7
17193,5.76
17195,21.04
17197,21.43
17199,36.41
17201,43.53
17203,21.55
18001,29.31
18003,29.53
18005,23.87
18007,0.0
18009,0.0
18011,29.48
18013,0.0
18015,28.3
18017,31.45
18019,34.66
18021,22.61
18023,25.38
18025,18.66
18027,15.35
18029,32.35
18031,33.81
18033,25.3
18035,37.67
18037,12.85
18039,11.15
18041,90.9
18043,48.39
18045,19.93
18047,49.86
18049,29.13
18051,10.0
18053,19.77
18055,21.12
18057,10.65
18059,15.35
18061,37.02
18063,15.85
18065,20.85
18067,37.56
18069,28.21
18071,21.0
18073,24.31
18075,26.06
18077,35.04
18079,43.27
18081,18.34
18083,11.04
18085,13.84
18087,0.0
18089,31.51
18091,25.48
18093,23.26
18095,40.9
18097,39.19
18099,21.7
18101,23.94
18103,28.66
18105,16.84
18107,22.83
18109,32.63
18111,17.54
18113,15.96
18115,29.28
18117,24.62
18119,24.74
18121,21.01
18123,0.0
18125,9.26
18127,23.48
18129,6.43
18131,31.28
18133,24.4
18135,37.74
18137,37.27
18139,39.04
18141,13.98
18143,32.72
18145,29.06
18147,4.92
18149,47.84
18151,15.3
18153,17.28
18155,34.96
18157,21.97
18159,27.22
18161,60.98
18163,19.29
18165,17.63
18167,18.68
18169,23.58
18171,17.88
18173,8.52
18175,31.94
18177,72.86
18179,35.34
18181,22.89
18183,21.89
19001,0.93
19003,0.54
19005,7.09
19007,7.15
19009,0.0
19011,0.0
19013,0.53
19015,7.48
19017,0.0
19019,3.18
19021,0.0
19023,0.0
19025,0.0
19027,0.0
19029,2.68
19031,12.28
19033,0.0
19035,0.0
19037,0.0
19039,2.26
19041,0.0
19043,5.69
19045,16.78
19047,0.0
19049,6.77
19051,0.0
19053,0.59
19055,0.0
19057,0.0
19059,0.0
19061,8.29
19063,0.0
19065,0.0
19067,0.0
19069,0.0
19071,0.0
19073,1.87
19075,0.0
19077,1.14
19079,0.0
19081,0.0
19083,0.0
19085,2.15
19087,0.0
19089,0.0
19091,0.0
19093,0.0
19095,0.0
19097,14.77
19099,11.25
19101,5.72
19103,4.33
19105,11.33
19107,0.0
19109,0.0
19111,0.0
19113,15.88
19115,3.69
19117,4.13
19119,0.0
19121,6.31
19123,9.53
19125,10.66
19127,4.04
19129,0.0
19131,0.0
19133,0.0
19135,0.0
19137,2.15
19139,12.71
19141,0.0
19143,0.0
19145,0.0
19147,0.0
19149,0.0
19151,0.0
19153,22.44
19155,10.73
19157,2.38
19159,0.0
19161,0.0
19163,16.19
19165,0.0
19167,0.0
19169,8.23
19171,2.36
19173,0.0
19175,0.28
19177,0.0
19179,28.6
19181,8.76
19183,1.43
19185,2.23
19187,0.0
19189,0.0
19191,0.0
19193,0.0
19195,0.0
19197,0.0
20001,0.65
